Rank,Player,Position,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,Check,HR_all,AB_all,AVG_all,OBP_all,OPS_all
434,MarcusSemien,2B,TOR,19,50,9,11,2,0,3,6,6,17,0,0,0.22,0.316,0.44,0.756,24,45,652,0.265,0.334,0.872
243,GiancarloStanton,DH,NYY,13,35,2,11,3,0,1,6,6,12,0,0,0.314,0.429,0.486,0.915,26,35,510,0.273,0.354,0.87
287,TeoscarHernandez,RF,TOR,17,42,11,9,6,0,2,6,8,14,1,0,0.214,0.365,0.5,0.865,25,32,550,0.296,0.346,0.87
417,J.D.Martinez,DH,BOS,19,55,6,16,4,0,1,10,5,18,0,0,0.291,0.344,0.418,0.762,27,28,570,0.286,0.349,0.867
91,PeteAlonso,1B,NYM,18,50,6,17,6,0,4,16,6,11,0,0,0.34,0.421,0.7,1.121,28,37,561,0.262,0.344,0.863
516,XanderBogaerts,SS,BOS,13,35,5,8,3,0,1,7,3,8,0,0,0.229,0.289,0.4,0.689,29,23,529,0.295,0.37,0.863
750,BrandonLowe,2B,TB,17,39,3,7,1,0,0,4,5,14,0,0,0.179,0.267,0.205,0.472,30,39,535,0.247,0.34,0.863
115,SalvadorPerez,C,KC,17,40,10,14,3,0,3,8,2,14,0,0,0.35,0.409,0.65,1.059,31,48,620,0.273,0.316,0.86
208,MookieBetts,RF,LAD,21,44,11,14,3,0,2,3,7,10,1,0,0.318,0.423,0.523,0.946,32,23,466,0.264,0.367,0.854
249,CarlosCorrea,SS,HOU,16,39,6,12,2,0,2,8,6,6,0,0,0.308,0.391,0.513,0.904,33,26,555,0.279,0.366,0.851
696,JaredWalsh,1B,LAA,19,46,8,10,1,0,0,4,5,14,1,0,0.217,0.283,0.239,0.522,34,29,530,0.277,0.34,0.849
601,YuliGurriel,1B,HOU,17,39,6,7,2,0,1,4,6,8,0,0,0.179,0.319,0.308,0.627,35,15,530,0.319,0.383,0.845
180,StarlingMarte,CF,MIA,17,41,7,14,4,3,0,4,3,4,3,0,0.341,0.391,0.585,0.976,36,12,467,0.31,0.383,0.841
502,JoseAltuve,2B,HOU,18,52,13,11,2,1,2,5,5,11,1,0,0.212,0.293,0.404,0.697,37,31,601,0.278,0.35,0.839
607,MannyMachado,3B,SD,17,39,3,9,3,0,0,5,6,9,0,0,0.231,0.313,0.308,0.621,38,28,564,0.278,0.347,0.836
125,JonathanIndia,2B,CIN,22,48,12,15,5,0,3,7,7,12,2,1,0.313,0.441,0.604,1.045,39,21,532,0.269,0.376,0.835
641,KrisBryant,3B,CHC,16,38,2,6,1,0,1,6,7,12,0,0,0.158,0.319,0.263,0.582,40,25,513,0.265,0.353,0.834
254,JustinTurner,3B,LAD,21,46,7,13,4,1,1,7,10,12,0,0,0.283,0.421,0.478,0.899,42,27,533,0.278,0.361,0.832
539,JoseAbreu,1B,CWS,19,60,8,14,2,0,1,10,8,16,1,0,0.233,0.352,0.317,0.669,41,30,566,0.261,0.351,0.832
561,NelsonCruz,DH,MIN,15,42,4,10,1,0,2,6,1,11,0,0,0.238,0.256,0.405,0.661,43,32,513,0.265,0.334,0.831
244,BoBichette,SS,TOR,19,48,9,15,3,0,2,6,8,14,3,4,0.313,0.411,0.5,0.911,44,29,640,0.298,0.343,0.827
429,JoshDonaldson,3B,MIN,13,34,3,9,1,0,2,6,1,8,0,0,0.265,0.286,0.471,0.757,45,26,457,0.247,0.352,0.827
395,JorgePolanco,2B,MIN,16,39,5,11,1,0,1,3,7,5,1,1,0.282,0.391,0.385,0.776,46,33,588,0.269,0.323,0.826
33,JoshBell,1B,WSH,18,47,13,18,5,0,6,15,8,14,0,0,0.383,0.456,0.872,1.328,47,27,498,0.261,0.347,0.823
228,AvisailGarcia,RF,MIL,19,48,9,15,1,0,4,13,3,15,1,0,0.313,0.346,0.583,0.929,48,29,461,0.262,0.33,0.82
40,WillyAdames,SS,TB,18,41,10,16,3,1,4,7,5,13,0,1,0.39,0.457,0.805,1.262,49,25,497,0.262,0.337,0.818
350,HunterRenfroe,RF,BOS,20,53,6,15,1,0,3,10,3,12,0,0,0.283,0.333,0.472,0.805,50,31,521,0.259,0.315,0.816
671,RandyArozarena,RF,TB,15,38,3,9,2,0,0,1,1,11,1,0,0.237,0.256,0.289,0.545,51,20,529,0.274,0.356,0.815
83,TyFrance,3B,SEA,19,49,10,16,4,0,5,11,5,7,0,0,0.327,0.421,0.714,1.135,53,18,571,0.291,0.368,0.813
646,JavierBaez,SS,CHC,18,49,4,9,2,0,2,7,2,17,1,0,0.184,0.231,0.347,0.578,52,31,502,0.265,0.319,0.813
49,JoeyGallo,RF,TEX,19,44,10,14,2,1,6,15,7,15,0,0,0.318,0.404,0.818,1.222,54,38,498,0.199,0.351,0.809
314,TimAnderson,SS,CWS,20,60,8,20,6,0,1,5,2,11,2,0,0.333,0.355,0.483,0.838,55,17,527,0.309,0.338,0.807
509,NolanArenado,3B,STL,19,46,5,11,3,0,1,4,6,4,0,0,0.239,0.321,0.37,0.691,56,34,593,0.255,0.312,0.806
336,MitchHaniger,RF,SEA,17,47,9,11,2,1,3,8,4,13,0,0,0.234,0.308,0.511,0.819,57,39,620,0.253,0.318,0.803
396,JakeCronenworth,2B,SD,18,43,7,12,3,1,0,4,7,8,0,1,0.279,0.38,0.395,0.775,58,21,567,0.266,0.34,0.8
554,TrevorStory,SS,COL,16,46,4,8,1,0,4,7,2,15,0,0,0.174,0.208,0.457,0.665,59,24,526,0.251,0.329,0.8
468,MichaelBrantley,LF,HOU,16,47,4,12,6,0,1,11,2,7,0,0,0.255,0.275,0.447,0.722,60,8,469,0.311,0.362,0.799
297,OzzieAlbies,2B,ATL,17,42,11,11,1,0,3,5,4,11,2,0,0.262,0.354,0.5,0.854,61,30,629,0.259,0.31,0.798
343,RyanMountcastle,LF,BAL,17,51,9,12,5,0,4,13,1,11,1,1,0.235,0.245,0.569,0.814,62,33,534,0.255,0.309,0.796
384,JeimerCandelario,3B,DET,19,46,4,15,2,1,0,2,3,6,1,0,0.326,0.373,0.413,0.786,63,16,557,0.271,0.351,0.794
185,LuisUrias,SS,MIL,14,35,6,11,5,0,1,3,6,9,0,0,0.314,0.429,0.543,0.972,64,23,490,0.249,0.345,0.79
173,JesusAguilar,1B,MIA,17,40,8,14,2,0,2,12,6,1,0,0,0.35,0.435,0.55,0.985,65,22,449,0.261,0.329,0.788
214,YoanMoncada,3B,CWS,20,53,8,16,7,1,1,4,7,14,1,0,0.302,0.413,0.528,0.941,66,14,520,0.263,0.375,0.787
127,EnriqueHernandez,2B,BOS,21,49,12,16,4,0,3,7,10,8,0,0,0.327,0.45,0.592,1.042,68,20,508,0.25,0.337,0.786
427,EduardoEscobar,3B,ARI,18,53,9,12,3,1,3,9,3,12,0,0,0.226,0.268,0.491,0.759,67,28,549,0.253,0.314,0.786
477,LourdesGurriel,LF,TOR,17,44,6,11,2,0,2,6,1,8,0,0,0.25,0.283,0.432,0.715,69,21,500,0.276,0.319,0.785
230,AnthonyRizzo,1B,CHC,17,43,9,12,2,0,3,9,6,13,0,0,0.279,0.392,0.535,0.927,70,22,496,0.248,0.344,0.784
408,JeanSegura,2B,PHI,16,38,2,12,2,0,0,5,5,5,0,0,0.316,0.4,0.368,0.768,71,14,514,0.29,0.348,0.784
76,ChrisTaylor,2B,LAD,17,45,10,14,5,0,5,14,6,16,0,0,0.311,0.392,0.756,1.148,73,20,507,0.254,0.344,0.782
145,J.T.Realmuto,C,PHI,5,14,4,4,1,0,1,2,3,1,0,0,0.286,0.444,0.571,1.015,72,17,476,0.263,0.343,0.782
435,RyanMcMahon,3B,COL,22,60,8,15,2,0,3,8,5,18,0,0,0.25,0.318,0.433,0.751,75,23,528,0.254,0.331,0.78
451,DylanCarlson,RF,STL,17,46,7,11,0,1,2,8,5,13,0,0,0.239,0.327,0.413,0.74,74,18,542,0.266,0.343,0.78
26,AdamFrazier,2B,PIT,14,43,8,21,6,2,2,8,1,2,1,2,0.488,0.511,0.86,1.371,76,5,577,0.305,0.368,0.779
284,AndrewMcCutchen,LF,PHI,16,44,10,14,3,0,1,3,6,9,0,0,0.318,0.412,0.455,0.867,77,27,482,0.222,0.334,0.778
660,MiguelSano,1B,MIN,17,44,5,7,4,0,1,6,5,21,0,0,0.159,0.245,0.318,0.563,78,30,470,0.223,0.312,0.778
619,AlexVerdugo,CF,BOS,16,39,3,9,2,0,0,3,5,7,0,0,0.231,0.326,0.282,0.608,79,13,544,0.289,0.351,0.777
347,AustinMeadows,LF,TB,17,41,7,8,1,0,4,9,6,12,2,0,0.195,0.298,0.512,0.81,80,27,518,0.234,0.315,0.773
308,RobbieGrossman,LF,DET,19,44,8,10,3,0,3,3,7,12,0,1,0.227,0.346,0.5,0.846,82,23,557,0.239,0.357,0.772
329,AdamDuvall,RF,MIA,17,44,6,10,2,1,4,12,1,9,0,0,0.227,0.234,0.591,0.825,81,38,513,0.228,0.281,0.772
559,NathanielLowe,1B,TEX,18,44,5,9,3,0,1,9,8,15,0,1,0.205,0.321,0.341,0.662,83,18,557,0.264,0.357,0.772
57,AustinHays,CF,BAL,18,51,11,20,4,1,4,13,3,12,3,1,0.392,0.446,0.745,1.191,84,22,488,0.256,0.308,0.769
140,MikeYastrzemski,RF,SF,15,40,9,12,1,1,4,9,3,12,1,1,0.3,0.349,0.675,1.024,85,25,468,0.224,0.311,0.768
512,AndrewBenintendi,LF,KC,17,40,5,9,5,0,0,3,7,12,1,1,0.225,0.34,0.35,0.69,86,17,493,0.276,0.324,0.766
816,CharlieBlackmon,RF,COL,16,43,5,7,1,0,0,1,2,11,0,0,0.163,0.2,0.186,0.386,87,13,514,0.27,0.351,0.762
278,DansbySwanson,SS,ATL,17,39,6,12,4,0,1,7,5,10,0,1,0.308,0.386,0.487,0.873,88,27,588,0.248,0.311,0.76
353,TreyMancini,1B,BAL,17,51,5,17,0,0,2,6,2,18,0,0,0.333,0.352,0.451,0.803,89,21,556,0.255,0.326,0.758
150,IanHapp,CF,CHC,18,44,15,14,5,0,2,5,8,10,0,0,0.318,0.434,0.568,1.002,90,25,465,0.226,0.323,0.757
661,JonathanSchoop,2B,DET,12,30,2,6,2,0,0,1,4,9,1,1,0.2,0.294,0.267,0.561,91,22,623,0.278,0.32,0.755
170,JoshRojas,SS,ARI,24,72,8,25,3,1,4,15,7,19,0,1,0.347,0.405,0.583,0.988,92,11,484,0.264,0.341,0.752
148,JorgeSoler,DH,KC,21,56,9,16,6,0,5,10,5,18,0,0,0.286,0.344,0.661,1.005,93,27,516,0.223,0.316,0.748
703,MarkCanha,LF,OAK,17,42,3,7,0,0,0,0,11,12,1,1,0.167,0.352,0.167,0.519,94,17,519,0.231,0.358,0.745
823,NickyLopez,2B,KC,16,34,2,4,1,0,0,4,5,13,1,0,0.118,0.231,0.147,0.378,95,2,497,0.3,0.365,0.743
88,JoshHarrison,2B,WSH,16,36,9,15,2,0,2,7,3,5,1,1,0.417,0.488,0.639,1.127,96,8,505,0.279,0.341,0.741
62,AdolisGarcia,X,TEX,22,32,10,12,4,0,3,13,2,9,4,0,0.375,0.389,0.781,1.17,98,31,581,0.243,0.286,0.74
115,TrentGrisham,CF,SD,7,13,5,3,2,0,1,3,5,7,1,0,0.231,0.444,0.615,1.059,99,15,462,0.242,0.327,0.74
177,YandyDiaz,3B,TB,17,37,5,12,1,1,2,12,7,5,0,0,0.324,0.413,0.568,0.981,97,13,465,0.256,0.353,0.74
780,JonathanVillar,3B,NYM,11,29,1,4,0,0,1,3,2,13,0,0,0.138,0.194,0.241,0.435,100,18,454,0.249,0.322,0.738
113,FranciscoLindor,SS,NYM,17,54,8,20,2,0,4,14,6,6,1,2,0.37,0.433,0.63,1.063,101,20,452,0.23,0.322,0.734
264,KyleFarmer,SS,CIN,18,48,6,15,6,0,1,5,5,7,0,0,0.313,0.389,0.5,0.889,102,16,483,0.263,0.316,0.732
396,PavinSmith,1B,ARI,27,60,10,17,5,0,1,3,7,12,0,0,0.283,0.358,0.417,0.775,104,11,498,0.267,0.328,0.732
528,EricHosmer,1B,SD,16,44,4,12,0,0,2,7,0,9,0,0,0.273,0.267,0.409,0.676,103,12,509,0.269,0.337,0.732
389,AmedRosario,CF,CLE,12,31,5,10,1,1,0,0,1,4,0,0,0.323,0.364,0.419,0.783,105,11,550,0.282,0.321,0.73
334,JazzChisholm,2B,MIA,20,41,8,11,0,0,3,6,4,13,4,2,0.268,0.333,0.488,0.821,106,18,464,0.248,0.303,0.728
341,DavidPeralta,LF,ARI,17,48,6,12,6,0,2,8,5,9,0,1,0.25,0.315,0.5,0.815,107,8,487,0.259,0.325,0.727
417,TommyPham,LF,SD,20,50,9,13,1,0,2,4,8,13,0,1,0.26,0.362,0.4,0.762,108,15,475,0.229,0.34,0.723
291,MattChapman,3B,OAK,18,39,6,7,2,0,3,3,14,12,0,0,0.179,0.396,0.462,0.858,110,27,529,0.21,0.314,0.717
294,JedLowrie,2B,OAK,13,34,5,9,4,0,2,5,2,8,0,0,0.265,0.297,0.559,0.856,111,14,457,0.245,0.318,0.716
347,MiguelRojas,SS,MIA,17,36,5,10,0,0,2,4,5,4,1,0,0.278,0.366,0.444,0.81,113,9,495,0.265,0.322,0.714
357,EugenioSuarez,SS,CIN,18,45,7,11,6,0,1,5,7,23,0,0,0.244,0.358,0.444,0.802,114,31,505,0.198,0.286,0.714
747,J.P.Crawford,SS,SEA,18,39,4,5,0,0,0,3,12,8,3,1,0.128,0.346,0.128,0.474,112,9,619,0.273,0.338,0.714
272,WhitMerrifield,2B,KC,16,43,5,16,5,0,0,3,1,7,0,2,0.372,0.391,0.488,0.879,115,10,664,0.277,0.317,0.712
679,DJLeMahieu,2B,NYY,18,51,5,11,0,0,1,3,3,11,2,0,0.216,0.259,0.275,0.534,116,10,597,0.268,0.349,0.711
488,RandalGrichuk,RF,TOR,15,39,4,9,4,0,1,8,3,12,0,0,0.231,0.295,0.41,0.705,117,22,511,0.241,0.281,0.704
578,MiguelCabrera,DH,DET,16,40,2,9,1,0,2,8,1,11,0,0,0.225,0.25,0.4,0.65,118,15,472,0.256,0.316,0.702
490,JoseIglesias,SS,LAA,20,49,5,11,1,2,2,6,1,4,0,0,0.224,0.255,0.449,0.704,119,9,483,0.271,0.309,0.7
526,RaimelTapia,LF,COL,19,54,6,15,2,0,1,9,2,14,2,1,0.278,0.31,0.37,0.68,120,6,487,0.273,0.327,0.699
126,GleyberTorres,SS,NYY,18,44,11,12,2,0,5,9,8,11,2,1,0.273,0.385,0.659,1.044,122,9,459,0.259,0.331,0.697
404,MylesStraw,CF,HOU,16,42,3,13,3,1,0,1,2,7,3,1,0.31,0.341,0.429,0.77,121,4,564,0.271,0.349,0.697
327,TommyEdman,2B,STL,18,45,4,17,2,0,0,0,2,11,2,0,0.378,0.404,0.422,0.826,123,11,641,0.262,0.308,0.695
241,CesarHernandez,2B,CLE,18,52,5,18,3,0,2,9,5,13,1,0,0.346,0.397,0.519,0.916,124,21,570,0.232,0.308,0.694
94,HunterDozier,3B,KC,18,45,9,13,5,0,5,13,6,13,0,0,0.289,0.373,0.733,1.106,125,16,487,0.216,0.285,0.679
206,NickSolak,2B,TEX,18,48,9,15,1,0,4,10,4,14,1,0,0.313,0.365,0.583,0.948,126,11,458,0.242,0.314,0.676
251,IsiahKiner-Falefa,SS,TEX,18,45,9,15,3,2,0,4,6,8,1,1,0.333,0.412,0.489,0.901,127,8,635,0.271,0.312,0.669
204,CarlosSantana,1B,KC,20,47,8,12,1,0,4,10,11,9,0,0,0.255,0.417,0.532,0.949,128,19,565,0.214,0.319,0.661
121,Michael A.Taylor,CF,KC,17,39,9,13,3,1,2,7,8,12,0,2,0.333,0.438,0.615,1.053,129,12,483,0.244,0.297,0.653
571,DavidFletcher,2B,LAA,20,49,6,14,2,0,0,5,3,10,0,0,0.286,0.327,0.327,0.654,130,2,626,0.262,0.297,0.621
663,ElvisAndrus,SS,OAK,16,43,5,8,3,1,0,5,3,8,0,1,0.186,0.255,0.302,0.557,131,3,497,0.243,0.294,0.614
21,KevinNewman,SS,PIT,13,33,11,20,6,0,0,5,5,0,2,1,0.606,0.641,0.788,1.429,132,5,517,0.226,0.265,0.574
