Rank,Player,Position,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,Check,HR_all,AB_all,AVG_all,OBP_all,OPS_all
44,BryceHarper,RF,PHI,15,35,10,12,3,0,4,8,9,11,0,1,0.343,0.477,0.771,1.248,1,35,488,0.309,0.429,1.044
44,VladimirGuerrero,1B,TOR,17,38,9,16,4,1,2,10,7,5,0,0,0.421,0.511,0.737,1.248,2,48,604,0.311,0.401,1.002
753,JuanSoto,RF,WSH,13,33,2,6,0,0,0,0,5,5,0,0,0.182,0.289,0.182,0.471,3,29,502,0.313,0.465,0.999
69,FernandoTatis,SS,SD,14,32,8,12,2,0,3,10,4,8,1,0,0.375,0.444,0.719,1.163,4,42,478,0.282,0.364,0.975
15,ShoheiOhtani,DH,LAA,15,31,11,17,0,0,5,8,3,4,2,0,0.548,0.571,1.032,1.603,5,46,537,0.257,0.372,0.964
180,NickCastellanos,RF,CIN,17,45,6,15,2,1,3,8,2,12,0,0,0.333,0.354,0.622,0.976,6,34,531,0.309,0.362,0.938
379,JoeyVotto,1B,CIN,7,18,4,6,1,0,0,1,2,4,0,0,0.333,0.4,0.389,0.789,7,36,448,0.266,0.375,0.938
462,AaronJudge,RF,NYY,16,43,6,11,3,0,1,2,4,14,0,0,0.256,0.333,0.395,0.728,8,39,550,0.287,0.373,0.917
452,KyleTucker,RF,HOU,17,42,6,11,4,0,0,5,8,5,0,0,0.262,0.38,0.357,0.737,9,30,506,0.294,0.359,0.916
218,TylerO'Neill,LF,STL,16,45,5,16,3,0,2,10,2,13,3,0,0.356,0.383,0.556,0.939,10,34,482,0.286,0.352,0.912
246,BryanReynolds,LF,PIT,17,46,10,14,1,0,3,9,5,11,2,0,0.304,0.385,0.522,0.907,11,24,559,0.302,0.39,0.912
80,MattOlson,1B,OAK,18,49,11,16,5,0,6,18,2,14,0,0,0.327,0.346,0.796,1.142,12,39,565,0.271,0.371,0.911
689,TreaTurner,SS,WSH,18,47,5,8,2,0,0,1,10,10,1,1,0.17,0.316,0.213,0.529,13,28,595,0.328,0.375,0.911
60,C.J.Cron,1B,COL,19,48,11,17,3,1,5,8,5,9,0,0,0.354,0.415,0.771,1.186,14,28,470,0.281,0.375,0.905
481,AustinRiley,3B,ATL,16,40,7,10,1,0,2,7,2,9,0,0,0.25,0.286,0.425,0.711,15,33,590,0.303,0.367,0.898
601,FreddieFreeman,1B,ATL,17,38,6,7,2,0,1,3,7,13,0,0,0.184,0.311,0.316,0.627,16,31,600,0.3,0.393,0.896
202,BrandonCrawford,SS,SF,15,36,7,11,3,0,2,7,6,7,0,1,0.306,0.395,0.556,0.951,17,24,483,0.298,0.373,0.895
379,MaxMuncy,1B,LAD,20,48,12,11,1,0,3,6,9,15,0,0,0.229,0.351,0.438,0.789,18,36,497,0.249,0.368,0.895
449,JoseRamirez,3B,CLE,16,45,6,11,2,0,2,5,5,8,2,0,0.244,0.32,0.422,0.742,19,36,552,0.266,0.355,0.893
509,RafaelDevers,3B,BOS,20,52,6,11,2,0,3,8,4,14,0,0,0.212,0.268,0.423,0.691,20,38,591,0.279,0.352,0.89
402,PaulGoldschmidt,1B,STL,18,48,5,13,3,0,2,3,3,7,0,0,0.271,0.314,0.458,0.772,21,31,603,0.294,0.365,0.879
442,CedricMullins,CF,BAL,17,50,7,13,4,1,1,7,3,8,3,0,0.26,0.309,0.44,0.749,22,30,602,0.291,0.36,0.878
609,YordanAlvarez,DH,HOU,10,29,1,5,2,0,1,5,4,6,0,0,0.172,0.273,0.345,0.618,23,33,537,0.277,0.346,0.877
