feet	Rank	RankPrev	Player	Roundsp	percentMade	Attempts	Putts_made
07	T59	T58	Austin Smotherman	57	65.63	32	21
07	T59	T58	Martin Trainer	62	65.63	32	21
07	T62	T61	Bronson Burgoon	37	65.52	29	19
07	T62	T61	Taylor Pendrith	51	65.52	29	19
07	T62	T63	Jon Rahm	50	65.52	29	19
07	65	T63	Curtis Thompson	53	65.38	26	17
07	66	65	Dustin Johnson	37	65.22	23	15
07	67	T46	Nate Lashley	64	64.86	37	24
07	68	67	Brian Stuard	75	64.81	54	35
07	69	T68	Lee Hodges	65	64.71	51	33
07	70	T46	Pat Perez	62	64.44	45	29
07	71	93	Brian Harman	64	64.29	42	27
07	72	T94	Joel Dahmen	71	64.15	53	34
07	73	T76	Matthew NeSmith	76	64.10	39	25
07	74	T137	Cam Davis	58	63.89	36	23
07	T75	T78	Dylan Frittelli	67	63.64	33	21
07	T75	T97	Sungjae Im	67	63.64	44	28
07	T75	T78	Chase Seiffert	37	63.64	22	14
07	T78	82	Greyson Sigg	68	63.41	41	26
07	T78	83	Brendan Steele	61	63.41	41	26
07	T80	T84	Maverick McNealy	69	62.96	54	34
07	T80	57	Adam Schenk	75	62.96	54	34
07	T80	T84	Dawie van der Walt	44	62.96	27	17
07	83	86	Brice Garnett	63	62.86	35	22
07	84	T87	Luke List	65	62.79	43	27
07	85	T43	Lanto Griffin	72	62.71	59	37
07	86	T89	Denny McCarthy	80	62.69	67	42
07	T87	T89	Wesley Bryan	37	62.50	32	20
07	T87	T46	Jason Dufner	38	62.50	24	15
07	T87	T112	Collin Morikawa	48	62.50	32	20
07	T87	66	J.T. Poston	58	62.50	40	25
07	T87	72	Patrick Rodgers	65	62.50	32	20
07	T87	T89	Brandt Snedeker	53	62.50	32	20
07	93	92	Sung Kang	66	62.22	45	28
07	T94	T94	Russell Knox	77	62.00	50	31
07	T94	T94	Hank Lebioda	60	62.00	50	31
07	T94	T126	Jordan Spieth	53	62.00	50	31
07	97	T97	Joshua Creel	35	61.90	21	13
07	98	T68	C.T. Pan	65	61.82	55	34
07	99	99	Kevin Kisner	56	61.76	34	21
07	T100	T73	Keegan Bradley	65	61.70	47	29
07	T100	T87	Patton Kizzire	68	61.70	47	29
07	102	T105	Justin Lower	52	61.54	26	16
07	103	T137	Alex Noren	58	61.29	31	19
