Rank,Feet,Player,% Made,Attempts,Putts_made
1,27.5,Wyndham Clark,10.70%,243,26
2,27.5,Matthieu Pavon,10.12%,257,26
3,27.5,Viktor Hovland,9.01%,222,20
4,27.5,Webb Simpson,8.61%,209,18
5,27.5,Zach Johnson,8.59%,198,17
6,27.5,Max Greyserman,8.58%,303,26
7,27.5,Rico Hoey,8.46%,319,27
8,27.5,Michael Kim,8.45%,296,25
9,27.5,Sam Stevens,8.29%,362,30
10,27.5,Mac Meissner,8.16%,294,24
11,27.5,Patrick Cantlay,8.15%,233,19
12,27.5,Ryan Fox,8.01%,312,25
13,27.5,Harris English,7.92%,379,30
14,27.5,Jordan Spieth,7.89%,279,22
15,27.5,Troy Merritt,7.76%,232,18
16,27.5,Justin Lower,7.60%,408,31
17,27.5,Jason Day,7.57%,251,19
18,27.5,Denny McCarthy,7.56%,357,27
19,27.5,Ludvig Åberg,7.53%,292,22
20,27.5,Matt Fitzpatrick,7.53%,292,22
21,27.5,Shane Lowry,7.42%,283,21
22,27.5,Tom Hoge,0.0729,329,24
23,27.5,Ben Kohles,0.0728,371,27
24,27.5,Kevin Tway,0.0723,235,17
25,27.5,Sahith Theegala,0.0716,391,28
26,27.5,Joel Dahmen,0.0712,295,21
26,27.5,Will Zalatoris,0.0712,281,20
28,27.5,Ryo Hisatsune,0.0708,325,23
29,27.5,Trace Crowe,0.0704,199,14
30,27.5,David Skinns,0.0703,313,22
31,27.5,Rory McIlroy,0.0699,286,20
32,27.5,Carson Young,0.0687,335,23
33,27.5,Sungjae Im,0.0677,325,22
34,27.5,Taylor Moore,0.0675,415,28
35,27.5,"Blaine Hale, Jr.",0.0674,178,12
36,27.5,Thorbjørn Olesen,0.067,179,12
37,27.5,Andrew Novak,0.0669,314,21
38,27.5,Erik van Rooyen,0.0667,315,21
39,27.5,Adam Scott,0.0653,291,19
40,27.5,Martin Laird,0.0651,292,19
41,27.5,J.J. Spaun,0.0647,340,22
42,27.5,Nick Dunlap,0.0646,263,17
43,27.5,Keegan Bradley,0.064,297,19
44,27.5,Sam Ryder,0.0639,266,17
45,27.5,Christiaan Bezuidenhout,0.0638,282,18
45,27.5,Seamus Power,0.0638,376,24
47,27.5,Nico Echavarria,0.0635,315,20
48,27.5,Kevin Kisner,0.0633,237,15
49,27.5,Roger Sloan,0.0628,223,14
50,27.5,Nick Taylor,0.0625,320,20
51,27.5,Matti Schmid,0.0623,305,19
52,27.5,Robert MacIntyre,0.0619,307,19
52,27.5,Taylor Pendrith,0.0619,323,20
54,27.5,Chan Kim,0.0608,329,20
55,27.5,Brandt Snedeker,0.0607,247,15
56,27.5,Brian Harman,0.0606,330,20
57,27.5,Sami Valimaki,0.0605,248,15
58,27.5,Patrick Fishburn,0.0601,316,19
59,27.5,Hideki Matsuyama,0.0599,267,16
59,27.5,Austin Smotherman,0.0599,167,10
59,27.5,Josh Teater,0.0599,167,10
62,27.5,Thomas Detry,0.0596,285,17
63,27.5,Corey Conners,0.0595,370,22
64,27.5,Tyson Alexander,0.0592,321,19
65,27.5,Pierceson Coody,0.0588,289,17
65,27.5,Ben Griffin,0.0588,408,24
65,27.5,Scottie Scheffler,0.0588,238,14
68,27.5,Si Woo Kim,0.0586,307,18
68,27.5,Nate Lashley,0.0586,290,17
70,27.5,Joseph Bramlett,0.0585,359,21
71,27.5,Wesley Bryan,0.0584,154,9
71,27.5,Vince Whaley,0.0584,257,15
73,27.5,David Lipsky,0.058,276,16
74,27.5,Beau Hossler,0.0579,363,21
75,27.5,Greyson Sigg,0.0576,295,17
76,27.5,Kevin Streelman,0.0575,261,15
77,27.5,Matt Wallace,0.0572,297,17
78,27.5,Mackenzie Hughes,0.0568,405,23
79,27.5,Adam Hadwin,0.0567,300,17
80,27.5,Adrien Dumont de Chassart,0.0565,283,16
80,27.5,Ryan McCormick,0.0565,248,14
80,27.5,Justin Rose,0.0565,230,13
83,27.5,Daniel Berger,0.0563,284,16
83,27.5,Austin Eckroat,0.0563,320,18
85,27.5,Robby Shelton,0.0561,303,17
86,27.5,Tommy Fleetwood,0.0559,304,17
86,27.5,K.H. Lee,0.0559,286,16
88,27.5,Akshay Bhatia,0.0557,341,19
88,27.5,Xander Schauffele,0.0557,305,17
90,27.5,Jacob Bridgeman,0.0554,271,15
90,27.5,Stephan Jaeger,0.0554,307,17
92,27.5,Taylor Montgomery,0.055,200,11
93,27.5,Lee Hodges,0.0548,383,21
94,27.5,Matt Kuchar,0.0545,312,17
95,27.5,Cameron Young,0.0544,294,16
96,27.5,Adam Schenk,0.0543,368,20
97,27.5,Billy Horschel,0.054,315,17
98,27.5,Erik Barnes,0.0539,204,11
98,27.5,Russell Henley,0.0539,241,13
98,27.5,Charley Hoffman,0.0539,241,13
101,27.5,J.T. Poston,0.0538,353,19
101,27.5,Gary Woodland,0.0538,353,19
103,27.5,Zac Blair,0.0533,319,17
104,27.5,Doug Ghim,0.0525,362,19
105,27.5,Alex Smalley,0.0524,267,14
106,27.5,Jorge Campillo,0.0521,211,11
106,27.5,Chandler Phillips,0.0521,288,15
106,27.5,Alejandro Tosti,0.0521,288,15
109,27.5,Patrick Rodgers,0.0519,405,21
110,27.5,Ben Silverman,0.0518,328,17
111,27.5,Harry Hall,0.0515,272,14
111,27.5,Dylan Wu,0.0515,330,17
113,27.5,Kevin Dougherty,0.0514,253,13
114,27.5,Callum Tarren,0.051,294,15
115,27.5,Raul Pereda,0.0506,158,8
116,27.5,Andrew Putnam,0.0503,378,19
117,27.5,Luke List,0.0502,319,16
118,27.5,C.T. Pan,0.05,260,13
119,27.5,Lucas Glover,0.0497,302,15
119,27.5,Ryan Palmer,0.0497,161,8
121,27.5,Brendon Todd,0.0496,383,19
122,27.5,Brandon Wu,0.0493,304,15
123,27.5,Alex Noren,0.0492,305,15
124,27.5,Max Homa,0.0491,285,14
125,27.5,Chesson Hadley,0.0487,308,15
126,27.5,Nicolai Højgaard,0.0485,206,10
127,27.5,Paul Barjon,0.0482,228,11
127,27.5,Collin Morikawa,0.0482,249,12
129,27.5,Kevin Chappell,0.0479,188,9
130,27.5,Tony Finau,0.0469,320,15
130,27.5,Min Woo Lee,0.0469,277,13
132,27.5,Emiliano Grillo,0.0468,342,16
133,27.5,Sam Burns,0.0465,258,12
134,27.5,Cameron Champ,0.0462,260,12
135,27.5,Maverick McNealy,0.046,348,16
136,27.5,Carl Yuan,0.0455,220,10
137,27.5,Justin Suh,0.0453,309,14
137,27.5,Davis Thompson,0.0453,353,16
139,27.5,Victor Perez,0.045,289,13
140,27.5,Jhonattan Vegas,0.0448,268,12
141,27.5,Mark Hubbard,0.0445,427,19
141,27.5,Tom Kim,0.0445,292,13
143,27.5,Justin Thomas,0.0442,226,10
144,27.5,Rickie Fowler,0.0441,295,13
145,27.5,Peter Malnati,0.0439,319,14
146,27.5,Garrick Higgo,0.0438,297,13
146,27.5,Joe Highsmith,0.0438,251,11
148,27.5,Eric Cole,0.0434,369,16
149,27.5,Jake Knapp,0.0433,300,13
150,27.5,Hayden Buckley,0.0432,278,12
150,27.5,Kevin Yu,0.0432,324,14
152,27.5,Davis Riley,0.0429,326,14
153,27.5,Hayden Springer,0.0428,257,11
154,27.5,Aaron Rai,0.0424,377,16
155,27.5,Ryan Moore,0.0417,264,11
156,27.5,Chad Ramey,0.0415,337,14
157,27.5,Martin Trainer,0.041,195,8
158,27.5,Chez Reavie,0.0403,248,10
159,27.5,Tom Whitney,0.0402,224,9
160,27.5,Nick Hardy,0.0396,379,15
160,27.5,S.H. Kim,0.0396,429,17
162,27.5,Aaron Baddeley,0.0392,255,10
163,27.5,Keith Mitchell,0.039,333,13
164,27.5,Matt NeSmith,0.0382,314,12
165,27.5,Kurt Kitayama,0.0375,293,11
166,27.5,Wilson Furr,0.0374,214,8
167,27.5,Henrik Norlander,0.0365,219,8
168,27.5,Tyler Duncan,0.0362,304,11
169,27.5,Ryan Brehm,0.0361,249,9
170,27.5,Cam Davis,0.0353,312,11
171,27.5,Bud Cauley,0.0351,228,8
172,27.5,Patton Kizzire,0.035,257,9
173,27.5,Brice Garnett,0.0338,207,7
174,27.5,Vincent Norrman,0.0331,242,8
175,27.5,Rafael Campos,0.0327,214,7
176,27.5,Ben Taylor,0.0315,254,8
177,27.5,Lanto Griffin,0.0313,319,10
177,27.5,Adam Svensson,0.0313,448,14
179,27.5,Byeong Hun An,0.0301,266,8
180,27.5,Sepp Straka,0.0283,283,8
181,27.5,Camilo Villegas,0.0282,213,6
182,27.5,Chris Kirk,0.0258,271,7
183,27.5,Chris Gotterup,0.0252,317,8
184,27.5,Parker Coody,0.01,201,2
1,22.5,Max Greyserman,0.23,100,23
2,22.5,Patrick Fishburn,0.2208,77,17
3,22.5,Hayden Springer,0.2188,64,14
4,22.5,Chez Reavie,0.2078,77,16
5,22.5,Harry Hall,0.1882,85,16
6,22.5,Russell Henley,0.1863,102,19
7,22.5,Sam Ryder,0.1848,92,17
8,22.5,Rickie Fowler,0.18,100,18
9,22.5,Ben Silverman,0.1789,123,22
10,22.5,Thomas Detry,0.1776,107,19
11,22.5,Robby Shelton,0.1765,102,18
12,22.5,Si Woo Kim,0.1759,108,19
13,22.5,Chad Ramey,0.1758,91,16
14,22.5,Matt Fitzpatrick,0.175,80,14
15,22.5,Vince Whaley,0.1728,81,14
16,22.5,Sungjae Im,0.1724,116,20
17,22.5,Mark Hubbard,0.1707,123,21
18,22.5,Kevin Kisner,0.169,71,12
19,22.5,Hideki Matsuyama,0.1688,77,13
20,22.5,Tyson Alexander,0.1667,84,14
20,22.5,Patton Kizzire,0.1667,72,12
22,22.5,Viktor Hovland,0.1646,79,13
22,22.5,Troy Merritt,0.1646,79,13
24,22.5,Kevin Chappell,0.1639,61,10
25,22.5,Rory McIlroy,0.1628,86,14
26,22.5,Shane Lowry,0.1613,93,15
27,22.5,Cam Davis,0.1607,112,18
27,22.5,Ryan McCormick,0.1607,56,9
29,22.5,Justin Rose,0.1585,82,13
30,22.5,Patrick Cantlay,0.1579,76,12
31,22.5,K.H. Lee,0.156,109,17
32,22.5,Ryan Fox,0.1538,117,18
33,22.5,Justin Lower,0.1532,124,19
33,22.5,J.T. Poston,0.1532,124,19
35,22.5,Matt Wallace,0.1529,85,13
36,22.5,Brian Harman,0.1525,118,18
37,22.5,Max Homa,0.1524,105,16
37,22.5,Denny McCarthy,0.1524,105,16
39,22.5,Nate Lashley,0.1522,92,14
40,22.5,Matti Schmid,0.1504,113,17
41,22.5,Billy Horschel,0.15,100,15
41,22.5,Zach Johnson,0.15,60,9
41,22.5,Dylan Wu,0.15,100,15
44,22.5,Alex Noren,0.1494,87,13
44,22.5,Kevin Streelman,0.1494,87,13
46,22.5,Eric Cole,0.1493,134,20
47,22.5,Michael Kim,0.1481,108,16
48,22.5,Taylor Montgomery,0.1471,68,10
49,22.5,Tom Kim,0.1468,109,16
49,22.5,Erik van Rooyen,0.1468,109,16
51,22.5,Zac Blair,0.1466,116,17
52,22.5,Andrew Novak,0.146,137,20
53,22.5,Sahith Theegala,0.1453,117,17
54,22.5,Brandon Wu,0.1443,97,14
55,22.5,Tony Finau,0.1441,111,16
56,22.5,Jacob Bridgeman,0.1429,77,11
57,22.5,Maverick McNealy,0.1416,113,16
57,22.5,Carson Young,0.1416,113,16
59,22.5,Adam Scott,0.1413,92,13
59,22.5,Cameron Young,0.1413,92,13
61,22.5,Taylor Pendrith,0.1393,122,17
62,22.5,Brandt Snedeker,0.1389,72,10
63,22.5,Patrick Rodgers,0.1382,152,21
64,22.5,Wyndham Clark,0.1379,87,12
65,22.5,Rafael Campos,0.1364,66,9
66,22.5,Matthieu Pavon,0.1358,81,11
67,22.5,Sam Stevens,0.1348,141,19
68,22.5,Garrick Higgo,0.134,97,13
68,22.5,Victor Perez,0.134,97,13
70,22.5,Sam Burns,0.1333,105,14
70,22.5,Brice Garnett,0.1333,60,8
70,22.5,Chandler Phillips,0.1333,120,16
73,22.5,C.T. Pan,0.1327,98,13
74,22.5,Seamus Power,0.1319,144,19
75,22.5,Carl Yuan,0.1316,76,10
76,22.5,Beau Hossler,0.1308,130,17
76,22.5,Xander Schauffele,0.1308,107,14
78,22.5,Scottie Scheffler,0.1304,92,12
79,22.5,Wesley Bryan,0.1296,54,7
80,22.5,Pierceson Coody,0.1294,85,11
81,22.5,Chesson Hadley,0.129,93,12
81,22.5,"Blaine Hale, Jr.",0.129,62,8
83,22.5,Ben Taylor,0.1279,86,11
84,22.5,Brendon Todd,0.1262,103,13
85,22.5,Aaron Baddeley,0.125,96,12
85,22.5,Tom Hoge,0.125,128,16
85,22.5,Luke List,0.125,88,11
85,22.5,Robert MacIntyre,0.125,80,10
85,22.5,Justin Suh,0.125,96,12
90,22.5,Lee Hodges,0.1241,145,18
90,22.5,Adam Svensson,0.1241,145,18
92,22.5,Christiaan Bezuidenhout,0.1224,98,12
93,22.5,Stephan Jaeger,0.1222,90,11
94,22.5,Adrien Dumont de Chassart,0.122,82,10
94,22.5,Lanto Griffin,0.122,82,10
94,22.5,S.H. Kim,0.122,123,15
97,22.5,Nick Taylor,0.1207,116,14
98,22.5,Trace Crowe,0.1196,92,11
99,22.5,Joseph Bramlett,0.1188,101,12
99,22.5,Harris English,0.1188,101,12
101,22.5,Lucas Glover,0.1182,110,13
102,22.5,Mackenzie Hughes,0.1165,103,12
102,22.5,Adam Schenk,0.1165,103,12
104,22.5,Ryan Palmer,0.1159,69,8
105,22.5,Parker Coody,0.1154,78,9
105,22.5,Jhonattan Vegas,0.1154,104,12
107,22.5,Ben Griffin,0.1151,139,16
108,22.5,Joe Highsmith,0.1139,79,9
109,22.5,Alex Smalley,0.1136,88,10
110,22.5,Tommy Fleetwood,0.1134,97,11
111,22.5,Ryo Hisatsune,0.1132,106,12
111,22.5,Ben Kohles,0.1132,106,12
113,22.5,Davis Thompson,0.1129,124,14
114,22.5,Camilo Villegas,0.1127,71,8
115,22.5,Chris Kirk,0.1125,80,9
116,22.5,Nico Echavarria,0.1122,98,11
117,22.5,Paul Barjon,0.1111,54,6
117,22.5,Jake Knapp,0.1111,99,11
117,22.5,Peter Malnati,0.1111,99,11
117,22.5,Ryan Moore,0.1111,108,12
117,22.5,Martin Trainer,0.1111,63,7
122,22.5,Martin Laird,0.1099,91,10
123,22.5,Jason Day,0.1098,82,9
123,22.5,Collin Morikawa,0.1098,82,9
125,22.5,Wilson Furr,0.1094,64,7
126,22.5,Alejandro Tosti,0.1084,83,9
127,22.5,Kevin Yu,0.1075,93,10
128,22.5,Greyson Sigg,0.1062,113,12
129,22.5,Chris Gotterup,0.1059,85,9
129,22.5,Callum Tarren,0.1059,85,9
131,22.5,Tyler Duncan,0.1053,76,8
131,22.5,David Lipsky,0.1053,95,10
133,22.5,Taylor Moore,0.1043,115,12
134,22.5,Erik Barnes,0.1034,58,6
135,22.5,Adam Hadwin,0.1028,107,11
136,22.5,Aaron Rai,0.1026,117,12
137,22.5,Raul Pereda,0.102,49,5
138,22.5,Roger Sloan,0.1014,69,7
139,22.5,Tom Whitney,0.1013,79,8
140,22.5,Austin Smotherman,0.1,70,7
141,22.5,Nicolai Højgaard,0.0984,61,6
141,22.5,Thorbjørn Olesen,0.0984,61,6
143,22.5,Austin Eckroat,0.0976,123,12
144,22.5,Ludvig Åberg,0.0968,93,9
145,22.5,Akshay Bhatia,0.0965,114,11
146,22.5,Nick Dunlap,0.0952,84,8
147,22.5,Jorge Campillo,0.0938,64,6
148,22.5,Rico Hoey,0.0935,107,10
149,22.5,Jordan Spieth,0.093,86,8
150,22.5,Charley Hoffman,0.0918,98,9
151,22.5,Emiliano Grillo,0.0909,132,12
151,22.5,Henrik Norlander,0.0909,77,7
151,22.5,David Skinns,0.0909,110,10
151,22.5,Sepp Straka,0.0909,121,11
155,22.5,Kevin Dougherty,0.0857,70,6
156,22.5,Chan Kim,0.0849,106,9
157,22.5,Sami Valimaki,0.0845,71,6
158,22.5,Mac Meissner,0.0843,83,7
159,22.5,Daniel Berger,0.0833,96,8
159,22.5,Ryan Brehm,0.0833,60,5
161,22.5,Doug Ghim,0.0827,133,11
162,22.5,Kurt Kitayama,0.0825,97,8
163,22.5,Joel Dahmen,0.082,122,10
164,22.5,Keith Mitchell,0.0808,99,8
165,22.5,Cameron Champ,0.0805,87,7
166,22.5,Will Zalatoris,0.08,75,6
167,22.5,Justin Thomas,0.0792,101,8
168,22.5,Corey Conners,0.0789,114,9
169,22.5,Matt NeSmith,0.0777,103,8
170,22.5,Keegan Bradley,0.0769,104,8
171,22.5,Davis Riley,0.0761,92,7
172,22.5,Andrew Putnam,0.0748,107,8
173,22.5,Webb Simpson,0.0741,54,4
173,22.5,J.J. Spaun,0.0741,108,8
175,22.5,Kevin Tway,0.0735,68,5
176,22.5,Hayden Buckley,0.0732,82,6
177,22.5,Byeong Hun An,0.0707,99,7
178,22.5,Matt Kuchar,0.0686,102,7
179,22.5,Josh Teater,0.0678,59,4
180,22.5,Min Woo Lee,0.0619,97,6
181,22.5,Nick Hardy,0.0603,116,7
181,22.5,Gary Woodland,0.0603,116,7
183,22.5,Bud Cauley,0.0417,72,3
184,22.5,Vincent Norrman,0.039,77,3
1,17.5,Sam Burns,0.3109,119,37
2,17.5,Rafael Campos,0.3011,93,28
3,17.5,Scottie Scheffler,0.2975,121,36
4,17.5,Roger Sloan,0.2868,129,37
5,17.5,Viktor Hovland,0.2804,107,30
6,17.5,Justin Suh,0.2748,131,36
7,17.5,Byeong Hun An,0.2713,129,35
8,17.5,Denny McCarthy,0.2672,131,35
9,17.5,Martin Trainer,0.2647,68,18
10,17.5,Justin Thomas,0.2627,118,31
11,17.5,Carson Young,0.2606,142,37
12,17.5,Tony Finau,0.2605,119,31
13,17.5,Lanto Griffin,0.2571,105,27
14,17.5,Kevin Streelman,0.2523,111,28
15,17.5,Rickie Fowler,0.2518,139,35
16,17.5,Sahith Theegala,0.247,166,41
17,17.5,Wyndham Clark,0.2455,110,27
18,17.5,Seamus Power,0.2448,192,47
19,17.5,Ben Griffin,0.2429,177,43
20,17.5,Christiaan Bezuidenhout,0.2414,145,35
21,17.5,Maverick McNealy,0.2406,133,32
22,17.5,Tyson Alexander,0.2404,104,25
23,17.5,Mac Meissner,0.2397,121,29
24,17.5,Nick Taylor,0.2391,138,33
25,17.5,Brendon Todd,0.2389,180,43
26,17.5,Patrick Cantlay,0.2376,101,24
27,17.5,Thomas Detry,0.2358,106,25
28,17.5,Davis Riley,0.2353,153,36
29,17.5,Shane Lowry,0.2347,98,23
30,17.5,C.T. Pan,0.2336,107,25
31,17.5,Patton Kizzire,0.2308,91,21
31,17.5,Webb Simpson,0.2308,91,21
33,17.5,Max Greyserman,0.2296,135,31
34,17.5,Sam Ryder,0.2292,96,22
35,17.5,Sami Valimaki,0.2286,105,24
36,17.5,Matti Schmid,0.2281,114,26
37,17.5,Jacob Bridgeman,0.2273,132,30
38,17.5,Billy Horschel,0.2263,137,31
38,17.5,Chandler Phillips,0.2263,137,31
40,17.5,Justin Lower,0.2258,155,35
41,17.5,Beau Hossler,0.2252,151,34
42,17.5,Andrew Putnam,0.2238,143,32
43,17.5,Ryan McCormick,0.2237,76,17
44,17.5,Ludvig Åberg,0.2222,126,28
44,17.5,Wesley Bryan,0.2222,63,14
44,17.5,Chad Ramey,0.2222,117,26
44,17.5,Justin Rose,0.2222,90,20
44,17.5,Erik van Rooyen,0.2222,144,32
49,17.5,Hayden Springer,0.2213,122,27
50,17.5,Austin Smotherman,0.2209,86,19
51,17.5,Ryan Brehm,0.2208,77,17
52,17.5,S.H. Kim,0.2192,146,32
53,17.5,J.T. Poston,0.2183,142,31
54,17.5,Mackenzie Hughes,0.2177,147,32
54,17.5,Dylan Wu,0.2177,124,27
56,17.5,Ben Taylor,0.2159,88,19
57,17.5,Luke List,0.2155,116,25
58,17.5,Cameron Young,0.2153,144,31
59,17.5,Keegan Bradley,0.2143,140,30
59,17.5,Tyler Duncan,0.2143,98,21
61,17.5,Tom Hoge,0.2139,173,37
62,17.5,Victor Perez,0.2137,131,28
63,17.5,Taylor Pendrith,0.2123,146,31
64,17.5,Sam Stevens,0.2118,170,36
65,17.5,Cam Davis,0.2105,114,24
66,17.5,Chris Kirk,0.2101,119,25
66,17.5,Hideki Matsuyama,0.2101,119,25
68,17.5,Keith Mitchell,0.2095,148,31
69,17.5,Jason Day,0.2091,110,23
70,17.5,Nick Hardy,0.2086,139,29
71,17.5,Adam Schenk,0.2081,149,31
72,17.5,Nico Echavarria,0.2077,130,27
73,17.5,Robby Shelton,0.2072,111,23
74,17.5,Matthieu Pavon,0.2065,92,19
75,17.5,David Skinns,0.2063,126,26
76,17.5,Matt Fitzpatrick,0.2056,107,22
76,17.5,Xander Schauffele,0.2056,107,22
78,17.5,Emiliano Grillo,0.2051,156,32
79,17.5,Brandon Wu,0.2039,103,21
80,17.5,Ryan Palmer,0.2034,59,12
81,17.5,Garrick Higgo,0.2031,128,26
81,17.5,Jake Knapp,0.2031,128,26
83,17.5,Tom Kim,0.2029,138,28
84,17.5,Max Homa,0.2018,109,22
85,17.5,Rico Hoey,0.2017,119,24
86,17.5,K.H. Lee,0.2014,144,29
87,17.5,Zach Johnson,0.2,90,18
88,17.5,Eric Cole,0.1988,161,32
89,17.5,Akshay Bhatia,0.1987,151,30
90,17.5,Corey Conners,0.1975,162,32
91,17.5,Adam Hadwin,0.1972,142,28
92,17.5,Russell Henley,0.1966,117,23
93,17.5,Adam Scott,0.1957,92,18
94,17.5,Doug Ghim,0.1955,179,35
95,17.5,Adrien Dumont de Chassart,0.1951,123,24
96,17.5,Ben Silverman,0.1948,154,30
97,17.5,Taylor Montgomery,0.1944,72,14
98,17.5,Bud Cauley,0.1942,103,20
99,17.5,Alejandro Tosti,0.194,134,26
100,17.5,Daniel Berger,0.1938,129,25
100,17.5,Troy Merritt,0.1938,129,25
102,17.5,Tommy Fleetwood,0.193,114,22
102,17.5,Raul Pereda,0.193,57,11
104,17.5,Kevin Kisner,0.1915,94,18
105,17.5,Austin Eckroat,0.1911,157,30
106,17.5,Nick Dunlap,0.1901,121,23
106,17.5,Collin Morikawa,0.1901,142,27
108,17.5,Alex Noren,0.1895,95,18
109,17.5,Charley Hoffman,0.1892,111,21
109,17.5,Robert MacIntyre,0.1892,111,21
111,17.5,Jorge Campillo,0.1884,69,13
112,17.5,Sungjae Im,0.1883,154,29
113,17.5,Taylor Moore,0.1875,176,33
114,17.5,Brandt Snedeker,0.1868,91,17
115,17.5,Erik Barnes,0.186,86,16
115,17.5,Vince Whaley,0.186,86,16
117,17.5,Min Woo Lee,0.1852,108,20
118,17.5,Matt Wallace,0.1845,103,19
119,17.5,Sepp Straka,0.184,125,23
120,17.5,Chesson Hadley,0.1835,109,20
121,17.5,Henrik Norlander,0.1809,94,17
122,17.5,Mark Hubbard,0.1806,155,28
123,17.5,Rory McIlroy,0.1802,111,20
124,17.5,Adam Svensson,0.1799,189,34
125,17.5,Stephan Jaeger,0.1796,167,30
126,17.5,Matt Kuchar,0.1791,134,24
127,17.5,Matt NeSmith,0.1786,140,25
128,17.5,Jhonattan Vegas,0.1774,124,22
129,17.5,Callum Tarren,0.1771,96,17
130,17.5,Peter Malnati,0.177,113,20
131,17.5,Harris English,0.1769,147,26
132,17.5,Harry Hall,0.1765,136,24
132,17.5,Chan Kim,0.1765,136,24
132,17.5,Thorbjørn Olesen,0.1765,85,15
135,17.5,Brian Harman,0.1761,159,28
135,17.5,Davis Thompson,0.1761,159,28
137,17.5,Ben Kohles,0.1757,148,26
138,17.5,Wilson Furr,0.1731,104,18
139,17.5,Chris Gotterup,0.1721,122,21
140,17.5,Kevin Chappell,0.1685,89,15
141,17.5,Joe Highsmith,0.1681,113,19
142,17.5,Ryan Fox,0.1679,131,22
143,17.5,Ryan Moore,0.1678,143,24
143,17.5,Gary Woodland,0.1678,143,24
145,17.5,Kevin Dougherty,0.1667,90,15
145,17.5,Michael Kim,0.1667,108,18
147,17.5,Si Woo Kim,0.1655,139,23
148,17.5,David Lipsky,0.1651,109,18
149,17.5,Kevin Tway,0.1648,91,15
150,17.5,Parker Coody,0.1646,79,13
151,17.5,Patrick Rodgers,0.163,184,30
152,17.5,Kurt Kitayama,0.1583,139,22
153,17.5,Paul Barjon,0.1579,95,15
153,17.5,Pierceson Coody,0.1579,114,18
155,17.5,Zac Blair,0.1571,140,22
156,17.5,Martin Laird,0.156,109,17
157,17.5,"Blaine Hale, Jr.",0.1548,84,13
158,17.5,Lucas Glover,0.1544,149,23
159,17.5,Joseph Bramlett,0.1532,124,19
160,17.5,Ryo Hisatsune,0.1528,144,22
161,17.5,Camilo Villegas,0.1519,79,12
162,17.5,Patrick Fishburn,0.1504,113,17
162,17.5,Nate Lashley,0.1504,133,20
164,17.5,Greyson Sigg,0.1494,154,23
165,17.5,Jordan Spieth,0.1488,121,18
166,17.5,Joel Dahmen,0.1458,144,21
166,17.5,Tom Whitney,0.1458,96,14
168,17.5,Andrew Novak,0.1455,165,24
169,17.5,Brice Garnett,0.1449,69,10
170,17.5,Will Zalatoris,0.1429,126,18
171,17.5,Alex Smalley,0.1404,114,16
172,17.5,Kevin Yu,0.1397,136,19
173,17.5,Vincent Norrman,0.1389,108,15
174,17.5,Lee Hodges,0.1351,185,25
175,17.5,Hayden Buckley,0.1321,106,14
176,17.5,Carl Yuan,0.1287,101,13
177,17.5,J.J. Spaun,0.1286,140,18
178,17.5,Trace Crowe,0.1282,117,15
179,17.5,Aaron Baddeley,0.1277,94,12
180,17.5,Cameron Champ,0.125,96,12
181,17.5,Aaron Rai,0.124,129,16
182,17.5,Josh Teater,0.1111,63,7
183,17.5,Chez Reavie,0.098,102,10
184,17.5,Nicolai Højgaard,0.0882,102,9
1,12.5,Hayden Springer,0.4052,153,62
2,12.5,Max Greyserman,0.3974,156,62
3,12.5,Thomas Detry,0.3926,163,64
4,12.5,Pierceson Coody,0.388,183,71
5,12.5,S.H. Kim,0.3846,208,80
6,12.5,Mackenzie Hughes,0.3833,180,69
7,12.5,Harris English,0.3822,191,73
8,12.5,Kevin Tway,0.381,105,40
9,12.5,Cameron Champ,0.379,124,47
10,12.5,Alex Noren,0.3741,147,55
11,12.5,Davis Riley,0.3716,183,68
12,12.5,Beau Hossler,0.3707,205,76
13,12.5,Jason Day,0.3704,135,50
14,12.5,Robert MacIntyre,0.3681,163,60
15,12.5,Sepp Straka,0.3678,174,64
16,12.5,Martin Laird,0.3669,139,51
17,12.5,K.H. Lee,0.3641,195,71
18,12.5,Matt Kuchar,0.3631,157,57
19,12.5,Patrick Cantlay,0.3611,144,52
19,12.5,Denny McCarthy,0.3611,216,78
21,12.5,Adam Scott,0.3608,158,57
22,12.5,Russell Henley,0.3585,159,57
23,12.5,Taylor Pendrith,0.358,162,58
24,12.5,Erik van Rooyen,0.3561,205,73
25,12.5,Martin Trainer,0.3551,107,38
26,12.5,Chad Ramey,0.355,200,71
27,12.5,Taylor Montgomery,0.3534,133,47
28,12.5,Ludvig Åberg,0.3529,187,66
28,12.5,Brendon Todd,0.3529,238,84
30,12.5,Ryan Fox,0.3526,190,67
31,12.5,Jordan Spieth,0.3509,171,60
32,12.5,Adam Hadwin,0.3503,197,69
33,12.5,Xander Schauffele,0.35,200,70
34,12.5,Matt Wallace,0.349,149,52
35,12.5,Christiaan Bezuidenhout,0.3483,201,70
35,12.5,Emiliano Grillo,0.3483,201,70
37,12.5,Peter Malnati,0.3478,161,56
38,12.5,Sam Burns,0.3473,167,58
39,12.5,Davis Thompson,0.3465,202,70
40,12.5,Corey Conners,0.345,200,69
41,12.5,Scottie Scheffler,0.3446,177,61
42,12.5,Maverick McNealy,0.3435,230,79
43,12.5,Byeong Hun An,0.3425,181,62
44,12.5,Aaron Rai,0.3417,199,68
