Rank,Feet,Player,% Made,Attempts,Putts_made
174,5,David Lipsky,0.7324,71,52
174,5,Will Zalatoris,0.7324,71,52
176,5,Vincent Norrman,0.7321,56,41
177,5,Camilo Villegas,0.7193,57,41
178,5,Tony Finau,0.7089,79,56
179,5,Callum Tarren,0.7024,84,59
180,5,Josh Teater,0.6923,52,36
181,5,Kevin Kisner,0.6909,55,38
182,5,Ryan Palmer,0.675,40,27
183,5,Sami Valimaki,0.6707,82,55
184,5,Kevin Streelman,0.662,71,47
1,4,Pierceson Coody,1,122,122
2,4,Cameron Champ,0.9798,99,97
3,4,Maverick McNealy,0.9786,140,137
4,4,Aaron Baddeley,0.9764,127,124
5,4,Ben Silverman,0.9741,116,113
6,4,Brian Harman,0.9732,149,145
7,4,Peter Malnati,0.9718,142,138
8,4,Xander Schauffele,0.9714,140,136
9,4,Ben Taylor,0.9694,98,95
10,4,Taylor Moore,0.9689,161,156
11,4,Jacob Bridgeman,0.9667,120,116
12,4,Hayden Buckley,0.9664,119,115
13,4,Chesson Hadley,0.9658,117,113
14,4,Matt Fitzpatrick,0.9653,144,139
15,4,Adam Hadwin,0.965,143,138
16,4,Mark Hubbard,0.9645,169,163
17,4,Eric Cole,0.9637,193,186
18,4,Mackenzie Hughes,0.9632,163,157
19,4,Doug Ghim,0.962,158,152
20,4,Kevin Chappell,0.9589,73,70
21,4,Michael Kim,0.9588,97,93
22,4,Akshay Bhatia,0.9583,144,138
23,4,J.J. Spaun,0.958,119,114
24,4,Ryo Hisatsune,0.9577,142,136
25,4,Wilson Furr,0.956,91,87
26,4,Matti Schmid,0.9558,113,108
27,4,S.H. Kim,0.9556,180,172
28,4,Cam Davis,0.9536,151,144
28,4,Collin Morikawa,0.9536,151,144
30,4,Christiaan Bezuidenhout,0.9531,128,122
31,4,Garrick Higgo,0.9528,127,121
32,4,Billy Horschel,0.9524,126,120
33,4,Adam Schenk,0.9515,165,157
34,4,Tyler Duncan,0.9508,122,116
34,4,Mac Meissner,0.9508,122,116
36,4,Carson Young,0.9504,141,134
37,4,Chandler Phillips,0.95,160,152
38,4,Will Zalatoris,0.9495,99,94
39,4,Nick Taylor,0.9485,136,129
40,4,Martin Laird,0.9483,116,110
41,4,Chris Gotterup,0.9474,133,126
41,4,Harry Hall,0.9474,133,126
43,4,Patrick Cantlay,0.9468,94,89
44,4,Harris English,0.9455,165,156
45,4,Beau Hossler,0.9452,146,138
46,4,Jason Day,0.945,109,103
47,4,Austin Eckroat,0.9441,161,152
48,4,Thomas Detry,0.944,125,118
49,4,Brice Garnett,0.9438,89,84
50,4,Luke List,0.9431,123,116
51,4,Andrew Putnam,0.9429,175,165
52,4,Emiliano Grillo,0.9427,157,148
53,4,Justin Suh,0.9426,122,115
54,4,David Skinns,0.9412,136,128
55,4,Patrick Rodgers,0.9408,152,143
56,4,Adam Scott,0.9407,118,111
57,4,Zac Blair,0.9396,182,171
58,4,Roger Sloan,0.9394,132,124
59,4,Lee Hodges,0.9375,176,165
59,4,Robert MacIntyre,0.9375,112,105
61,4,Taylor Pendrith,0.9365,126,118
62,4,Adam Svensson,0.9352,216,202
63,4,Dylan Wu,0.9348,138,129
64,4,Justin Thomas,0.9346,107,100
65,4,Keith Mitchell,0.9341,167,156
66,4,Wyndham Clark,0.9333,135,126
66,4,Tommy Fleetwood,0.9333,105,98
68,4,Nick Dunlap,0.9329,149,139
69,4,Martin Trainer,0.9326,89,83
70,4,Davis Riley,0.9323,133,124
71,4,Ryan Fox,0.9322,118,110
72,4,Sungjae Im,0.932,147,137
73,4,Seamus Power,0.9316,190,177
74,4,Denny McCarthy,0.9315,146,136
75,4,Brandt Snedeker,0.9307,101,94
76,4,Russell Henley,0.9304,115,107
77,4,Adrien Dumont de Chassart,0.9302,86,80
78,4,Davis Thompson,0.9296,142,132
79,4,Chad Ramey,0.9279,111,103
80,4,K.H. Lee,0.9275,138,128
81,4,Sepp Straka,0.9274,124,115
82,4,Gary Woodland,0.9262,149,138
83,4,Parker Coody,0.9259,81,75
83,4,Lucas Glover,0.9259,135,125
85,4,Camilo Villegas,0.9255,94,87
86,4,Charley Hoffman,0.9252,107,99
87,4,Ben Griffin,0.925,160,148
87,4,Rory McIlroy,0.925,120,111
89,4,Min Woo Lee,0.9245,106,98
90,4,Thorbjørn Olesen,0.9242,66,61
91,4,Aaron Rai,0.9241,145,134
92,4,Chez Reavie,0.9238,105,97
93,4,Vincent Norrman,0.9231,91,84
93,4,Carl Yuan,0.9231,104,96
95,4,Matt Kuchar,0.9225,129,119
96,4,Joe Highsmith,0.9224,116,107
97,4,Sahith Theegala,0.9219,192,177
98,4,Nick Hardy,0.9217,166,153
98,4,C.T. Pan,0.9217,115,106
100,4,Nicolai Højgaard,0.9213,89,82
101,4,Jorge Campillo,0.9211,76,70
101,4,Vince Whaley,0.9211,114,105
103,4,Matt NeSmith,0.9196,112,103
104,4,Tom Hoge,0.9195,174,160
105,4,Ryan McCormick,0.9184,98,90
106,4,Zach Johnson,0.9176,85,78
107,4,Lanto Griffin,0.9173,133,122
107,4,Jake Knapp,0.9173,133,122
109,4,Sami Valimaki,0.9167,108,99
110,4,Justin Lower,0.9162,179,164
110,4,Sam Stevens,0.9162,179,164
112,4,Victor Perez,0.9159,107,98
113,4,Corey Conners,0.9156,154,141
114,4,Trace Crowe,0.9138,116,106
115,4,Erik Barnes,0.9136,81,74
116,4,Justin Rose,0.9126,103,94
117,4,Andrew Novak,0.912,125,114
118,4,Max Homa,0.911,146,133
119,4,Greyson Sigg,0.9106,123,112
120,4,Patrick Fishburn,0.9099,111,101
121,4,Kevin Streelman,0.9098,122,111
122,4,Sam Ryder,0.9097,144,131
