Rank,Player,Position,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,Check,HR_all,AB_all,AVG_all,OBP_all,OPS_all,Rank_all
264,CurtisMead,3B,TB,16,42,8,22,1,0,1,5,6,6,1,1,0.524,0.608,0.619,1.227,56,3,240,0.233,0.299,0.62,377
264,JakeRogers,C,DET,15,37,4,7,2,0,1,5,3,14,0,0,0.189,0.244,0.324,0.568,23,3,123,0.187,0.277,0.61,377
264,DonovanSolano,3B,SEA,12,35,2,11,2,0,1,3,3,4,0,0,0.314,0.368,0.457,0.825,41,3,166,0.247,0.291,0.628,377
264,JackSuwinski,LF,PIT,14,40,4,15,6,0,1,9,4,10,4,1,0.375,0.422,0.6,1.022,22,3,150,0.147,0.281,0.534,377
586,OrlandoArcia,SS,ATL,18,37,1,5,0,0,0,2,4,2,0,0,0.135,0.233,0.135,0.368,41,3,203,0.202,0.238,0.529,377
586,GustavoCampero,RF,LAA,13,20,3,6,1,0,0,2,3,5,1,0,0.3,0.391,0.35,0.741,10,3,58,0.172,0.273,0.618,377
586,DenzelClarke,CF,ATH,10,18,2,3,0,0,0,1,4,8,0,0,0.167,0.318,0.167,0.485,34,3,148,0.23,0.274,0.646,377
586,XavierEdwards,SS,MIA,18,52,8,16,6,0,0,9,11,9,3,2,0.308,0.438,0.423,0.861,159,3,561,0.283,0.343,0.696,377
586,ThairoEstrada,2B,COL,14,35,3,14,0,1,0,7,0,5,3,0,0.4,0.421,0.457,0.878,39,3,154,0.253,0.285,0.655,377
586,CodyFreeman,DH,TEX,11,14,1,2,1,0,0,0,0,3,0,0,0.143,0.143,0.214,0.357,26,3,114,0.228,0.258,0.6,377
586,TylerHeineman,C,TOR,11,22,1,5,1,0,0,2,2,3,1,0,0.227,0.308,0.273,0.581,43,3,149,0.289,0.361,0.777,377
586,CooperHummel,X,HOU,17,38,7,12,5,0,0,3,7,9,2,0,0.316,0.435,0.447,0.882,15,3,88,0.17,0.298,0.571,377
586,JoseIglesias,2B,SD,12,26,2,5,1,0,0,2,0,4,0,0,0.192,0.192,0.231,0.423,70,3,306,0.229,0.298,0.592,377
586,TylerLocklear,1B,SEA,11,18,3,4,2,0,0,3,1,6,1,0,0.222,0.3,0.333,0.633,18,3,103,0.175,0.267,0.529,377
586,MichaelMassey,2B,KC,19,49,9,20,6,1,0,6,6,5,1,3,0.408,0.483,0.571,1.054,64,3,262,0.244,0.268,0.581,377
586,JoshuaPalacios,RF,PIT,9,19,2,4,0,0,0,0,2,4,0,0,0.211,0.286,0.211,0.497,26,3,128,0.203,0.292,0.597,377
586,JustinTurner,1B,CHC,10,27,2,7,0,0,0,0,1,4,0,0,0.259,0.31,0.259,0.569,37,3,169,0.219,0.288,0.602,377
16,MattGorski,X,PIT,18,25,7,9,2,0,4,13,1,7,2,0,0.36,0.37,0.92,1.29,8,2,41,0.195,0.214,0.604,413
16,NickMaton,2B,CWS,19,38,9,11,1,0,4,5,3,9,0,0,0.289,0.357,0.632,0.989,9,2,54,0.167,0.286,0.601,413
48,J.C.Escarra,C,NYY,19,53,7,16,2,0,3,8,2,12,0,0,0.302,0.339,0.509,0.848,17,2,84,0.202,0.296,0.629,413
48,KeibertRuiz,C,WSH,15,45,6,13,1,0,3,11,2,5,2,0,0.289,0.32,0.511,0.831,63,2,255,0.247,0.277,0.595,413
116,ZachDezenzo,RF,HOU,18,46,8,18,5,0,2,7,4,14,1,0,0.391,0.44,0.63,1.07,24,2,98,0.245,0.321,0.688,413
116,JerarEncarnacion,LF,SF,20,53,4,16,7,0,2,14,1,12,0,0,0.302,0.309,0.547,0.856,11,2,55,0.2,0.214,0.578,413
116,TylerFreeman,2B,COL,18,47,6,14,4,2,2,6,5,7,2,0,0.298,0.4,0.596,0.996,106,2,377,0.281,0.354,0.715,413
116,MickeyGasper,2B,MIN,17,39,8,12,1,0,2,6,8,5,1,0,0.308,0.417,0.487,0.904,15,2,95,0.158,0.257,0.489,413
116,ZackGelof,2B,ATH,15,37,7,11,1,0,2,8,4,16,0,1,0.297,0.395,0.486,0.881,16,2,92,0.174,0.23,0.502,413
116,SamHilliard,CF,COL,22,51,4,7,1,0,2,4,4,27,1,1,0.137,0.214,0.275,0.489,10,2,51,0.196,0.328,0.74,413
116,SamHuff,C,SF,15,32,6,10,1,0,2,4,7,14,0,0,0.313,0.463,0.531,0.994,11,2,53,0.208,0.259,0.599,413
116,JarredKelenic,RF,ATL,18,46,4,9,1,1,2,5,5,14,0,1,0.196,0.275,0.391,0.666,10,2,60,0.167,0.231,0.531,413
116,EversonPereira,DH,NYY,12,25,6,7,0,0,2,3,4,10,2,0,0.28,0.406,0.52,0.926,9,2,65,0.138,0.219,0.465,413
116,AlanRoden,LF,TOR,20,27,8,11,2,0,2,6,6,4,0,0,0.407,0.541,0.704,1.245,26,2,136,0.191,0.261,0.555,413
116,ZackShort,SS,HOU,18,33,7,4,2,0,2,4,6,15,3,0,0.121,0.256,0.364,0.62,11,2,50,0.22,0.291,0.671,413
116,LaMonteWade,1B,SF,18,42,10,10,4,0,2,6,11,15,0,0,0.238,0.411,0.476,0.887,35,2,209,0.167,0.271,0.525,413
264,JeimerCandelario,3B,CIN,15,38,6,10,2,0,1,8,6,6,0,1,0.263,0.364,0.395,0.759,9,2,80,0.113,0.198,0.411,413
264,GriffinConine,LF,MIA,17,50,9,14,2,0,1,7,5,15,0,0,0.28,0.357,0.38,0.737,20,2,79,0.253,0.314,0.732,413
264,AlexFreeland,DH,LAD,8,10,3,3,0,0,1,1,0,6,0,0,0.3,0.417,0.6,1.017,16,2,84,0.19,0.292,0.602,413
264,DaShawnKeirsey,RF,MIN,19,42,7,12,1,0,1,8,6,10,3,1,0.286,0.38,0.381,0.761,9,2,84,0.107,0.138,0.317,413
264,AlejandroOsuna,LF,TEX,24,35,3,15,5,1,1,7,7,7,2,1,0.429,0.523,0.714,1.237,32,2,151,0.212,0.313,0.591,413
264,ThomasSaggese,3B,STL,13,30,5,8,1,0,1,2,3,9,0,0,0.267,0.333,0.4,0.733,71,2,275,0.258,0.299,0.641,413
264,MaxSchuemann,X,ATH,19,46,6,10,5,0,1,5,4,7,1,1,0.217,0.308,0.391,0.699,36,2,183,0.197,0.295,0.568,413
264,TyroneTaylor,CF,NYM,16,47,5,10,4,0,1,4,4,9,0,0,0.213,0.302,0.362,0.664,69,2,310,0.223,0.279,0.598,413
264,EnmanuelValdez,3B,PIT,13,22,3,5,1,0,1,4,9,5,0,0,0.227,0.438,0.409,0.847,19,2,91,0.209,0.294,0.657,413
264,EnmanuelValdez,3B,PIT,13,22,3,5,1,0,1,4,9,5,0,0,0.227,0.438,0.409,0.847,19,2,91,0.209,0.294,0.657,413
264,JacobYoung,CF,WSH,19,49,8,12,2,0,1,4,5,9,5,0,0.245,0.315,0.347,0.662,75,2,324,0.231,0.296,0.583,413
586,NachoAlvarez,3B,ATL,3,6,0,0,0,0,0,0,1,2,0,0,0,0.143,0,0.143,44,2,188,0.234,0.296,0.626,413
586,JonatanClase,X,TOR,9,14,1,1,1,0,0,0,2,5,2,0,0.071,0.188,0.143,0.331,21,2,100,0.21,0.288,0.588,413
586,DenzerGuzman,SS,LAA,11,9,2,1,0,1,0,1,6,3,0,0,0.111,0.467,0.333,0.8,8,2,42,0.19,0.209,0.566,413
586,EricHaase,C,MIL,11,32,1,7,1,0,0,4,3,9,1,0,0.219,0.27,0.25,0.52,16,2,70,0.229,0.289,0.646,413
586,SamHaggerty,DH,TEX,16,36,4,8,3,1,0,5,3,9,1,0,0.222,0.282,0.361,0.643,41,2,162,0.253,0.328,0.698,413
586,DarellHernaiz,2B,ATH,20,36,3,7,0,2,0,7,6,7,1,0,0.194,0.302,0.306,0.608,40,2,173,0.231,0.292,0.598,413
586,JoseHerrera,C,AZ,12,33,2,10,2,0,0,4,4,4,0,0,0.303,0.378,0.364,0.742,31,2,166,0.187,0.285,0.544,413
586,JasonHeyward,LF,SD,18,35,8,5,2,1,0,6,5,9,0,0,0.143,0.25,0.257,0.507,15,2,85,0.176,0.223,0.494,413
586,ReceHinds,RF,CIN,8,14,3,3,0,2,0,1,2,6,0,1,0.214,0.313,0.5,0.813,5,2,43,0.116,0.136,0.415,413
586,IsiahKiner-Falefa,SS,PIT,17,44,2,13,2,0,0,2,4,10,1,1,0.295,0.354,0.341,0.695,113,2,431,0.262,0.297,0.631,413
586,DJLeMahieu,DH,NYY,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,2,128,0.266,0.338,0.674,413
586,KevinNewman,SS,LAA,19,39,1,8,1,0,0,4,5,7,2,0,0.205,0.311,0.231,0.542,23,2,114,0.202,0.209,0.481,413
586,LeoRivas,SS,SEA,12,20,1,4,0,0,0,2,4,8,0,0,0.2,0.346,0.2,0.546,22,2,90,0.244,0.387,0.72,413
586,BrendanRodgers,2B,HOU,15,43,4,10,5,0,0,8,1,6,0,0,0.233,0.25,0.349,0.599,22,2,115,0.191,0.266,0.544,413
586,JoshRojas,2B,CWS,11,32,6,10,3,0,0,2,2,6,2,0,0.313,0.353,0.406,0.759,34,2,189,0.18,0.252,0.511,413
586,ChrisTaylor,X,LAD,15,39,5,8,3,0,0,2,2,16,0,0,0.205,0.262,0.282,0.544,21,2,113,0.186,0.256,0.557,413
1,VinnyCapra,2B,MIL,19,48,8,14,3,0,6,14,5,14,2,0,0.292,0.358,0.729,1.087,12,1,96,0.125,0.157,0.334,459
48,SeanBouchard,RF,COL,22,51,8,17,4,1,3,9,3,15,0,1,0.333,0.386,0.627,1.013,11,1,66,0.167,0.247,0.489,459
48,NateEaton,CF,BOS,21,37,11,10,2,1,3,7,8,16,4,0,0.27,0.4,0.622,1.022,24,1,81,0.296,0.348,0.731,459
48,VictorRobles,RF,SEA,18,55,8,16,2,0,3,10,2,11,2,1,0.291,0.35,0.491,0.841,26,1,106,0.245,0.281,0.611,459
116,JoseBarrero,SS,STL,24,44,4,10,3,0,2,8,4,12,4,0,0.227,0.292,0.432,0.724,4,1,29,0.138,0.194,0.47,459
116,TrentonBrooks,1B,SD,18,35,7,11,5,0,2,7,2,5,0,0,0.314,0.359,0.629,0.988,6,1,41,0.146,0.186,0.454,459
116,OswaldoCabrera,3B,NYY,19,54,5,15,1,0,2,3,4,9,2,1,0.278,0.328,0.407,0.735,26,1,107,0.243,0.322,0.63,459
116,BlakeDunn,CF,CIN,24,47,5,16,3,1,2,8,4,11,1,0,0.34,0.404,0.574,0.978,9,1,60,0.15,0.32,0.553,459
116,DustinHarris,LF,TEX,24,46,8,11,2,0,2,7,1,14,2,1,0.239,0.25,0.413,0.663,8,1,40,0.2,0.256,0.606,459
116,NickMartini,DH,COL,18,41,4,16,1,0,2,4,7,6,2,0,0.39,0.5,0.561,1.061,23,1,102,0.225,0.288,0.582,459
116,MJMelendez,LF,KC,19,54,6,13,1,2,2,8,5,18,1,1,0.241,0.305,0.444,0.749,5,1,60,0.083,0.154,0.321,459
116,JohanRojas,DH,PHI,17,48,8,14,3,0,2,9,2,13,2,0,0.292,0.346,0.479,0.825,34,1,152,0.224,0.28,0.569,459
116,TylerTolbert,SS,KC,19,39,11,12,3,0,2,10,3,11,7,0,0.308,0.349,0.538,0.887,14,1,50,0.28,0.321,0.701,459
116,ZacVeen,RF,COL,28,63,13,17,4,1,2,11,7,21,9,1,0.27,0.352,0.46,0.812,4,1,34,0.118,0.189,0.424,459
264,CavanBiggio,1B,KC,17,33,4,6,2,0,1,3,12,7,0,0,0.182,0.449,0.333,0.782,12,1,69,0.174,0.296,0.542,459
264,MarkCanha,1B,KC,12,30,4,7,1,0,1,3,4,5,0,0,0.233,0.343,0.367,0.71,24,1,113,0.212,0.272,0.537,459
264,LoganDavidson,1B,ATH,20,35,3,13,2,1,1,8,4,10,1,1,0.371,0.436,0.571,1.007,7,1,42,0.167,0.222,0.508,459
264,DominicFletcher,CF,CWS,14,33,1,4,0,0,1,4,2,9,0,0,0.121,0.211,0.212,0.423,7,1,32,0.219,0.265,0.734,459
264,LukeMaile,C,KC,10,21,5,7,2,0,1,3,0,4,1,0,0.333,0.391,0.571,0.962,11,1,45,0.244,0.346,0.702,459
264,Justyn-HenryMalloy,1B,DET,22,55,10,17,3,0,1,7,5,12,1,2,0.309,0.387,0.418,0.805,23,1,104,0.221,0.346,0.654,459
264,ChasMcCormick,LF,HOU,16,34,4,6,1,0,1,5,11,4,4,1,0.176,0.404,0.294,0.698,21,1,100,0.21,0.279,0.569,459
264,JoseMiranda,3B,MIN,19,54,5,12,2,0,1,9,6,10,1,0,0.222,0.29,0.315,0.605,6,1,36,0.167,0.167,0.417,459
264,RyanNoda,1B,LAA,25,33,6,6,3,0,1,1,15,18,1,0,0.182,0.449,0.364,0.813,5,1,47,0.106,0.276,0.446,459
264,BenRortvedt,C,TB,14,35,2,4,0,0,1,5,3,13,0,0,0.114,0.179,0.2,0.379,17,1,112,0.152,0.24,0.445,459
264,BobSeymour,1B,TB,16,31,4,10,3,0,1,6,4,6,1,1,0.323,0.4,0.516,0.916,16,1,78,0.205,0.253,0.535,459
264,ShayWhitcomb,2B,HOU,13,26,4,6,0,0,1,3,1,11,1,0,0.231,0.259,0.346,0.605,4,1,32,0.125,0.125,0.344,459
264,ShayWhitcomb,2B,HOU,13,26,4,6,0,0,1,3,1,11,1,0,0.231,0.259,0.346,0.605,4,1,32,0.125,0.125,0.344,459
264,BrettWisely,2B,SF,24,44,4,13,4,0,1,6,6,14,2,1,0.295,0.38,0.455,0.835,10,1,54,0.185,0.279,0.594,459
586,AdaelAmador,2B,COL,17,30,5,9,2,0,0,10,9,5,0,2,0.3,0.475,0.367,0.842,20,1,113,0.177,0.256,0.521,459
586,JorgeBarrosa,CF,AZ,11,25,8,8,2,1,0,1,3,10,2,0,0.32,0.433,0.48,0.913,10,1,71,0.141,0.169,0.394,459
586,RyanBliss,2B,SEA,17,39,13,12,4,1,0,2,1,10,2,1,0.308,0.325,0.462,0.787,7,1,35,0.2,0.282,0.596,459
586,SethBrown,1B,ATH,18,44,6,7,2,1,0,8,6,14,1,0,0.159,0.26,0.25,0.51,12,1,65,0.185,0.303,0.565,459
586,DazCameron,LF,BAL,18,31,8,11,3,0,0,8,2,6,1,1,0.355,0.4,0.452,0.852,8,1,41,0.195,0.214,0.507,459
586,NathanChurch,CF,STL,20,16,2,1,0,0,0,1,7,1,1,0,0.063,0.375,0.063,0.438,10,1,56,0.179,0.254,0.504,459
586,JimmyCrooks,C,STL,6,8,0,0,0,0,0,0,2,4,0,0,0,0.2,0,0.2,6,1,45,0.133,0.152,0.396,459
586,BraxtonFulford,C,COL,14,15,0,3,1,0,0,0,2,5,0,0,0.2,0.294,0.267,0.561,23,1,108,0.213,0.267,0.591,459
586,LeoJimenez,SS,TOR,15,26,5,5,2,0,0,1,7,4,0,0,0.192,0.382,0.269,0.651,2,1,29,0.069,0.129,0.301,459
586,BryceJohnson,CF,PIT,19,31,2,7,1,0,0,3,1,8,1,1,0.226,0.242,0.258,0.5,26,1,76,0.342,0.383,0.817,459
586,KyleKarros,3B,COL,17,37,8,9,2,0,0,6,4,11,0,0,0.243,0.317,0.297,0.614,31,1,137,0.226,0.308,0.585,459
586,AndrewKnizner,C,WSH,14,25,2,3,0,0,0,0,2,5,0,0,0.12,0.214,0.12,0.334,17,1,77,0.221,0.299,0.598,459
586,KoreyLee,C,CWS,13,32,4,12,3,1,0,5,1,4,1,1,0.375,0.394,0.531,0.925,9,1,35,0.257,0.333,0.762,459
586,AustinMartin,LF,MIN,16,39,7,11,2,0,0,5,3,6,3,0,0.282,0.341,0.333,0.674,44,1,156,0.282,0.374,0.739,459
586,MilesMastrobuoni,3B,SEA,20,35,7,15,3,1,0,7,5,3,1,0,0.429,0.488,0.571,1.059,38,1,152,0.25,0.324,0.62,459
586,JorgeMateo,2B,BAL,5,11,0,1,0,0,0,1,2,5,0,0,0.091,0.231,0.091,0.322,14,1,79,0.177,0.217,0.483,459
586,BrianNavarreto,C,MIA,2,3,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,4,1,14,0.286,0.267,0.91,459
586,RichiePalacios,CF,TB,15,38,5,8,2,1,0,2,5,7,1,3,0.211,0.318,0.316,0.634,14,1,42,0.333,0.396,0.848,459
586,RyanRitter,SS,COL,11,10,3,2,0,0,0,1,2,5,0,0,0.2,0.385,0.2,0.585,45,1,187,0.241,0.296,0.633,459
586,EsteuryRuiz,LF,ATH,17,33,3,4,1,0,0,0,1,16,2,0,0.121,0.171,0.152,0.323,4,1,21,0.19,0.261,0.594,459
586,BryceTeodosio,LF,LAA,8,8,0,0,0,0,0,2,1,2,1,0,0,0.091,0,0.091,28,1,138,0.203,0.248,0.552,459
586,MattThaiss,C,CWS,13,37,2,12,6,0,0,2,3,6,0,0,0.324,0.375,0.486,0.861,34,1,156,0.218,0.349,0.637,459
586,ChadwickTromp,C,ATL,16,34,1,5,1,0,0,4,1,8,0,0,0.147,0.171,0.176,0.347,3,1,21,0.143,0.182,0.515,459
586,MattVierling,CF,DET,1,2,0,1,0,0,0,0,1,0,0,0,0.5,0.667,0.5,1.167,21,1,88,0.239,0.31,0.617,459
586,JorbitVivas,2B,NYY,11,26,2,11,2,0,0,3,1,6,1,1,0.423,0.444,0.5,0.944,9,1,56,0.161,0.266,0.516,459
586,DrewWaters,CF,KC,19,32,5,6,3,2,0,4,6,18,2,0,0.188,0.316,0.406,0.722,50,1,206,0.243,0.288,0.604,459
586,BenWilliamson,3B,SEA,11,16,2,6,0,1,0,4,2,3,1,0,0.375,0.474,0.5,0.974,70,1,277,0.253,0.294,0.604,459
586,JesseWinker,LF,NYM,16,34,3,9,3,0,0,3,8,7,0,0,0.265,0.405,0.353,0.758,16,1,70,0.229,0.309,0.709,459
586,NickYorke,2B,PIT,14,34,3,7,2,0,0,2,6,10,0,0,0.206,0.31,0.265,0.575,16,1,69,0.232,0.264,0.583,459
16,LukenBaker,DH,STL,19,44,5,12,0,0,4,8,9,8,0,0,0.273,0.389,0.545,0.934,8,0,34,0.235,0.366,0.69,523
16,GageWorkman,3B,CHC,20,44,8,16,1,1,4,15,5,14,3,3,0.364,0.42,0.705,1.125,3,0,16,0.188,0.235,0.485,523
48,NickAhmed,SS,TEX,15,34,10,11,2,0,3,8,1,12,1,0,0.324,0.361,0.647,1.008,0,0,9,0,0.1,0.1,523
48,BuddyKennedy,3B,PHI,22,40,8,6,1,0,3,7,10,12,0,0,0.15,0.327,0.4,0.727,2,0,29,0.069,0.156,0.259,523
48,JoseSiri,CF,NYM,16,42,6,9,1,0,3,11,5,15,3,1,0.214,0.306,0.452,0.758,2,0,32,0.063,0.167,0.292,523
48,DavidVillar,1B,SF,23,45,6,9,2,0,3,5,4,18,0,0,0.2,0.265,0.444,0.709,4,0,20,0.2,0.36,0.61,523
116,WillBanfield,C,CIN,17,21,4,4,1,1,2,5,1,11,0,0,0.19,0.25,0.619,0.869,1,0,10,0.1,0.1,0.2,523
116,WillBrennan,RF,CLE,16,45,5,11,2,0,2,6,2,5,1,0,0.244,0.292,0.422,0.714,1,0,11,0.091,0.231,0.322,523
116,OliverDunn,3B,MIL,17,50,12,17,5,0,2,3,5,15,5,0,0.34,0.4,0.56,0.96,6,0,36,0.167,0.205,0.427,523
116,RyanKreidler,CF,DET,21,38,9,9,2,2,2,4,10,10,2,0,0.237,0.388,0.553,0.941,4,0,38,0.105,0.19,0.295,523
116,MasonMcCoy,SS,SD,21,33,7,9,2,0,2,5,5,9,1,0,0.273,0.368,0.515,0.883,3,0,22,0.136,0.269,0.451,523
116,PabloReyes,RF,NYY,19,45,8,14,1,0,2,5,9,10,2,1,0.311,0.418,0.467,0.885,6,0,31,0.194,0.242,0.468,523
116,EmmanuelRivera,3B,BAL,12,30,5,9,2,0,2,4,1,7,0,0,0.3,0.323,0.567,0.89,30,0,120,0.25,0.291,0.574,523
116,WillRobertson,RF,TOR,9,11,4,4,0,0,2,3,2,5,0,0,0.364,0.462,0.909,1.371,9,0,70,0.129,0.173,0.316,523
116,EddieRosario,RF,LAD,12,26,2,4,1,0,2,5,3,8,1,0,0.154,0.241,0.423,0.664,1,0,8,0.125,0.125,0.25,523
116,NickSogard,3B,BOS,26,52,13,13,4,0,2,6,7,16,2,0,0.25,0.339,0.442,0.781,25,0,96,0.26,0.317,0.661,523
116,JacobStallings,C,COL,13,31,6,9,2,0,2,9,1,8,0,0,0.29,0.333,0.548,0.881,16,0,119,0.134,0.195,0.363,523
116,JackWinkler,SS,MIA,12,10,5,5,2,0,2,5,4,2,1,0,0.5,0.643,1.3,1.943,4,0,16,0.25,0.25,0.625,523
116,ConnorWong,C,BOS,12,27,5,4,0,0,2,3,4,12,1,1,0.148,0.25,0.37,0.62,32,0,168,0.19,0.262,0.5,523
264,CJAlexander,DH,ATH,20,36,3,7,0,0,1,7,7,9,0,0,0.194,0.326,0.278,0.604,3,0,17,0.176,0.176,0.352,523
264,JorgeAlfaro,C,MIL,11,26,4,7,3,0,1,7,2,9,0,0,0.269,0.387,0.5,0.887,10,0,39,0.256,0.256,0.564,523
264,GregAllen,LF,CHC,13,27,6,9,1,1,1,6,2,7,1,0,0.333,0.4,0.556,0.956,0,0,14,0,0,0,523
264,NickAllen,SS,ATL,17,39,6,14,2,0,1,5,2,7,0,0,0.359,0.395,0.487,0.882,82,0,371,0.221,0.284,0.535,523
264,TimAnderson,SS,LAA,22,60,4,15,1,0,1,3,4,12,3,0,0.25,0.297,0.317,0.614,17,0,83,0.205,0.258,0.499,523
264,DrewAvans,CF,ATH,23,42,11,12,4,0,1,2,5,13,4,0,0.286,0.375,0.452,0.827,2,0,17,0.118,0.111,0.229,523
264,Ji HwanBae,CF,PIT,20,42,13,16,6,0,1,4,3,9,3,2,0.381,0.422,0.595,1.017,1,0,20,0.05,0.24,0.29,523
264,StewardBerroa,X,TOR,17,36,5,10,2,0,1,4,1,10,3,1,0.278,0.297,0.417,0.714,0,0,5,0,0.167,0.167,523
264,TylerBlack,DH,MIL,12,34,8,5,1,0,1,5,8,5,2,0,0.147,0.326,0.265,0.591,2,0,8,0.25,0.538,0.913,523
264,DaironBlanco,LF,KC,11,21,6,7,0,1,1,3,1,5,3,0,0.333,0.348,0.571,0.919,1,0,6,0.167,0.167,0.5,523
264,RobBrantly,C,MIA,15,24,3,5,0,0,1,5,3,7,0,0,0.208,0.321,0.333,0.654,3,0,7,0.429,0.429,0.858,523
264,JonahBride,1B,MIA,16,41,8,8,1,1,1,3,11,6,0,0,0.195,0.37,0.341,0.711,19,0,112,0.17,0.248,0.436,523
264,KrisBryant,DH,COL,14,31,4,4,1,0,1,2,7,8,0,0,0.129,0.308,0.258,0.566,6,0,39,0.154,0.195,0.4,523
264,LuisCampusano,C,SD,14,28,2,6,0,0,1,4,1,5,0,0,0.214,0.241,0.321,0.562,0,0,21,0,0.222,0.222,523
264,Tsung-CheCheng,SS,PIT,14,17,4,6,2,0,1,2,2,3,0,1,0.353,0.4,0.647,1.047,0,0,7,0,0,0,523
264,BillyCook,CF,PIT,15,25,4,4,0,0,1,1,8,9,2,1,0.16,0.364,0.28,0.644,2,0,6,0.333,0.333,0.666,523
264,J.D.Davis,DH,LAA,26,47,4,12,4,0,1,4,5,21,0,0,0.255,0.327,0.404,0.731,1,0,9,0.111,0.111,0.222,523
264,BryanDe La Cruz,RF,ATL,19,46,5,14,3,0,1,6,4,9,1,0,0.304,0.36,0.435,0.795,9,0,47,0.191,0.24,0.453,523
264,BryceEldridge,X,SF,8,11,2,2,0,0,1,2,1,8,0,0,0.182,0.25,0.455,0.705,3,0,28,0.107,0.297,0.476,523
264,SantiagoEspinal,SS,CIN,19,46,7,11,3,1,1,2,4,8,2,1,0.239,0.314,0.413,0.727,73,0,301,0.243,0.292,0.574,523
264,HunterFeduccia,C,LAD,13,24,2,7,3,0,1,8,2,6,0,0,0.292,0.346,0.542,0.888,13,0,88,0.148,0.267,0.472,523
264,HarryFord,C,SEA,12,19,5,8,1,0,1,6,5,3,3,0,0.421,0.538,0.632,1.17,1,0,6,0.167,0.25,0.417,523
264,YuliGurriel,1B,SD,16,36,2,11,3,0,1,6,1,7,0,0,0.306,0.342,0.472,0.814,4,0,36,0.111,0.2,0.339,523
264,CoreyJulks,LF,CWS,18,33,4,6,1,1,1,2,5,12,0,0,0.182,0.289,0.364,0.653,3,0,12,0.25,0.231,0.648,523
264,JaceJung,3B,DET,14,33,3,4,2,0,1,1,4,10,0,0,0.121,0.216,0.273,0.489,5,0,47,0.106,0.236,0.342,523
264,JordanLawlar,3B,AZ,13,34,6,10,3,1,1,4,4,8,2,0,0.294,0.368,0.529,0.897,12,0,66,0.182,0.257,0.545,523
264,GrantMcCray,CF,SF,27,47,11,12,2,1,1,5,9,18,5,1,0.255,0.386,0.404,0.79,2,0,22,0.091,0.16,0.342,523
264,GarrettMitchell,CF,MIL,17,49,5,11,3,0,1,6,6,20,3,0,0.224,0.309,0.347,0.656,14,0,68,0.206,0.286,0.58,523
264,CocoMontes,SS,TB,18,37,5,11,1,0,1,5,5,10,1,0,0.297,0.395,0.405,0.8,2,0,10,0.2,0.2,0.4,523
264,TirsoOrnelas,X,SD,23,51,5,15,5,0,1,3,6,6,0,1,0.294,0.368,0.451,0.819,1,0,14,0.071,0.188,0.259,523
264,JhonnyPereda,C,ATH,18,37,4,8,2,0,1,7,5,7,0,0,0.216,0.318,0.351,0.669,17,0,69,0.246,0.325,0.658,523
264,TristanPeters,LF,TB,17,31,6,12,3,0,1,2,1,4,0,2,0.387,0.394,0.581,0.975,0,0,12,0,0,0,523
264,KevinPillar,RF,TEX,18,44,3,12,2,0,1,9,3,7,2,1,0.273,0.32,0.386,0.706,9,0,43,0.209,0.209,0.465,523
264,HunterRenfroe,RF,KC,15,37,5,11,4,1,1,11,4,7,1,0,0.297,0.381,0.541,0.922,18,0,99,0.182,0.241,0.483,523
264,HaydenSenger,C,NYM,14,24,2,5,1,0,1,2,2,6,0,0,0.208,0.296,0.375,0.671,13,0,72,0.181,0.221,0.415,523
264,NickSolak,2B,PIT,18,29,7,9,3,0,1,4,2,3,2,0,0.31,0.344,0.517,0.861,1,0,11,0.091,0.091,0.182,523
264,CalStevenson,RF,PHI,18,39,6,7,3,0,1,6,7,19,1,1,0.179,0.313,0.333,0.646,2,0,8,0.25,0.25,0.5,523
264,SamadTaylor,CF,SEA,12,24,5,8,2,0,1,7,0,5,4,0,0.333,0.333,0.542,0.875,1,0,8,0.125,0.125,0.25,523
264,RyanVilade,RF,STL,18,35,2,8,1,0,1,4,3,15,0,0,0.229,0.325,0.343,0.668,1,0,13,0.077,0.2,0.277,523
264,TylerWade,3B,SD,19,43,4,9,1,1,1,6,4,8,1,2,0.209,0.292,0.349,0.641,22,0,107,0.206,0.309,0.561,523
264,ChadWallach,C,TEX,12,15,4,4,2,0,1,1,1,4,0,0,0.267,0.313,0.6,0.913,0,0,0,0,0,0,523
264,DonovanWalton,SS,NYM,18,35,4,6,1,0,1,5,7,6,1,0,0.171,0.326,0.286,0.612,1,0,8,0.125,0.125,0.25,523
264,RyanVilade,RF,STL,18,35,2,8,1,0,1,4,3,15,0,0,0.229,0.325,0.343,0.668,1,0,13,0.077,0.2,0.277,523
264,TylerWade,3B,SD,19,43,4,9,1,1,1,6,4,8,1,2,0.209,0.292,0.349,0.641,22,0,107,0.206,0.309,0.561,523
264,ChadWallach,C,TEX,12,15,4,4,2,0,1,1,1,4,0,0,0.267,0.313,0.6,0.913,0,0,0,0,0,0,523
264,DonovanWalton,SS,NYM,18,35,4,6,1,0,1,5,7,6,1,0,0.171,0.326,0.286,0.612,1,0,8,0.125,0.125,0.25,523
