Rank,Player,Position,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,Check,HR_all,AB_all,AVG_all,OBP_all,OPS_all,Rank_all
586,NicoHoerner,2B,CHC,3,8,0,1,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.25,178,7,599,0.297,0.345,0.739,264
586,ChristianMoore,2B,LAA,25,46,5,10,1,1,0,4,6,18,1,0,0.217,0.321,0.283,0.604,32,7,162,0.198,0.284,0.654,264
586,MiguelRojas,SS,LAD,14,29,3,10,2,0,0,6,4,4,0,0,0.345,0.429,0.414,0.843,76,7,290,0.262,0.318,0.715,264
586,TimTawa,DH,AZ,11,13,3,3,1,0,0,3,4,3,0,0,0.231,0.412,0.308,0.72,40,7,199,0.201,0.274,0.621,264
586,JaredTriolo,3B,PIT,18,46,6,11,2,2,0,1,3,12,1,2,0.239,0.3,0.37,0.67,75,7,331,0.227,0.311,0.667,264
48,AlexanderCanario,RF,NYM,17,36,9,11,2,0,3,8,7,15,1,1,0.306,0.419,0.611,1.03,47,6,216,0.218,0.274,0.612,282
48,ChristianEncarnacion-Strand,1B,CIN,20,50,7,14,3,1,3,8,4,11,0,0,0.28,0.339,0.56,0.899,27,6,130,0.208,0.234,0.611,282
48,JhonkensyNoel,RF,CLE,20,57,8,19,1,0,3,7,0,19,1,1,0.333,0.328,0.509,0.837,24,6,148,0.162,0.183,0.48,282
116,PatrickBailey,C,SF,16,40,4,12,2,0,2,7,4,8,1,0,0.3,0.364,0.5,0.864,91,6,409,0.222,0.277,0.602,282
116,DylanCarlson,CF,BAL,18,28,10,9,1,0,2,9,12,3,2,0,0.321,0.5,0.571,1.071,44,6,217,0.203,0.278,0.614,282
116,PaulDeJong,3B,WSH,18,47,9,11,2,0,2,8,8,16,1,1,0.234,0.339,0.404,0.743,44,6,193,0.228,0.269,0.642,282
116,DavidHamilton,SS,BOS,21,50,10,13,3,0,2,6,9,12,9,1,0.26,0.373,0.44,0.813,35,6,177,0.198,0.257,0.59,282
116,KyrenParis,2B,LAA,24,45,14,18,6,0,2,13,4,14,4,1,0.4,0.449,0.667,1.116,24,6,126,0.19,0.266,0.647,282
264,YordanAlvarez,DH,HOU,12,34,1,5,0,0,1,3,1,13,0,0,0.147,0.171,0.235,0.406,45,6,165,0.273,0.367,0.797,282
264,KristianCampbell,2B,BOS,20,48,8,8,2,0,1,2,10,18,0,0,0.167,0.305,0.271,0.576,51,6,229,0.223,0.319,0.664,282
264,JakeFraley,RF,CIN,17,42,6,7,1,0,1,4,4,11,4,0,0.167,0.271,0.262,0.533,46,6,191,0.241,0.332,0.714,282
