feet	Rank	RankPrev	Player	percentMade	Attempts	Putts_made
27.5	1	168	Wyndham Clark	10.7	243	26
27.5	2	NA	Matthieu Pavon	10.12	257	26
27.5	3	132	Viktor Hovland	9.01	222	20
27.5	4	74	Webb Simpson	8.61	209	18
27.5	5	112	Zach Johnson	8.59	198	17
27.5	6	NA	Max Greyserman	8.58	303	26
27.5	7	NA	Rico Hoey	8.46	319	27
27.5	8	88	Michael Kim	8.45	296	25
27.5	9	115	Sam Stevens	8.29	362	30
27.5	10	NA	Mac Meissner	8.16	294	24
27.5	11	34	Patrick Cantlay	8.15	233	19
27.5	12	NA	Ryan Fox	8.01	312	25
27.5	13	54	Harris English	7.92	379	30
27.5	14	157	Jordan Spieth	7.89	279	22
27.5	15	27	Troy Merritt	7.76	232	18
27.5	16	129	Justin Lower	7.6	408	31
27.5	17	160	Jason Day	7.57	251	19
27.5	18	51	Denny McCarthy	7.56	357	27
27.5	19	NA	Ludvig Åberg	7.53	292	22
27.5	20	87	Matt Fitzpatrick	7.53	292	22
27.5	21	174	Shane Lowry	7.42	283	21
27.5	22	63	Tom Hoge	7.29	329	24
27.5	23	NA	Ben Kohles	7.28	371	27
27.5	24	NA	Kevin Tway	7.23	235	17
27.5	25	28	Sahith Theegala	7.16	391	28
27.5	26	42	Joel Dahmen	7.12	295	21
27.5	26	NA	Will Zalatoris	7.12	281	20
27.5	28	NA	Ryo Hisatsune	7.08	325	23
27.5	29	NA	Trace Crowe	7.04	199	14
27.5	30	NA	David Skinns	7.03	313	22
27.5	31	194	Rory McIlroy	6.99	286	20
27.5	32	NA	Carson Young	6.87	335	23
27.5	33	96	Sungjae Im	6.77	325	22
27.5	34	48	Taylor Moore	6.75	415	28
27.5	35	NA	Blaine Hale, Jr.	6.74	178	12
27.5	36	NA	Thorbjørn Olesen	6.7	179	12
27.5	37	48	Andrew Novak	6.69	314	21
27.5	38	86	Erik van Rooyen	6.67	315	21
27.5	39	83	Adam Scott	6.53	291	19
27.5	40	8	Martin Laird	6.51	292	19
27.5	41	180	J.J. Spaun	6.47	340	22
27.5	42	NA	Nick Dunlap	6.46	263	17
27.5	43	78	Keegan Bradley	6.4	297	19
27.5	44	93	Sam Ryder	6.39	266	17
27.5	45	69	Christiaan Bezuidenhout	6.38	282	18
27.5	45	112	Seamus Power	6.38	376	24
27.5	47	108	Nico Echavarria	6.35	315	20
27.5	48	126	Kevin Kisner	6.33	237	15
27.5	49	NA	Roger Sloan	6.28	223	14
27.5	50	NA	Nick Taylor	6.25	320	20
27.5	51	72	Matti Schmid	6.23	305	19
27.5	52	NA	Robert MacIntyre	6.19	307	19
27.5	52	77	Taylor Pendrith	6.19	323	20
27.5	54	NA	Chan Kim	6.08	329	20
27.5	55	NA	Brandt Snedeker	6.07	247	15
27.5	56	181	Brian Harman	6.06	330	20
27.5	57	NA	Sami Valimaki	6.05	248	15
27.5	58	NA	Patrick Fishburn	6.01	316	19
27.5	59	102	Hideki Matsuyama	5.99	267	16
27.5	59	90	Austin Smotherman	5.99	167	10
27.5	59	NA	Josh Teater	5.99	167	10
27.5	62	22	Thomas Detry	5.96	285	17
27.5	63	29	Corey Conners	5.95	370	22
27.5	64	NA	Tyson Alexander	5.92	321	19
27.5	65	NA	Pierceson Coody	5.88	289	17
27.5	65	23	Ben Griffin	5.88	408	24
27.5	65	43	Scottie Scheffler	5.88	238	14
27.5	68	75	Si Woo Kim	5.86	307	18
27.5	68	93	Nate Lashley	5.86	290	17
27.5	70	38	Joseph Bramlett	5.85	359	21
27.5	71	NA	Wesley Bryan	5.84	154	9
27.5	71	NA	Vince Whaley	5.84	257	15
27.5	73	72	David Lipsky	5.8	276	16
27.5	74	80	Beau Hossler	5.79	363	21
27.5	75	169	Greyson Sigg	5.76	295	17
27.5	76	137	Kevin Streelman	5.75	261	15
27.5	77	110	Matt Wallace	5.72	297	17
27.5	78	184	Mackenzie Hughes	5.68	405	23
27.5	79	165	Adam Hadwin	5.67	300	17
27.5	80	NA	Adrien Dumont de Chassart	5.65	283	16
27.5	80	NA	Ryan McCormick	5.65	248	14
