feet	Rank	RankPrev	Player	percentMade	Attempts	Putts_made
6	140	2	John Parry	61.54	26	16
6	140	25	Patrick Rodgers	61.54	39	24
6	143	27	Scottie Scheffler	60.98	41	25
6	144	11	Maverick McNealy	60.87	46	28
6	145	13	J.J. Spaun	60.61	33	20
6	146	1	Mark Hubbard	60	30	18
6	146	1	Gordon Sargent	60	15	9
6	146	-	Adam Scott	60	40	24
6	146	1	Neal Shipley	60	20	12
6	150	7	Andrew Novak	59.52	42	25
6	151	1	Brice Garnett	59.09	22	13
6	151	1	Kevin Yu	59.09	22	13
6	153	1	Cam Davis	58.82	17	10
6	153	6	Viktor Hovland	58.82	34	20
6	155	1	Sahith Theegala	55.88	34	19
6	156	3	Dan Brown	55.56	18	10
6	156	3	Aaron Rai	55.56	27	15
6	158	4	Chandler Blanchet	55	20	11
6	159	7	Keegan Bradley	53.85	26	14
6	159	2	Johnny Keefer	53.85	26	14
6	161	1	Aldrich Potgieter	51.85	27	14
6	162	-	Jesper Svensson	50	12	6
5	1	4	Alex Smalley	95.35	43	41
5	2	3	Jimmy Stanger	95	20	19
5	3	1	Jacob Bridgeman	94.44	54	51
5	4	3	Matthieu Pavon	93.94	33	31
5	4	4	Matt Wallace	93.94	33	31
5	6	3	Sudarshan Yellamaraju	93.18	44	41
5	7	8	Daniel Berger	92.31	39	36
5	8	2	Max McGreevy	91.67	48	44
5	9	3	Peter Malnati	91.3	23	21
5	9	3	Thorbj_rn Olesen	91.3	23	21
5	9	3	Vince Whaley	91.3	23	21
5	12	6	Max Greyserman	91.18	34	31
5	13	2	Davis Chatfield	90.91	22	20
5	14	3	Nicolai H_jgaard	90.38	52	47
5	15	4	Takumi Kanaya	89.74	39	35
5	16	4	John VanDerLaan	89.66	29	26
5	17	11	Harry Hall	89.58	48	43
5	18	3	Rafael Campos	89.29	28	25
5	18	3	Cam Davis	89.29	28	25
5	20	18	Gary Woodland	89.19	37	33
5	21	9	Matt McCarty	89.13	46	41
5	21	2	Chad Ramey	89.13	46	41
5	23	1	Patton Kizzire	88.89	18	16
5	23	10	Shane Lowry	88.89	36	32
5	25	19	Keith Mitchell	88.64	44	39
5	26	1	Chris Kirk	88.57	35	31
5	27	-	Haotong Li	88.37	43	38
5	28	18	Lucas Glover	87.8	41	36
5	29	3	Joe Highsmith	87.72	57	50
5	30	3	Xander Schauffele	87.5	32	28
5	31	10	Tommy Fleetwood	87.18	39	34
5	32	8	Bud Cauley	87.04	54	47
5	33	2	Christo Lamprecht	86.96	23	20
5	33	2	Jackson Suber	86.96	23	20
5	35	5	Ryan Gerard	86.67	45	39
5	36	8	Jake Knapp	86.11	36	31
5	37	9	Nick Dunlap	85.71	21	18
5	37	9	Brice Garnett	85.71	14	12
5	37	9	William Mouw	85.71	28	24
5	37	9	Kevin Streelman	85.71	14	12
5	37	9	Erik van Rooyen	85.71	21	18
5	42	39	Ben Griffin	85.37	41	35
5	43	10	Davis Riley	85.29	34	29
5	44	16	Scottie Scheffler	85.19	54	46
5	45	8	Viktor Hovland	85	40	34
5	46	-	Patrick Rodgers	84.85	66	56
5	47	11	Tom Kim	84.78	46	39
5	48	12	Christiaan Bezuidenhout	84.62	26	22
5	48	12	Mackenzie Hughes	84.62	26	22
5	48	9	Justin Rose	84.62	26	22
5	51	15	Jason Day	84.44	45	38
5	51	9	Tom Hoge	84.44	45	38
5	53	13	Chandler Phillips	84.21	38	32
5	54	1	Nico Echavarria	84.09	44	37
5	55	15	Mac Meissner	84	25	21
5	55	3	Nick Taylor	84	50	42
5	57	1	Ryo Hisatsune	83.93	56	47
5	58	39	Sam Burns	83.87	31	26
5	58	13	Adrien Dumont de Chassart	83.87	31	26
5	58	32	David Lipsky	83.87	31	26
5	61	11	Zach Bauchou	83.78	37	31
5	61	28	Alex Noren	83.78	37	31
5	63	21	Maverick McNealy	83.67	49	41
5	63	10	Adam Schenk	83.67	49	41
5	65	-	Akshay Bhatia	83.33	36	30
5	65	1	Brian Harman	83.33	42	35
5	65	9	Kensei Hirata	83.33	30	25
5	65	9	S.H. Kim	83.33	48	40
5	65	23	Adam Scott	83.33	30	25
5	65	11	Sahith Theegala	83.33	60	50
5	65	28	Michael Thorbjornsen	83.33	42	35
5	72	24	Austin Smotherman	83.02	53	44
5	73	4	Ricky Castillo	82.98	47	39
5	73	21	Sepp Straka	82.98	47	39
5	75	26	Jhonattan Vegas	82.86	35	29
5	76	3	Hideki Matsuyama	82.76	58	48
5	76	2	Adrien Saddier	82.76	29	24
5	78	17	Chris Gotterup	82.69	52	43
5	79	2	Luke Clanton	82.35	17	14
5	79	2	Matt Fitzpatrick	82.35	34	28
5	79	6	Min Woo Lee	82.35	51	42
5	82	4	Eric Cole	82.05	39	32
5	83	23	Kristoffer Reitan	82	50	41
5	83	5	Matti Schmid	82	50	41
5	85	19	Russell Henley	81.82	44	36
5	85	4	Rasmus H_jgaard	81.82	22	18
5	85	4	Jeffrey Kang	81.82	22	18
5	88	59	Chandler Blanchet	81.58	38	31
5	88	50	Keegan Bradley	81.58	38	31
5	88	4	Zecheng Dou	81.58	38	31
5	88	7	Jordan Spieth	81.58	38	31
5	92	6	Rickie Fowler	81.4	43	35
5	93	13	Harris English	81.25	48	39
5	93	-	Brooks Koepka	81.25	32	26
5	95	20	Kurt Kitayama	80.95	42	34
5	96	1	Tony Finau	80.77	52	42
5	96	1	Mark Hubbard	80.77	26	21
5	98	3	John Parry	80.65	31	25
5	98	3	Seamus Power	80.65	31	25
5	100	5	Wyndham Clark	80.49	41	33
5	101	5	Marco Penge	80.43	46	37
5	102	29	Joel Dahmen	80	30	24
5	102	7	David Ford	80	25	20
5	102	15	Ryan Fox	80	35	28
5	102	7	Beau Hossler	80	40	32
5	102	6	Si Woo Kim	80	55	44
5	102	5	Denny McCarthy	80	55	44
5	102	7	Taylor Moore	80	35	28
5	102	7	Kevin Roy	80	35	28
5	102	7	Sam Ryder	80	20	16
5	102	7	Brandt Snedeker	80	15	12
5	102	38	Sam Stevens	80	55	44
5	113	8	Andrew Putnam	79.63	54	43
5	114	16	Michael Kim	79.55	44	35
5	115	1	Robert MacIntyre	79.41	34	27
5	116	1	Dan Brown	79.31	29	23
5	116	1	Garrick Higgo	79.31	29	23
5	116	1	Karl Vilips	79.31	29	23
5	119	2	Lee Hodges	79.17	24	19
5	119	2	Aaron Rai	79.17	24	19
5	119	2	Neal Shipley	79.17	24	19
5	122	45	Collin Morikawa	79.07	43	34
5	123	2	Rasmus Neergaard-Petersen	78.95	19	15
5	124	2	Hank Lebioda	78.79	33	26
5	125	2	Stephan Jaeger	78.57	28	22
5	125	2	Justin Lower	78.57	14	11
5	127	2	Billy Horschel	78.43	51	40
5	128	3	Doug Ghim	77.78	18	14
5	128	3	Gordon Sargent	77.78	18	14
5	130	5	Steven Fisk	77.5	40	31
5	130	11	Aldrich Potgieter	77.5	40	31
5	132	4	Patrick Cantlay	77.42	31	24
5	133	4	Michael Brennan	77.14	35	27
5	134	4	Pontus Nyholm	76.67	30	23
5	135	13	Taylor Pendrith	76.32	38	29
5	135	4	Sami Valimaki	76.32	38	29
5	137	6	Pierceson Coody	76.19	42	32
5	138	9	J.J. Spaun	76.09	46	35
5	139	1	A.J. Ewart	75.86	29	22
5	140	3	Austin Eckroat	75	28	21
5	140	14	Sungjae Im	75	20	15
5	140	3	Andrew Novak	75	48	36
5	140	3	Davis Thompson	75	32	24
5	144	17	Cameron Young	74.29	35	26
5	145	4	Rico Hoey	74	50	37
5	146	15	Jordan Smith	73.33	45	33
5	147	5	Brian Campbell	73.17	41	30
5	148	2	Dylan Wu	73.08	26	19
5	149	7	Max Homa	72.92	48	35
5	150	3	J.T. Poston	72.73	33	24
5	151	3	Alejandro Tosti	72.22	18	13
5	152	4	Emiliano Grillo	71.74	46	33
5	153	4	Ludvig _berg	70.37	27	19
5	154	4	Jesper Svensson	70	20	14
5	155	5	Adam Svensson	69.57	23	16
5	156	2	Corey Conners	69.05	42	29
5	157	5	Marcelo Rozo	68.75	16	11
5	157	5	Isaiah Salinda	68.75	16	11
5	157	5	Kris Ventura	68.75	16	11
5	160	5	Danny Walker	68.42	38	26
5	161	5	Kevin Yu	64.71	34	22
5	162	5	Justin Thomas	63.64	22	14
5	163	5	Johnny Keefer	59.26	27	16
4	1	-	S.H. Kim	100	51	51
4	1	-	Pontus Nyholm	100	30	30
4	1	-	Brandt Snedeker	100	26	26
4	1	-	Kris Ventura	100	18	18
4	5	2	Takumi Kanaya	98.28	58	57
4	6	2	Chandler Phillips	98.25	57	56
4	7	2	Eric Cole	98.15	54	53
4	8	2	Karl Vilips	98.11	53	52
4	9	3	Sahith Theegala	98.08	104	102
4	10	4	Jacob Bridgeman	97.96	98	96
4	11	-	Ludvig _berg	97.87	47	46
4	12	1	Brice Garnett	97.73	44	43
4	13	1	Maverick McNealy	97.47	79	77
4	14	2	Kevin Streelman	97.22	36	35
4	15	6	Ricky Castillo	96.92	65	63
4	16	1	David Ford	96.88	32	31
4	17	2	Matt Fitzpatrick	96.61	59	57
4	17	6	Kurt Kitayama	96.61	59	57
4	17	10	Denny McCarthy	96.61	59	57
4	17	2	John Parry	96.61	59	57
4	21	13	Russell Henley	96.43	56	54
4	21	-	Beau Hossler	96.43	28	27
4	23	-	Joe Highsmith	96.36	55	53
4	23	-	Mac Meissner	96.36	55	53
4	25	1	Gordon Sargent	96.3	27	26
4	26	9	Keith Mitchell	96.26	107	103
4	27	-	Adam Svensson	96.15	26	25
4	27	-	Davis Thompson	96.15	52	50
4	29	13	Jason Day	96.08	51	49
4	29	2	Mackenzie Hughes	96.08	51	49
4	31	10	Brian Harman	96	75	72
4	31	20	Adam Scott	96	50	48
4	31	2	Sami Valimaki	96	50	48
4	34	-	Steven Fisk	95.92	49	47
4	35	1	Danny Walker	95.83	48	46
4	36	1	Austin Eckroat	95.65	46	44
4	36	1	Garrick Higgo	95.65	46	44
4	36	23	Justin Rose	95.65	46	44
4	36	1	Jackson Suber	95.65	46	44
4	40	-	Rico Hoey	95.52	67	64
4	40	9	Sudarshan Yellamaraju	95.52	67	64
4	42	27	Scottie Scheffler	95.45	44	42
4	43	11	Alex Smalley	95.4	87	83
4	44	2	A.J. Ewart	95.35	43	41
4	44	2	Patton Kizzire	95.35	43	41
4	46	3	Max Homa	95.31	64	61
4	47	2	Dan Brown	95.24	42	40
4	47	2	Cam Davis	95.24	42	40
4	47	2	Tony Finau	95.24	63	60
4	47	8	Shane Lowry	95.24	42	40
4	51	1	Adrien Dumont de Chassart	95.08	61	58
4	52	1	Doug Ghim	95	40	38
4	52	1	Davis Riley	95	40	38
4	54	1	Christo Lamprecht	94.87	39	37
4	55	2	Taylor Moore	94.83	58	55
4	56	2	Jake Knapp	94.64	56	53
4	57	2	Davis Chatfield	94.59	37	35
4	58	6	Nicolai H_jgaard	94.52	73	69
4	59	11	Nico Echavarria	94.29	70	66
4	59	17	Hideki Matsuyama	94.29	70	66
4	59	2	Rasmus Neergaard-Petersen	94.29	35	33
4	59	2	Adrien Saddier	94.29	35	33
4	63	-	Haotong Li	94.23	52	49
4	64	2	Aaron Rai	94.12	51	48
4	65	2	Matti Schmid	93.94	66	62
4	66	2	Rasmus H_jgaard	93.88	49	46
4	66	2	William Mouw	93.88	49	46
4	66	19	J.T. Poston	93.88	49	46
4	69	8	Ben Griffin	93.85	65	61
4	70	-	Michael Brennan	93.75	48	45
4	70	-	Kensei Hirata	93.75	48	45
4	70	-	Vince Whaley	93.75	32	30
4	73	9	Nick Taylor	93.42	76	71
4	74	17	Chandler Blanchet	93.33	60	56
4	74	3	Chad Ramey	93.33	60	56
4	74	3	Kevin Roy	93.33	45	42
4	74	3	Neal Shipley	93.33	45	42
4	78	4	Tom Kim	93.22	59	55
4	78	4	Chris Kirk	93.22	59	55
4	80	15	Brian Campbell	93.1	58	54
4	80	14	Jordan Smith	93.1	58	54
4	82	13	Daniel Berger	92.98	57	53
4	82	4	Seamus Power	92.98	57	53
4	84	3	Wyndham Clark	92.86	56	52
4	84	3	Mark Hubbard	92.86	42	39
4	84	3	Marcelo Rozo	92.86	28	26
4	87	12	Tom Hoge	92.65	68	63
4	87	13	J.J. Spaun	92.65	68	63
4	87	10	Michael Thorbjornsen	92.65	68	63
4	90	5	Akshay Bhatia	92.59	54	50
4	90	16	Aldrich Potgieter	92.59	54	50
4	92	14	Gary Woodland	92.45	53	49
4	93	9	Harry Hall	92.42	66	61
4	94	31	David Lipsky	92.31	52	48
4	94	16	Kristoffer Reitan	92.31	65	60
4	96	5	Rickie Fowler	92.06	63	58
4	96	21	Jordan Spieth	92.06	63	58
4	98	5	Matt McCarty	92	75	69
4	99	2	Peter Malnati	91.89	37	34
4	100	18	Viktor Hovland	91.8	61	56
4	100	10	Min Woo Lee	91.8	61	56
4	102	57	Sam Burns	91.67	48	44
4	102	-	Jeffrey Kang	91.67	36	33
4	102	16	Alex Noren	91.67	48	44
4	105	1	Zach Bauchou	91.49	47	43
4	106	1	Christiaan Bezuidenhout	91.43	35	32
4	106	16	Ryan Gerard	91.43	70	64
4	108	10	Patrick Rodgers	91.36	81	74
4	109	3	Billy Horschel	91.3	69	63
4	110	-	Emiliano Grillo	91.23	57	52
4	111	2	Nick Dunlap	91.18	34	31
4	111	2	Isaiah Salinda	91.18	34	31
4	113	38	Ryan Fox	90.91	55	50
4	113	24	Sungjae Im	90.91	33	30
4	115	9	Pierceson Coody	90.79	76	69
4	116	5	Matthieu Pavon	90.77	65	59
4	117	1	Ryo Hisatsune	90.7	86	78
4	118	4	Xander Schauffele	90.63	64	58
4	119	20	Tommy Fleetwood	90.48	42	38
4	120	4	Sam Ryder	90.32	31	28
4	120	29	Justin Thomas	90.32	31	28
4	122	22	Harris English	90	80	72
4	122	5	Robert MacIntyre	90	60	54
4	122	5	Jimmy Stanger	90	20	18
4	122	5	Kevin Yu	90	40	36
4	126	6	Cameron Young	89.86	69	62
4	127	34	Matt Wallace	89.8	49	44
4	128	4	Patrick Fishburn	89.66	29	26
4	129	16	Jhonattan Vegas	89.58	48	43
4	130	4	Bud Cauley	89.53	86	77
4	130	1	Si Woo Kim	89.53	86	77
4	132	3	Zecheng Dou	89.47	57	51
4	132	6	Chris Gotterup	89.47	57	51
4	132	5	Taylor Pendrith	89.47	76	68
4	132	3	Erik van Rooyen	89.47	38	34
4	136	1	Stephan Jaeger	89.29	56	50
4	136	38	Austin Smotherman	89.29	56	50
4	138	6	Andrew Putnam	89.23	65	58
4	139	-	Lee Hodges	89.19	37	33
4	140	2	Rafael Campos	88.89	27	24
4	141	-	Joel Dahmen	88.24	51	45
4	141	2	Marco Penge	88.24	51	45
4	143	11	Collin Morikawa	88.1	42	37
4	144	3	Patrick Cantlay	87.76	49	43
4	144	1	Max Greyserman	87.76	49	43
4	146	5	Keegan Bradley	87.5	64	56
4	146	3	Adam Schenk	87.5	56	49
4	148	-	Michael Kim	87.14	70	61
4	149	3	Thorbj_rn Olesen	86.84	38	33
4	150	10	Sepp Straka	86.76	68	59
4	151	3	Justin Lower	86.49	37	32
4	152	4	Corey Conners	86.27	51	44
4	153	5	Hank Lebioda	86.21	29	25
4	153	5	Dylan Wu	86.21	29	25
4	155	2	Sam Stevens	85.71	63	54
4	156	5	Andrew Novak	84.93	73	62
4	157	5	Max McGreevy	84.62	65	55
4	157	5	Jesper Svensson	84.62	26	22
4	159	5	Luke Clanton	84.38	32	27
4	160	5	Alejandro Tosti	83.87	31	26
4	161	5	Brooks Koepka	83.78	37	31
4	162	6	Lucas Glover	83.72	43	36
4	163	4	Johnny Keefer	83.33	54	45
4	164	5	John VanDerLaan	77.42	31	24
3	1	-	Daniel Berger	100	400	400
3	1	-	Jacob Bridgeman	100	345	345
3	1	-	Ricky Castillo	100	356	356
3	1	-	Eric Cole	100	282	282
3	1	-	Pierceson Coody	100	427	427
3	1	-	Joel Dahmen	100	289	289
3	1	-	Cam Davis	100	171	171
3	1	-	Jason Day	100	307	307
3	1	-	Nick Dunlap	100	135	135
3	1	-	Austin Eckroat	100	236	236
3	1	-	Patrick Fishburn	100	163	163
3	1	-	Matt Fitzpatrick	100	325	325
3	1	-	David Ford	100	263	263
3	1	-	Rickie Fowler	100	388	388
3	1	-	Ryan Fox	100	281	281
3	1	-	Max Greyserman	100	269	269
3	1	-	Lee Hodges	100	278	278
3	1	-	Nicolai H_jgaard	100	379	379
3	1	-	Viktor Hovland	100	331	331
3	1	-	Stephan Jaeger	100	332	332
3	1	-	Jeffrey Kang	100	194	194
3	1	-	Michael Kim	100	393	393
3	1	-	S.H. Kim	100	280	280
3	1	-	Patton Kizzire	100	228	228
3	1	-	Jake Knapp	100	297	297
3	1	-	Christo Lamprecht	100	170	170
