Rank,Player,Position,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,Check,HR_all,AB_all,AVG_all,OBP_all,OPS_all
1222,CharlieCulberson,2B,TB,13,24,2,4,0,0,0,2,3,9,1,0,0.167,0.286,0.167,0.453,1,0,1,1,1,2
1215,AlejoLopez,DH,CIN,17,31,2,5,0,0,0,1,5,4,0,1,0.161,0.297,0.161,0.458,2,0,2,0.5,0.5,1.5
147,TristanGray,SS,TB,18,46,10,18,7,0,4,9,1,9,0,0,0.391,0.396,0.804,1.2,3,1,5,0.4,0.4,1.4
916,AbrahamToro,3B,MIL,13,27,2,5,1,0,1,4,5,7,0,0,0.185,0.313,0.333,0.646,5,2,18,0.444,0.524,1.302
729,ZackCollins,DH,CLE,15,26,1,7,1,0,1,2,2,10,0,0,0.269,0.321,0.423,0.744,6,0,4,0.5,0.667,1.167
1312,MichaelPerez,C,NYM,14,17,1,2,2,0,0,1,0,6,0,0,0.118,0.118,0.235,0.353,7,0,8,0.5,0.5,1.125
916,ColeTucker,CF,COL,20,37,6,7,1,1,1,3,6,15,1,1,0.189,0.295,0.351,0.646,8,0,8,0.5,0.6,1.1
1115,JeterDowns,SS,WSH,18,36,4,6,0,1,0,3,3,12,4,1,0.167,0.286,0.222,0.508,9,0,5,0.4,0.667,1.067
157,ShoheiOhtani,DH,LAA,6,11,3,5,0,1,0,0,2,2,0,0,0.455,0.538,0.636,1.174,10,44,497,0.304,0.412,1.066
561,EvanCarter,CF,TEX,15,11,2,3,0,0,0,0,7,4,2,2,0.273,0.556,0.273,0.829,11,5,62,0.306,0.413,1.058
788,SeanBouchard,LF,COL,10,21,2,6,1,0,0,3,1,4,1,1,0.286,0.375,0.333,0.708,12,4,38,0.316,0.372,1.056
214,AaronJudge,RF,NYY,16,40,9,14,6,0,2,7,6,8,0,0,0.35,0.447,0.65,1.097,13,37,367,0.267,0.406,1.019
221,CoreySeager,SS,TEX,20,55,11,22,1,0,4,9,5,10,0,1,0.4,0.45,0.636,1.086,14,33,477,0.327,0.39,1.013
425,RonaldAcua,RF,ATL,11,32,10,10,1,1,1,3,6,10,1,0,0.313,0.421,0.5,0.921,15,41,643,0.337,0.416,1.012
769,DavisSchneider,2B,TOR,11,9,2,2,1,0,0,2,3,1,0,0,0.222,0.385,0.333,0.718,16,8,116,0.276,0.404,1.007
418,WestonWilson,SS,PHI,20,38,4,11,3,0,2,9,6,15,2,0,0.289,0.4,0.526,0.926,17,1,16,0.313,0.5,1
775,YordanAlvarez,LF,HOU,2,7,1,2,1,0,0,1,0,2,0,0,0.286,0.286,0.429,0.715,19,31,410,0.293,0.407,0.99
187,MookieBetts,RF,LAD,9,18,6,5,0,0,3,4,3,2,0,0,0.278,0.364,0.778,1.142,20,39,584,0.307,0.408,0.987
363,FreddieFreeman,1B,LAD,15,38,5,12,2,0,3,11,4,5,0,0,0.316,0.372,0.605,0.977,22,29,637,0.331,0.41,0.977
360,YandyDeaz,1B,TB,12,27,8,8,1,0,2,5,4,5,0,0,0.296,0.424,0.556,0.98,24,22,525,0.33,0.41,0.932
1183,NolanJones,RF,COL,22,52,8,10,2,0,0,5,5,24,1,0,0.192,0.259,0.231,0.49,25,20,367,0.297,0.389,0.931
1288,JoseAltuve,2B,HOU,5,14,3,2,0,0,0,1,2,6,0,0,0.143,0.25,0.143,0.393,28,17,360,0.311,0.393,0.915
719,NickMartini,RF,CIN,10,13,2,3,1,1,0,1,1,5,0,0,0.231,0.286,0.462,0.748,29,6,72,0.264,0.329,0.912
518,MarcellOzuna,DH,ATL,18,54,9,17,6,0,1,8,5,11,0,0,0.315,0.373,0.481,0.854,30,40,530,0.274,0.346,0.904
893,J.D.Martinez,DH,LAD,20,56,4,13,2,0,2,7,4,16,0,0,0.232,0.283,0.375,0.658,32,33,432,0.271,0.321,0.893
723,NelsonVelezquez,RF,CHC,11,23,4,4,1,0,2,5,3,13,0,0,0.174,0.269,0.478,0.747,33,17,162,0.235,0.302,0.888
420,KyleTucker,RF,HOU,6,19,2,8,1,0,0,3,1,2,1,0,0.421,0.45,0.474,0.924,34,29,574,0.284,0.369,0.886
1315,ErnieClement,2B,TOR,8,16,2,2,0,0,0,0,2,3,1,0,0.125,0.222,0.125,0.347,35,1,50,0.38,0.385,0.885
691,CodyBellinger,CF,CHC,17,45,8,9,1,1,3,8,5,8,1,0,0.2,0.294,0.467,0.761,36,26,499,0.307,0.356,0.881
911,MattWallner,RF,MIN,11,29,2,6,1,0,1,3,2,9,0,2,0.207,0.303,0.345,0.648,37,14,213,0.249,0.37,0.877
445,TomMurphy,C,SEA,15,40,7,11,3,0,3,8,3,15,0,0,0.275,0.326,0.575,0.901,38,8,145,0.29,0.335,0.873
1063,MitchGarver,C,TEX,18,48,8,8,0,0,2,4,6,11,0,0,0.167,0.259,0.292,0.551,39,19,296,0.27,0.37,0.87
189,CorbinCarroll,LF,AZ,18,46,15,17,6,3,0,7,13,8,5,0,0.37,0.508,0.63,1.138,40,25,565,0.285,0.362,0.868
163,MattMcLain,2B,CIN,13,18,11,6,2,0,1,2,8,3,2,0,0.333,0.556,0.611,1.167,41,16,365,0.29,0.357,0.864
1072,WilmerFlores,1B,SF,12,34,2,7,0,0,1,3,1,6,0,0,0.206,0.25,0.294,0.544,41,23,405,0.284,0.355,0.864
741,WillBenson,CF,CIN,17,49,5,16,1,0,1,3,0,12,6,1,0.327,0.327,0.408,0.735,43,11,287,0.275,0.365,0.863
236,WilyerAbreu,RF,BOS,8,14,5,4,0,1,1,4,3,4,0,0,0.286,0.412,0.643,1.055,44,2,76,0.316,0.388,0.862
236,WilyerAbreu,RF,BOS,8,14,5,4,0,1,1,4,3,4,0,0,0.286,0.412,0.643,1.055,44,2,76,0.316,0.388,0.862
1077,LuisArraez,2B,MIA,11,31,1,8,0,0,0,0,1,3,0,0,0.258,0.281,0.258,0.539,44,10,574,0.354,0.393,0.862
446,AustinRiley,3B,ATL,18,45,5,12,2,0,3,6,8,10,0,0,0.267,0.389,0.511,0.9,46,37,636,0.281,0.345,0.861
463,RyanJeffers,C,MIN,14,36,3,9,3,0,3,5,3,11,0,0,0.25,0.308,0.583,0.891,47,14,286,0.276,0.369,0.859
606,BrandonBelt,DH,TOR,9,21,3,6,3,0,0,2,3,7,0,0,0.286,0.375,0.429,0.804,47,19,339,0.254,0.369,0.859
