Rank,Player,Position,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,Check,HR_all,AB_all,AVG_all,OBP_all,OPS_all
730,MikeTrout,CF,LAA,9,23,2,5,2,0,1,4,3,5,0,0,0.217,0.308,0.435,0.743,49,18,308,0.263,0.367,0.857
792,LuisRobert,CF,CWS,7,19,2,4,4,0,0,2,2,4,0,0,0.211,0.286,0.421,0.707,49,38,546,0.264,0.315,0.857
1430,DrewEllis,3B,SEA,12,17,0,0,0,0,0,0,3,10,0,0,0,0.15,0,0.15,49,2,23,0.217,0.379,0.857
986,JorgeSoler,LF,MIA,17,44,1,9,2,0,1,2,5,10,1,0,0.205,0.286,0.318,0.604,53,36,504,0.25,0.341,0.853
393,RafaelDevers,3B,BOS,12,33,6,11,4,0,1,4,3,9,0,0,0.333,0.405,0.545,0.95,54,33,580,0.271,0.351,0.851
352,OzzieAlbies,2B,ATL,18,52,9,16,1,1,4,16,7,10,1,0,0.308,0.393,0.596,0.989,55,33,596,0.28,0.336,0.849
462,YainerDiaz,C,HOU,19,40,6,13,7,0,1,8,0,8,0,0,0.325,0.317,0.575,0.892,57,23,355,0.282,0.308,0.846
495,JoshNaylor,1B,CLE,19,53,7,17,3,0,2,10,4,10,0,1,0.321,0.379,0.491,0.87,58,17,452,0.308,0.354,0.843
572,SeanMurphy,C,ATL,12,31,3,9,2,0,1,3,4,6,0,0,0.29,0.371,0.452,0.823,58,21,370,0.251,0.365,0.843
1053,KetelMarte,2B,AZ,11,32,2,6,2,1,0,2,3,6,0,1,0.188,0.25,0.313,0.563,58,25,569,0.276,0.358,0.843
475,ChasMcCormick,CF,HOU,16,34,5,10,4,0,0,1,8,10,0,1,0.294,0.467,0.412,0.879,61,22,403,0.273,0.353,0.842
589,ZackGelof,2B,OAK,11,25,4,8,2,0,0,1,3,7,1,0,0.32,0.414,0.4,0.814,63,14,270,0.267,0.337,0.841
202,EdouardJulien,2B,MIN,8,23,6,8,0,0,3,6,1,9,0,0,0.348,0.375,0.739,1.114,64,16,338,0.263,0.381,0.84
1376,IsaacParedes,3B,TB,8,17,2,1,0,0,0,1,3,4,0,0,0.059,0.2,0.059,0.259,64,31,492,0.25,0.352,0.84
152,DJStewart,LF,NYM,19,27,7,10,3,1,1,11,8,7,0,0,0.37,0.528,0.667,1.195,66,11,160,0.244,0.333,0.839
902,DrewMillas,C,WSH,8,8,1,2,0,0,0,0,2,2,0,0,0.25,0.4,0.25,0.65,66,1,28,0.286,0.375,0.839
579,AdolisGarcea,RF,TEX,20,48,7,11,3,1,2,6,9,14,0,0,0.229,0.362,0.458,0.82,68,39,555,0.245,0.328,0.836
593,JoshLowe,RF,TB,16,44,8,11,2,0,3,6,4,14,3,0,0.25,0.313,0.5,0.813,69,20,466,0.292,0.335,0.835
402,AdamDuvall,CF,BOS,20,51,8,13,5,0,4,8,7,21,0,0,0.255,0.35,0.588,0.938,70,21,320,0.247,0.303,0.834
204,DrewMaggi,3B,PIT,26,32,8,11,2,0,3,9,1,12,1,1,0.344,0.417,0.688,1.105,71,0,6,0.333,0.333,0.833
432,JoseRamerez,3B,CLE,18,50,9,17,1,1,2,7,4,8,3,0,0.34,0.393,0.52,0.913,72,24,611,0.282,0.356,0.831
717,ChristianWalker,1B,AZ,17,45,3,13,3,0,1,5,2,5,1,1,0.289,0.327,0.422,0.749,73,33,582,0.258,0.333,0.83
892,BrandonMarsh,CF,PHI,19,50,8,11,2,0,1,5,9,18,1,0,0.22,0.339,0.32,0.659,73,12,404,0.277,0.372,0.83
1032,BrandonNimmo,CF,NYM,6,14,2,2,0,1,0,1,3,1,0,0,0.143,0.294,0.286,0.58,75,24,592,0.274,0.363,0.829
198,JarrenDuran,LF,BOS,9,18,5,6,3,0,1,1,4,3,1,1,0.333,0.455,0.667,1.122,76,8,332,0.295,0.346,0.828
632,JakeBurger,X,CWS,23,57,7,15,1,0,4,9,2,18,0,1,0.263,0.3,0.491,0.791,77,34,492,0.25,0.309,0.827
1032,MarcusSemien,2B,TEX,20,59,9,13,3,0,1,2,3,11,0,1,0.22,0.258,0.322,0.58,78,29,670,0.276,0.348,0.826
557,WillsonContreras,C,STL,15,37,5,13,3,0,0,5,2,10,3,0,0.351,0.4,0.432,0.832,79,20,428,0.264,0.358,0.825
677,WilliamContreras,C,MIL,16,43,5,11,1,0,2,10,5,9,0,0,0.256,0.347,0.419,0.766,80,17,540,0.289,0.367,0.824
201,LukeRaley,1B,TB,16,43,8,14,2,0,5,14,2,11,1,0,0.326,0.396,0.721,1.117,81,19,357,0.249,0.333,0.823
968,RichiePalacios,LF,CLE,9,16,1,4,0,0,0,2,3,3,0,1,0.25,0.368,0.25,0.618,81,6,93,0.258,0.307,0.823
241,PeteAlonso,1B,NYM,12,34,7,10,0,0,4,7,5,7,1,0,0.294,0.4,0.647,1.047,83,46,568,0.217,0.318,0.822
921,NoelviMarte,3B,CIN,13,29,3,9,1,0,0,3,0,5,1,0,0.31,0.3,0.345,0.645,83,3,114,0.316,0.366,0.822
437,ChristopherMorel,CF,CHC,22,52,11,14,4,0,4,8,5,24,1,1,0.269,0.333,0.577,0.91,85,26,388,0.247,0.313,0.821
503,SpencerSteer,3B,CIN,18,48,11,13,5,0,2,9,7,14,1,1,0.271,0.364,0.5,0.864,86,23,582,0.271,0.356,0.82
429,WanderFranco,SS,TB,8,19,3,5,2,0,1,4,3,3,1,2,0.263,0.391,0.526,0.917,87,17,442,0.281,0.344,0.819
616,TJFriedl,CF,CIN,16,47,6,14,2,1,1,9,2,12,4,1,0.298,0.353,0.447,0.8,87,18,488,0.279,0.352,0.819
135,JulioRodreguez,CF,SEA,13,36,5,16,5,0,2,8,3,9,1,0,0.444,0.487,0.75,1.237,89,32,654,0.275,0.333,0.818
1200,J.P.Crawford,SS,SEA,12,27,4,5,0,0,0,2,4,4,0,0,0.185,0.29,0.185,0.475,89,19,534,0.266,0.38,0.818
439,BrentRooker,LF,OAK,20,39,10,12,5,0,0,3,11,17,1,1,0.308,0.471,0.436,0.907,91,30,463,0.246,0.329,0.817
580,ChristianYelich,LF,MIL,14,38,6,9,2,0,3,5,3,9,0,1,0.237,0.293,0.526,0.819,91,19,550,0.278,0.37,0.817
664,KyleSchwarber,LF,PHI,9,26,4,6,3,0,1,3,3,12,0,0,0.231,0.31,0.462,0.772,91,47,585,0.197,0.343,0.817
218,MaxKepler,RF,MIN,14,34,4,13,3,0,2,4,4,5,0,1,0.382,0.447,0.647,1.094,94,24,438,0.26,0.332,0.816
404,BoBichette,SS,TOR,20,54,11,17,2,0,4,9,4,10,3,2,0.315,0.362,0.574,0.936,95,20,571,0.306,0.339,0.814
456,BobbyWitt,SS,KC,11,29,7,10,1,1,1,8,1,4,1,0,0.345,0.344,0.552,0.896,95,30,641,0.276,0.319,0.814
743,GunnarHenderson,SS,BAL,15,37,4,8,1,1,1,4,8,12,0,0,0.216,0.356,0.378,0.734,95,28,560,0.255,0.325,0.814
769,HaroldRamerez,LF,TB,10,22,3,7,0,0,0,1,1,5,0,0,0.318,0.4,0.318,0.718,98,12,400,0.313,0.353,0.813
936,JasonHeyward,CF,LAD,19,50,7,10,2,0,2,4,5,14,0,0,0.2,0.273,0.36,0.633,98,15,334,0.269,0.34,0.813
401,KerryCarpenter,DH,DET,20,51,7,17,2,1,3,9,2,13,0,0,0.333,0.352,0.588,0.94,100,20,418,0.278,0.34,0.811
793,GregAllen,LF,BOS,18,40,6,8,3,1,1,8,5,9,4,1,0.2,0.306,0.4,0.706,100,1,23,0.217,0.333,0.811
602,PaulGoldschmidt,1B,STL,8,17,1,5,1,0,1,2,0,6,1,0,0.294,0.278,0.529,0.807,102,25,593,0.268,0.363,0.81
1125,BoNaylor,C,CLE,4,6,0,1,1,0,0,0,0,3,0,0,0.167,0.167,0.333,0.5,103,11,198,0.237,0.339,0.809
446,MichaelHarris,CF,ATL,18,48,8,14,2,2,2,9,4,10,2,0,0.292,0.358,0.542,0.9,105,18,505,0.293,0.331,0.808
1205,MaxMuncy,SS,OAK,8,15,0,3,1,0,0,1,0,6,0,0,0.2,0.2,0.267,0.467,105,36,482,0.212,0.333,0.808
540,RileyAdams,C,WSH,19,38,3,9,2,0,3,6,1,15,0,0,0.237,0.31,0.526,0.836,107,4,143,0.273,0.331,0.807
974,JeimerCandelario,3B,WSH,15,47,4,13,2,0,0,4,1,9,1,0,0.277,0.292,0.319,0.611,107,22,505,0.251,0.336,0.807
355,FranciscoLindor,SS,NYM,13,38,7,12,2,0,3,9,4,5,1,0,0.316,0.381,0.605,0.986,109,31,602,0.254,0.336,0.806
435,NolanGorman,DH,STL,19,52,9,15,1,0,4,13,7,19,1,0,0.288,0.373,0.538,0.911,109,27,406,0.236,0.328,0.806
819,AlexBregman,3B,HOU,15,43,4,12,4,0,0,2,3,4,0,0,0.279,0.319,0.372,0.691,112,25,622,0.262,0.363,0.804
574,BrandonDrury,2B,LAA,17,47,9,13,4,0,2,8,4,15,0,0,0.277,0.333,0.489,0.822,113,26,485,0.262,0.306,0.803
774,CharlieBlackmon,DH,COL,12,29,2,7,0,0,1,3,3,9,1,0,0.241,0.371,0.345,0.716,113,8,359,0.279,0.363,0.803
922,NickLoftin,3B,KC,19,32,2,5,3,0,2,6,2,10,0,0,0.156,0.206,0.438,0.644,113,0,62,0.323,0.368,0.803
154,MickeyMoniak,CF,LAA,18,44,8,18,4,1,3,11,2,9,2,0,0.409,0.435,0.75,1.185,116,14,311,0.28,0.307,0.802
218,RyanO'Hearn,1B,BAL,18,40,11,15,2,0,3,6,5,11,0,0,0.375,0.444,0.65,1.094,116,14,346,0.289,0.322,0.802
347,SamHuff,C,TEX,11,14,3,4,2,0,1,3,2,8,0,0,0.286,0.353,0.643,0.996,118,3,43,0.256,0.289,0.801
808,GleyberTorres,2B,NYY,11,33,4,8,1,0,2,6,0,9,0,0,0.242,0.242,0.455,0.697,119,25,596,0.273,0.347,0.8
899,StoneGarrett,RF,WSH,18,34,4,8,2,0,1,4,2,12,1,0,0.235,0.27,0.382,0.652,119,9,234,0.269,0.343,0.8
407,MikeFord,DH,SEA,17,29,5,8,2,0,2,7,5,6,0,0,0.276,0.382,0.552,0.934,122,16,219,0.228,0.323,0.798
606,WillSmith,C,LAD,9,24,5,8,3,0,0,3,1,1,0,0,0.333,0.346,0.458,0.804,123,19,464,0.261,0.359,0.797
775,AnthonySantander,1B,BAL,11,25,3,5,1,0,1,5,5,5,0,0,0.2,0.355,0.36,0.715,123,28,591,0.257,0.325,0.797
382,RileyGreene,CF,DET,19,52,8,16,2,1,4,14,3,13,1,0,0.308,0.345,0.615,0.96,125,11,378,0.288,0.349,0.796
702,LoganO'Hoppe,C,LAA,13,34,4,9,2,0,1,6,4,14,0,0,0.265,0.342,0.412,0.754,125,14,182,0.236,0.296,0.796
976,JackSuwinski,CF,PIT,18,44,3,8,2,1,1,5,6,24,2,0,0.182,0.269,0.341,0.61,127,26,447,0.224,0.339,0.793
575,IanHapp,LF,CHC,18,43,9,12,2,0,1,10,10,12,3,0,0.279,0.426,0.395,0.821,129,21,580,0.248,0.36,0.791
1103,DominicFletcher,CF,AZ,5,11,1,2,1,0,0,0,0,5,0,0,0.182,0.25,0.273,0.523,129,2,93,0.301,0.35,0.791
384,JamesOutman,CF,LAD,23,53,7,15,4,1,3,11,8,18,1,0,0.283,0.391,0.566,0.957,131,23,483,0.248,0.353,0.79
628,LaMonteWade,1B,SF,15,39,6,10,5,0,1,7,4,11,0,0,0.256,0.333,0.462,0.795,131,17,429,0.256,0.373,0.79
895,XanderBogaerts,SS,SD,10,26,5,6,3,0,0,4,2,4,0,0,0.231,0.31,0.346,0.656,131,19,596,0.285,0.35,0.79
970,BryanReynolds,LF,PIT,19,52,6,10,3,0,2,2,3,13,0,0,0.192,0.25,0.365,0.615,131,24,574,0.263,0.33,0.79
224,PatrickWisdom,3B,CHC,16,39,7,13,2,0,3,8,9,15,0,1,0.333,0.458,0.615,1.073,135,23,268,0.205,0.289,0.789
346,RandyArozarena,LF,TB,7,17,4,5,0,0,2,6,2,8,0,0,0.294,0.35,0.647,0.997,135,23,551,0.254,0.364,0.789
461,BrendanDonovan,2B,STL,19,54,11,16,1,0,4,10,5,10,0,0,0.296,0.356,0.537,0.893,139,11,327,0.284,0.365,0.787
531,NickCastellanos,RF,PHI,19,51,6,12,3,0,3,10,11,16,0,0,0.235,0.371,0.471,0.842,139,29,626,0.272,0.311,0.787
632,JordanWalker,LF,STL,20,65,10,18,5,0,3,9,2,15,2,0,0.277,0.299,0.492,0.791,139,16,420,0.276,0.342,0.787
1101,DannyJansen,C,TOR,17,43,4,8,3,0,0,3,5,11,0,0,0.186,0.271,0.256,0.527,142,17,268,0.228,0.312,0.786
1353,JaredTriolo,3B,PIT,12,20,0,1,1,0,0,0,4,2,0,0,0.05,0.208,0.1,0.308,142,3,181,0.298,0.388,0.786
587,LarsNootbaar,LF,STL,5,10,2,3,1,0,0,1,2,3,0,1,0.3,0.417,0.4,0.817,144,14,426,0.261,0.367,0.785
136,LuisRengifo,2B,LAA,13,37,8,15,3,0,4,7,2,4,1,0,0.405,0.425,0.811,1.236,145,16,394,0.264,0.339,0.783
432,MasatakaYoshida,LF,BOS,6,13,2,3,1,0,1,2,3,4,0,0,0.231,0.375,0.538,0.913,145,15,537,0.289,0.338,0.783
1001,LaneThomas,RF,WSH,18,49,10,9,1,0,1,1,11,16,1,1,0.184,0.333,0.265,0.598,145,28,628,0.268,0.315,0.783
358,JakeFraley,LF,CIN,17,50,10,16,5,0,3,14,5,16,5,0,0.32,0.382,0.6,0.982,148,15,336,0.256,0.339,0.782
369,JoshJung,3B,TEX,20,53,9,17,5,1,3,6,3,9,0,2,0.321,0.345,0.623,0.968,148,23,478,0.266,0.315,0.782
434,FreddyFermin,C,KC,12,24,4,7,3,0,1,4,2,7,0,0,0.292,0.37,0.542,0.912,148,9,217,0.281,0.321,0.782
653,MannyMachado,3B,SD,12,33,3,10,2,0,1,6,1,9,0,0,0.303,0.324,0.455,0.779,151,30,543,0.258,0.319,0.781
208,RyanMountcastle,1B,BAL,17,48,10,19,7,1,2,9,0,7,0,0,0.396,0.396,0.708,1.104,152,18,423,0.27,0.328,0.78
126,TreaTurner,SS,PHI,8,23,5,11,1,0,2,7,0,2,1,0,0.478,0.478,0.783,1.261,155,26,639,0.266,0.32,0.779
706,JesﾃｺsSoenchez,RF,MIA,18,43,3,13,5,0,0,3,2,12,3,0,0.302,0.333,0.419,0.752,156,14,360,0.253,0.327,0.777
190,DaironBlanco,RF,KC,16,29,10,9,3,0,3,5,4,6,1,0,0.31,0.412,0.724,1.136,157,3,124,0.258,0.324,0.776
976,MiguelAndujar,RF,PIT,16,41,5,8,4,0,1,4,3,8,1,0,0.195,0.244,0.366,0.61,157,4,84,0.25,0.3,0.776
743,AndrewMcCutchen,DH,PIT,12,27,2,7,0,0,1,3,5,10,0,0,0.259,0.364,0.37,0.734,159,12,390,0.256,0.378,0.775
1246,MikeYastrzemski,CF,SF,11,25,2,3,0,1,0,0,4,7,0,0,0.12,0.241,0.2,0.441,159,15,330,0.233,0.33,0.775
85,NolanArenado,3B,STL,9,21,4,11,2,0,2,6,0,3,0,0,0.524,0.524,0.905,1.429,161,26,560,0.266,0.315,0.774
595,NathanielLowe,1B,TEX,21,50,4,14,0,1,2,11,9,14,0,0,0.28,0.371,0.44,0.811,161,17,623,0.262,0.36,0.774
1251,TommyPham,CF,NYM,17,45,4,7,1,0,0,2,6,14,0,0,0.156,0.255,0.178,0.433,161,16,426,0.256,0.328,0.774
501,LourdesGurriel,LF,AZ,15,40,7,12,4,0,1,5,6,9,1,0,0.3,0.391,0.475,0.866,164,24,551,0.261,0.309,0.772
1100,JohanRojas,CF,PHI,10,18,2,3,0,1,0,1,2,3,2,0,0.167,0.25,0.278,0.528,164,2,149,0.302,0.342,0.772
390,BrandonLowe,2B,TB,16,36,7,11,0,0,3,7,5,6,0,0,0.306,0.395,0.556,0.951,166,21,377,0.231,0.328,0.771
664,FernandoTatis,RF,SD,16,44,11,12,1,0,2,7,5,10,3,0,0.273,0.34,0.432,0.772,166,25,575,0.257,0.322,0.771
831,RyanNoda,1B,OAK,25,53,10,11,3,0,1,6,11,26,2,0,0.208,0.362,0.321,0.683,168,16,406,0.229,0.364,0.77
224,AustinHays,LF,BAL,14,39,6,13,2,0,4,10,3,7,0,0,0.333,0.381,0.692,1.073,170,16,520,0.275,0.325,0.769
663,EdwardOlivares,LF,KC,15,35,6,9,1,0,2,3,2,7,1,2,0.257,0.316,0.457,0.773,170,12,354,0.263,0.317,0.769
208,EzequielDuran,3B,TEX,26,56,11,20,7,2,3,15,3,8,1,0,0.357,0.39,0.714,1.104,172,14,406,0.276,0.324,0.767
369,JocPederson,1B,SF,10,25,2,9,1,0,1,4,4,6,1,0,0.36,0.448,0.52,0.968,173,15,358,0.235,0.348,0.764
532,AlecBohm,3B,PHI,20,56,10,13,4,0,4,10,8,11,1,0,0.232,0.323,0.518,0.841,173,20,558,0.274,0.327,0.764
584,EnmanuelValdez,2B,BOS,15,28,5,6,0,0,2,4,8,9,0,0,0.214,0.389,0.429,0.818,173,6,139,0.266,0.311,0.764
233,Ke'BryanHayes,3B,PIT,15,41,10,14,1,1,4,10,1,8,0,1,0.341,0.349,0.707,1.056,176,15,494,0.271,0.309,0.762
446,J.T.Realmuto,C,PHI,7,18,2,6,0,0,1,3,1,8,0,0,0.333,0.4,0.5,0.9,176,20,489,0.252,0.31,0.762
467,CalRaleigh,C,SEA,11,31,6,9,4,1,1,8,1,8,0,0,0.29,0.303,0.581,0.884,176,30,513,0.232,0.306,0.762
767,JoseSiri,CF,TB,18,37,11,8,3,0,1,2,6,11,10,1,0.216,0.341,0.378,0.719,179,25,338,0.222,0.267,0.761
801,JazzChisholm,CF,MIA,15,43,5,10,2,0,2,3,3,16,3,0,0.233,0.283,0.419,0.702,179,19,352,0.25,0.304,0.761
950,VinniePasquantino,1B,KC,9,23,4,5,0,0,1,4,2,4,0,0,0.217,0.28,0.348,0.628,179,9,231,0.247,0.324,0.761
427,IvoenHerrera,C,STL,7,8,1,3,0,0,0,1,3,3,0,0,0.375,0.545,0.375,0.92,183,0,37,0.297,0.409,0.76
700,ConnorJoe,1B,PIT,16,42,4,11,4,0,1,3,2,12,3,1,0.262,0.326,0.429,0.755,183,11,413,0.247,0.339,0.76
1190,DonovanSolano,2B,MIN,14,40,3,6,2,0,1,3,2,3,0,0,0.15,0.209,0.275,0.484,183,5,394,0.282,0.369,0.76
817,SpencerTorkelson,1B,DET,20,56,3,15,3,0,1,6,2,15,0,0,0.268,0.317,0.375,0.692,186,31,606,0.233,0.313,0.759
276,EloyJimonez,RF,CWS,14,30,3,13,2,0,0,2,4,4,0,0,0.433,0.5,0.5,1,187,18,456,0.272,0.317,0.758
276,TaylorWard,LF,LAA,16,47,10,16,3,0,3,9,5,9,0,0,0.34,0.404,0.596,1,188,14,356,0.253,0.335,0.756
390,JonahHeim,C,TEX,17,39,7,14,1,0,2,6,5,4,0,0,0.359,0.413,0.538,0.951,189,18,457,0.258,0.317,0.755
795,EddieRosario,LF,ATL,10,28,5,6,1,0,2,5,1,5,0,0,0.214,0.241,0.464,0.705,189,21,478,0.255,0.305,0.755
1021,MarkCanha,LF,NYM,18,53,5,13,3,0,0,5,3,12,0,0,0.245,0.281,0.302,0.583,189,11,435,0.262,0.355,0.755
1081,MattChapman,3B,TOR,18,46,4,9,4,0,0,5,4,8,0,0,0.196,0.255,0.283,0.538,192,17,509,0.24,0.33,0.754
378,RyanMcMahon,2B,COL,21,55,14,17,5,0,3,8,6,23,1,0,0.309,0.397,0.564,0.961,193,23,555,0.24,0.322,0.753
200,CadeMarlowe,CF,SEA,8,16,2,4,0,1,2,4,3,2,1,0,0.25,0.368,0.75,1.118,194,3,88,0.239,0.33,0.75
393,WilliCastro,3B,MIN,16,40,9,10,2,1,3,11,3,19,3,0,0.25,0.375,0.575,0.95,194,9,358,0.257,0.339,0.75
755,OneilCruz,SS,PIT,17,54,6,14,4,0,2,6,2,14,1,0,0.259,0.286,0.444,0.73,194,1,32,0.25,0.375,0.75
1125,MannyPiaa,C,OAK,1,1,0,0,0,0,0,1,1,0,0,0,0,0.5,0,0.5,194,1,12,0.25,0.25,0.75
493,VictorRobles,CF,WSH,18,47,2,15,4,1,1,6,3,6,1,0,0.319,0.36,0.511,0.871,198,0,107,0.299,0.385,0.749
595,JonBerti,3B,MIA,16,32,7,8,0,0,1,5,12,11,4,2,0.25,0.467,0.344,0.811,198,7,388,0.294,0.344,0.749
1036,Ha-SeongKim,2B,SD,10,29,6,7,2,0,0,4,1,6,3,0,0.241,0.267,0.31,0.577,198,17,538,0.26,0.351,0.749
141,HestonKjerstad,X,BAL,23,42,12,16,4,1,4,9,2,11,0,0,0.381,0.409,0.81,1.219,201,2,30,0.233,0.281,0.748
808,AustinSlater,DH,SF,3,9,1,2,1,0,0,4,2,4,2,0,0.222,0.364,0.333,0.697,201,5,185,0.27,0.348,0.748
985,BrysonStott,2B,PHI,18,57,7,12,1,1,2,4,2,11,2,0,0.211,0.237,0.368,0.605,201,15,585,0.28,0.329,0.748
162,GabrielMoreno,C,AZ,11,28,7,10,1,0,3,4,3,4,0,0,0.357,0.455,0.714,1.169,204,7,341,0.284,0.339,0.747
