Rank,Player,Position,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,Check,HR_all,AB_all,AVG_all,OBP_all,OPS_all
64,OneilCruz,SS,PIT,16,46,13,12,1,0,7,14,5,16,1,0,0.261,0.333,0.739,1.072,140,21,541,0.259,0.324,0.773
379,KyleStowers,DH,BAL,19,43,9,11,0,0,7,14,1,13,1,0,0.256,0.267,0.744,1.011,40,3,192,0.208,0.268,0.601
16,WillyAdames,SS,MIL,15,45,11,15,0,1,6,15,5,14,0,0,0.333,0.4,0.778,1.178,153,32,610,0.251,0.331,0.793
42,ColtonCowser,CF,BAL,18,46,11,14,1,0,6,13,7,17,1,0,0.304,0.418,0.717,1.135,121,24,499,0.242,0.321,0.768
117,WyattLangford,LF,TEX,21,63,14,23,4,0,6,20,6,17,0,0,0.365,0.423,0.714,1.137,126,16,499,0.253,0.325,0.74
64,SeiyaSuzuki,RF,CHC,15,37,13,17,5,0,6,12,3,6,2,0,0.459,0.512,1.081,1.593,145,21,512,0.283,0.366,0.848
345,MiguelAndujar,LF,OAK,14,42,8,15,1,0,5,15,1,0,1,0,0.357,0.372,0.738,1.11,86,4,302,0.285,0.32,0.697
112,OrlandoArcia,SS,ATL,19,44,9,11,1,0,5,8,3,12,0,0,0.25,0.313,0.614,0.927,120,17,551,0.218,0.271,0.625
523,DavidBote,2B,CHC,22,45,7,10,1,0,5,9,2,11,1,1,0.222,0.271,0.578,0.849,14,0,46,0.304,0.333,0.724
28,RafaelDevers,3B,BOS,18,50,11,19,2,0,5,11,5,14,0,1,0.38,0.436,0.72,1.156,143,28,525,0.272,0.354,0.87
416,ChristianEncarnacion-Strand,1B,CIN,16,51,14,17,2,3,5,14,3,7,0,0,0.333,0.382,0.784,1.166,22,2,116,0.19,0.22,0.513
311,EricHaase,C,MIL,18,38,11,15,3,0,5,14,5,6,0,0,0.395,0.465,0.868,1.333,18,5,66,0.273,0.304,0.819
180,MitchHaniger,RF,SEA,16,39,8,15,3,0,5,7,4,10,0,0,0.385,0.442,0.846,1.288,79,12,380,0.208,0.286,0.62
