Rank,Feet,Player,%Made,Attempts,Putts_made,LastSeason
1,3,Thorbjørn Olesen,100.00%,210,210,-
1,3,Marco Penge,100.00%,296,296,-
1,3,J.T. Poston,100.00%,388,388,-
1,3,Chad Ramey,100.00%,351,351,-
1,3,Patrick Rodgers,100.00%,498,498,-
1,3,Kevin Roy,100.00%,336,336,-
1,3,Sam Ryder,100.00%,203,203,-
1,3,Adrien Saddier,100.00%,240,240,-
1,3,Isaiah Salinda,100.00%,146,146,-
1,3,Gordon Sargent,100.00%,158,158,-
1,3,Neal Shipley,100.00%,169,169,-
1,3,Jimmy Stanger,100.00%,164,164,-
1,3,Sepp Straka,100.00%,327,327,-
1,3,Kevin Streelman,100.00%,138,138,-
1,3,Jesper Svensson,100.00%,134,134,-
1,3,Davis Thompson,100.00%,280,280,-
1,3,Sami Valimaki,100.00%,275,275,-
1,3,Erik van Rooyen,100.00%,211,211,-
1,3,Kris Ventura,100.00%,136,136,-
1,3,Vince Whaley,100.00%,257,257,-
52,3,Bud Cauley,99.78%,450,449,8
52,3,Ryo Hisatsune,99.78%,458,457,6
52,3,Sahith Theegala,99.78%,449,448,6
55,3,Matt McCarty,99.76%,422,421,54
56,3,Billy Horschel,99.75%,396,395,4
56,3,Kurt Kitayama,99.75%,405,404,8
56,3,Jordan Smith,99.75%,399,398,8
59,3,Tom Hoge,99.74%,387,386,7
59,3,Sudarshan Yellamaraju,99.74%,378,377,8
61,3,Harris English,99.73%,374,373,9
62,3,Andrew Putnam,99.71%,348,347,16
62,3,Austin Smotherman,99.71%,349,348,16
62,3,Jhonattan Vegas,99.71%,343,342,18
65,3,Steven Fisk,99.70%,331,330,2
65,3,Harry Hall,99.70%,336,335,15
65,3,John Parry,99.70%,332,331,2
68,3,Tommy Fleetwood,99.69%,322,321,19
68,3,Russell Henley,99.69%,326,325,19
68,3,Garrick Higgo,99.69%,325,324,2
68,3,Adam Schenk,99.69%,325,324,2
72,3,Zach Bauchou,99.68%,315,314,1
72,3,Akshay Bhatia,99.68%,309,308,19
72,3,Wyndham Clark,99.68%,316,315,1
72,3,Emiliano Grillo,99.68%,317,316,1
72,3,Takumi Kanaya,99.68%,316,315,1
72,3,Kristoffer Reitan,99.68%,309,308,23
72,3,Danny Walker,99.68%,316,315,1
79,3,Sam Burns,99.67%,299,298,17
79,3,Collin Morikawa,99.67%,299,298,17
81,3,Mark Hubbard,99.66%,290,289,1
81,3,William Mouw,99.66%,291,290,1
83,3,Michael Brennan,99.65%,284,283,2
83,3,A.J. Ewart,99.65%,285,284,2
83,3,Lucas Glover,99.65%,287,286,16
86,3,Christiaan Bezuidenhout,99.64%,281,280,1
86,3,Adrien Dumont de Chassart,99.64%,275,274,1
88,3,Chandler Blanchet,99.63%,270,269,14
88,3,Taylor Moore,99.63%,271,270,3
88,3,Matthieu Pavon,99.63%,267,266,3
88,3,Seamus Power,99.63%,267,266,3
92,3,Rasmus Højgaard,99.60%,250,249,4
93,3,Kensei Hirata,99.59%,243,242,6
94,3,Haotong Li,99.58%,239,238,7
95,3,Aaron Rai,99.55%,220,219,7
95,3,Nick Taylor,99.55%,447,445,35
95,3,Dylan Wu,99.55%,220,219,7
98,3,Denny McCarthy,99.54%,433,431,10
98,3,Justin Rose,99.54%,217,216,21
98,3,Jordan Spieth,99.54%,432,430,11
101,3,Dan Brown,99.53%,214,213,4
101,3,Brooks Koepka,99.53%,212,211,4
103,3,Andrew Novak,99.52%,414,412,40
103,3,Justin Thomas,99.52%,209,208,23
103,3,Michael Thorbjornsen,99.52%,417,415,7
106,3,Chris Gotterup,99.51%,411,409,4
106,3,David Lipsky,99.51%,206,205,105
106,3,Alex Smalley,99.51%,411,409,4
109,3,Brice Garnett,99.50%,200,199,2
110,3,Corey Conners,99.49%,393,391,6
111,3,Brian Harman,99.48%,387,385,10
111,3,Maverick McNealy,99.48%,382,380,10
113,3,Min Woo Lee,99.47%,375,373,11
113,3,Hideki Matsuyama,99.47%,379,377,10
115,3,Joe Highsmith,99.46%,372,370,5
116,3,Davis Riley,99.44%,180,179,1
117,3,Rafael Campos,99.43%,176,175,1
117,3,Beau Hossler,99.43%,176,175,1
119,3,Matti Schmid,99.42%,347,345,-
119,3,J.J. Spaun,99.42%,345,343,39
121,3,Cameron Young,99.41%,337,335,8
122,3,Adam Scott,99.40%,336,334,11
123,3,Luke Clanton,99.37%,159,158,4
123,3,Xander Schauffele,99.37%,318,316,4
125,3,Aldrich Potgieter,99.36%,314,312,11
125,3,Gary Woodland,99.36%,311,309,13
127,3,Si Woo Kim,99.34%,457,454,8
127,3,Justin Lower,99.34%,152,151,2
129,3,Brian Campbell,99.33%,300,298,13
129,3,Mackenzie Hughes,99.33%,299,297,2
131,3,Chris Kirk,99.32%,295,293,1
132,3,Patrick Cantlay,99.31%,289,287,1
132,3,Matt Wallace,99.31%,291,289,12
134,3,Ludvig Åberg,99.26%,272,270,2
134,3,Ryan Gerard,99.26%,405,402,12
134,3,Ben Griffin,99.26%,403,400,12
134,3,Keith Mitchell,99.26%,408,405,11
138,3,Chandler Phillips,99.25%,267,265,-
138,3,Karl Vilips,99.25%,265,263,-
140,3,Brandt Snedeker,99.23%,130,129,1
141,3,Max McGreevy,99.21%,378,375,2
142,3,Nico Echavarria,99.18%,365,362,8
143,3,Sungjae Im,99.14%,232,230,29
144,3,Doug Ghim,99.12%,226,224,4
144,3,Alex Noren,99.12%,339,336,11
144,3,John VanDerLaan,99.12%,226,224,4
147,3,Sam Stevens,99.10%,442,438,4
148,3,Max Homa,99.09%,329,326,9
149,3,Keegan Bradley,99.07%,322,319,9
150,3,Scottie Scheffler,99.06%,319,316,9
151,3,Zecheng Dou,99.00%,300,297,-
152,3,Davis Chatfield,98.97%,194,192,1
152,3,Rasmus Neergaard-Petersen,98.97%,194,192,1
154,3,Adam Svensson,98.96%,192,190,1
155,3,Johnny Keefer,98.83%,343,339,5
156,3,Tony Finau,98.80%,416,411,5
157,3,Rico Hoey,98.79%,413,408,5
158,3,Pontus Nyholm,98.50%,200,197,5
159,3,Tom Kim,98.30%,352,346,5
160,3,Jackson Suber,98.15%,162,159,5
161,3,Kevin Yu,97.67%,257,251,5
162,3,Taylor Pendrith,97.65%,383,374,6
162,3,Marcelo Rozo,97.65%,170,166,5
164,3,Alejandro Tosti,96.95%,197,191,5
