Rank,Feet,Player,%Made,Attempts,Putts_made,LastSeason
36,22.5,Cameron Young,17.31%,52,9,9
37,22.5,Zach Bauchou,17.14%,35,6,3
37,22.5,Shane Lowry,17.14%,35,6,17
39,22.5,Patrick Fishburn,16.67%,24,4,3
39,22.5,Joe Highsmith,16.67%,48,8,3
39,22.5,Jesper Svensson,16.67%,12,2,3
42,22.5,Ben Griffin,16.28%,43,7,20
42,22.5,Johnny Keefer,16.28%,43,7,4
44,22.5,Ludvig Åberg,16.22%,37,6,3
45,22.5,Eric Cole,16.13%,31,5,3
45,22.5,David Ford,16.13%,31,5,3
47,22.5,Brian Harman,15.69%,51,8,9
48,22.5,Erik van Rooyen,15.63%,32,5,6
49,22.5,Lucas Glover,15.38%,26,4,7
49,22.5,J.T. Poston,15.38%,39,6,18
51,22.5,Chandler Phillips,15.15%,33,5,6
52,22.5,Chandler Blanchet,15.00%,20,3,-
53,22.5,Corey Conners,14.89%,47,7,11
53,22.5,Hideki Matsuyama,14.89%,47,7,12
55,22.5,Keegan Bradley,14.71%,34,5,19
56,22.5,Michael Kim,14.63%,41,6,5
57,22.5,Jordan Spieth,14.58%,48,7,7
58,22.5,Brian Campbell,14.29%,28,4,2
58,22.5,Luke Clanton,14.29%,21,3,3
58,22.5,Mark Hubbard,14.29%,35,5,3
61,22.5,Andrew Putnam,14.00%,50,7,11
62,22.5,Billy Horschel,13.95%,43,6,2
63,22.5,Michael Thorbjornsen,13.85%,65,9,68
64,22.5,Chris Gotterup,13.79%,58,8,11
64,22.5,Tom Hoge,13.79%,58,8,28
64,22.5,Patton Kizzire,13.79%,29,4,2
67,22.5,Pierceson Coody,13.56%,59,8,7
68,22.5,Matt Fitzpatrick,13.33%,45,6,1
68,22.5,Andrew Novak,13.33%,45,6,34
68,22.5,Marcelo Rozo,13.33%,15,2,1
68,22.5,Danny Walker,13.33%,45,6,1
72,22.5,Karl Vilips,13.16%,38,5,2
73,22.5,Emiliano Grillo,13.04%,46,6,3
73,22.5,Viktor Hovland,13.04%,46,6,5
73,22.5,Dylan Wu,13.04%,23,3,3
76,22.5,Patrick Rodgers,12.96%,54,7,17
77,22.5,Michael Brennan,12.50%,40,5,3
77,22.5,Ryo Hisatsune,12.50%,56,7,10
77,22.5,Min Woo Lee,12.50%,48,6,10
77,22.5,Matt McCarty,12.50%,48,6,9
77,22.5,Sam Stevens,12.50%,64,8,2
82,22.5,Ricky Castillo,12.20%,41,5,14
83,22.5,Mackenzie Hughes,12.00%,50,6,1
83,22.5,Jackson Suber,12.00%,25,3,1
85,22.5,Max Homa,11.76%,51,6,12
85,22.5,Sahith Theegala,11.76%,51,6,3
87,22.5,Scottie Scheffler,11.54%,52,6,27
87,22.5,Adam Svensson,11.54%,26,3,2
87,22.5,John VanDerLaan,11.54%,26,3,2
90,22.5,Max Greyserman,11.43%,35,4,21
90,22.5,Taylor Pendrith,11.43%,35,4,15
90,22.5,Adrien Saddier,11.43%,35,4,1
90,22.5,Gary Woodland,11.43%,35,4,21
94,22.5,Brice Garnett,11.11%,27,3,2
94,22.5,Kensei Hirata,11.11%,36,4,2
94,22.5,Nicolai Højgaard,11.11%,54,6,19
97,22.5,Alex Smalley,10.91%,55,6,29
98,22.5,Garrick Higgo,10.87%,46,5,2
98,22.5,Alex Noren,10.87%,46,5,24
98,22.5,Kristoffer Reitan,10.87%,46,5,30
101,22.5,Kevin Roy,10.81%,37,4,4
102,22.5,Nico Echavarria,10.64%,47,5,15
102,22.5,Mac Meissner,10.64%,47,5,2
104,22.5,Sam Burns,10.53%,38,4,19
105,22.5,Peter Malnati,10.34%,29,3,4
106,22.5,Adam Scott,10.26%,39,4,25
107,22.5,Joel Dahmen,10.00%,40,4,15
107,22.5,Austin Eckroat,10.00%,30,3,2
107,22.5,A.J. Ewart,10.00%,30,3,2
107,22.5,Doug Ghim,10.00%,30,3,2
107,22.5,Adam Schenk,10.00%,50,5,2
107,22.5,Kevin Yu,10.00%,30,3,2
113,22.5,Keith Mitchell,9.84%,61,6,14
114,22.5,Steven Fisk,9.62%,52,5,1
115,22.5,Jordan Smith,9.52%,42,4,13
115,22.5,Kevin Streelman,9.52%,21,2,1
117,22.5,Denny McCarthy,9.26%,54,5,2
118,22.5,Jacob Bridgeman,9.09%,55,5,-
118,22.5,Rickie Fowler,9.09%,55,5,14
118,22.5,Chris Kirk,9.09%,44,4,2
118,22.5,J.J. Spaun,9.09%,44,4,13
122,22.5,Zecheng Dou,8.82%,34,3,1
123,22.5,Davis Riley,8.70%,23,2,1
124,22.5,Austin Smotherman,8.57%,35,3,19
125,22.5,Brooks Koepka,8.33%,24,2,1
125,22.5,Justin Lower,8.33%,24,2,1
127,22.5,Max McGreevy,8.16%,49,4,1
128,22.5,Akshay Bhatia,7.69%,26,2,12
128,22.5,John Parry,7.69%,39,3,-
128,22.5,Davis Thompson,7.69%,39,3,-
131,22.5,William Mouw,7.50%,40,3,1
132,22.5,Dan Brown,7.14%,28,2,1
132,22.5,Cam Davis,7.14%,28,2,1
132,22.5,Aldrich Potgieter,7.14%,42,3,15
132,22.5,Matti Schmid,7.14%,42,3,1
136,22.5,Pontus Nyholm,6.67%,30,2,1
136,22.5,Gordon Sargent,6.67%,15,1,1
136,22.5,Kris Ventura,6.67%,15,1,1
139,22.5,Rico Hoey,6.38%,47,3,2
140,22.5,Brandt Snedeker,6.25%,16,1,2
141,22.5,Nick Taylor,6.15%,65,4,1
142,22.5,Adrien Dumont de Chassart,6.06%,33,2,3
143,22.5,Tommy Fleetwood,5.66%,53,3,8
143,22.5,Si Woo Kim,5.66%,53,3,-
145,22.5,Davis Chatfield,5.56%,18,1,3
145,22.5,Christo Lamprecht,5.56%,18,1,3
147,22.5,Wyndham Clark,4.88%,41,2,5
148,22.5,Bud Cauley,4.84%,62,3,5
149,22.5,David Lipsky,4.76%,21,1,16
149,22.5,Marco Penge,4.76%,42,2,4
149,22.5,Justin Rose,4.76%,21,1,3
149,22.5,Jimmy Stanger,4.76%,21,1,4
153,22.5,Rasmus Neergaard-Petersen,4.35%,23,1,2
153,22.5,Justin Thomas,4.35%,23,1,3
155,22.5,Harry Hall,4.17%,48,2,5
156,22.5,Jeffrey Kang,4.00%,25,1,-
157,22.5,Patrick Cantlay,3.45%,29,1,1
158,22.5,Collin Morikawa,3.13%,32,1,1
159,22.5,Haotong Li,3.03%,33,1,-
160,22.5,Rafael Campos,0.00%,23,0,-
160,22.5,Sungjae Im,0.00%,19,0,-
160,22.5,Thorbjørn Olesen,0.00%,23,0,-
160,22.5,Neal Shipley,0.00%,15,0,-
1,17.5,Beau Hossler,38.89%,36,14,-
2,17.5,Michael Brennan,33.33%,48,16,1
3,17.5,Sepp Straka,32.76%,58,19,1
4,17.5,Kevin Yu,32.14%,28,9,-
5,17.5,Kris Ventura,32.00%,25,8,-
6,17.5,Akshay Bhatia,31.25%,64,20,10
7,17.5,Mac Meissner,30.61%,49,15,-
8,17.5,Dan Brown,30.00%,40,12,1
8,17.5,Maverick McNealy,30.00%,50,15,27
10,17.5,Jake Knapp,29.79%,47,14,-
11,17.5,Sami Valimaki,29.55%,44,13,-
12,17.5,Robert MacIntyre,29.41%,51,15,-
12,17.5,Chad Ramey,29.41%,51,15,-
14,17.5,Cameron Young,29.31%,58,17,19
15,17.5,Takumi Kanaya,28.89%,45,13,-
16,17.5,Ricky Castillo,28.30%,53,15,9
16,17.5,Joe Highsmith,28.30%,53,15,1
18,17.5,Sungjae Im,28.13%,32,9,13
19,17.5,Brooks Koepka,27.91%,43,12,1
20,17.5,Jackson Suber,27.27%,33,9,1
21,17.5,Peter Malnati,26.67%,30,8,-
21,17.5,Isaiah Salinda,26.67%,30,8,-
21,17.5,Xander Schauffele,26.67%,45,12,-
24,17.5,Adrien Saddier,26.53%,49,13,-
25,17.5,Justin Rose,26.32%,38,10,21
26,17.5,Harry Hall,26.23%,61,16,12
27,17.5,Karl Vilips,26.00%,50,13,2
28,17.5,Michael Kim,25.76%,66,17,13
29,17.5,Sudarshan Yellamaraju,25.00%,52,13,2
30,17.5,Nicolai Højgaard,24.59%,61,15,3
30,17.5,Aldrich Potgieter,24.59%,61,15,3
30,17.5,Adam Scott,24.59%,61,15,16
33,17.5,Sam Stevens,24.32%,74,18,4
34,17.5,Brandt Snedeker,24.00%,25,6,-
35,17.5,Alex Smalley,23.91%,92,22,5
36,17.5,Seamus Power,23.81%,42,10,1
36,17.5,Scottie Scheffler,23.81%,63,15,1
38,17.5,Andrew Novak,23.73%,59,14,18
38,17.5,Gary Woodland,23.73%,59,14,13
40,17.5,Kensei Hirata,23.08%,39,9,2
40,17.5,Gordon Sargent,23.08%,26,6,2
42,17.5,Shane Lowry,22.73%,44,10,19
43,17.5,Alex Noren,22.64%,53,12,-
44,17.5,Doug Ghim,22.58%,31,7,1
45,17.5,Jacob Bridgeman,22.54%,71,16,7
46,17.5,Christiaan Bezuidenhout,22.22%,45,10,-
46,17.5,Brice Garnett,22.22%,36,8,-
46,17.5,Haotong Li,22.22%,36,8,-
49,17.5,Patrick Rodgers,22.08%,77,17,5
50,17.5,Eric Cole,21.95%,41,9,2
51,17.5,Kristoffer Reitan,21.57%,51,11,20
52,17.5,Ryan Gerard,21.33%,75,16,13
53,17.5,A.J. Ewart,21.15%,52,11,2
54,17.5,Sam Burns,21.05%,57,12,12
54,17.5,Pierceson Coody,21.05%,76,16,6
56,17.5,Mackenzie Hughes,20.93%,43,9,1
56,17.5,Sahith Theegala,20.93%,86,18,31
58,17.5,Kurt Kitayama,20.83%,72,15,-
59,17.5,Brian Campbell,20.75%,53,11,5
60,17.5,Harris English,20.69%,58,12,14
61,17.5,Christo Lamprecht,20.59%,34,7,2
62,17.5,Davis Riley,20.51%,39,8,1
63,17.5,Steven Fisk,20.45%,44,9,-
63,17.5,Max Greyserman,20.45%,44,9,19
63,17.5,Stephan Jaeger,20.45%,44,9,-
66,17.5,Jhonattan Vegas,20.41%,49,10,11
67,17.5,Austin Eckroat,20.00%,50,10,1
67,17.5,Rasmus Højgaard,20.00%,40,8,1
67,17.5,Jeffrey Kang,20.00%,30,6,1
67,17.5,Collin Morikawa,20.00%,55,11,21
67,17.5,Rasmus Neergaard-Petersen,20.00%,25,5,1
67,17.5,Matti Schmid,20.00%,65,13,1
73,17.5,Matthieu Pavon,19.61%,51,10,1
74,17.5,Thorbjørn Olesen,19.51%,41,8,4
75,17.5,Nick Dunlap,19.44%,36,7,4
75,17.5,Billy Horschel,19.44%,72,14,4
75,17.5,Taylor Moore,19.44%,36,7,4
78,17.5,Min Woo Lee,19.23%,52,10,12
79,17.5,Denny McCarthy,19.18%,73,14,6
80,17.5,Corey Conners,18.92%,74,14,14
80,17.5,David Ford,18.92%,37,7,2
82,17.5,Nico Echavarria,18.67%,75,14,42
83,17.5,Jason Day,18.64%,59,11,9
84,17.5,Max Homa,18.37%,49,9,18
84,17.5,John Parry,18.37%,49,9,2
86,17.5,Keegan Bradley,18.18%,55,10,33
86,17.5,Dylan Wu,18.18%,44,8,1
88,17.5,Tommy Fleetwood,17.95%,39,7,46
89,17.5,Patrick Fishburn,17.86%,28,5,-
89,17.5,Tom Kim,17.86%,56,10,-
89,17.5,Justin Lower,17.86%,28,5,-
89,17.5,Marcelo Rozo,17.86%,28,5,-
89,17.5,Jimmy Stanger,17.86%,28,5,-
89,17.5,Erik van Rooyen,17.86%,28,5,-
95,17.5,Ben Griffin,17.74%,62,11,26
96,17.5,Ryan Fox,17.65%,51,9,44
97,17.5,Zecheng Dou,17.54%,57,10,2
97,17.5,Adam Schenk,17.54%,57,10,2
99,17.5,Johnny Keefer,17.31%,52,9,1
100,17.5,Sam Ryder,17.07%,41,7,3
101,17.5,Kevin Roy,16.98%,53,9,4
102,17.5,Tony Finau,16.95%,59,10,4
103,17.5,David Lipsky,16.67%,36,6,3
103,17.5,William Mouw,16.67%,54,9,4
103,17.5,Jordan Spieth,16.67%,66,11,3
103,17.5,Matt Wallace,16.67%,48,8,6
107,17.5,Si Woo Kim,16.49%,97,16,-
108,17.5,Wyndham Clark,16.33%,49,8,3
108,17.5,Mark Hubbard,16.33%,49,8,3
110,17.5,Davis Thompson,16.28%,43,7,3
110,17.5,Danny Walker,16.28%,43,7,3
110,17.5,Vince Whaley,16.28%,43,7,3
113,17.5,Pontus Nyholm,16.13%,31,5,4
114,17.5,Matt Fitzpatrick,16.07%,56,9,4
115,17.5,Alejandro Tosti,16.00%,25,4,4
116,17.5,Chris Gotterup,15.87%,63,10,23
117,17.5,Zach Bauchou,15.69%,51,8,5
117,17.5,Lucas Glover,15.69%,51,8,14
117,17.5,Lee Hodges,15.69%,51,8,5
120,17.5,Max McGreevy,15.63%,64,10,4
120,17.5,Justin Thomas,15.63%,32,5,36
122,17.5,Ludvig Åberg,15.38%,52,8,4
122,17.5,Patrick Cantlay,15.38%,52,8,4
124,17.5,Matt McCarty,15.25%,59,9,17
125,17.5,Tom Hoge,15.15%,66,10,8
126,17.5,Nick Taylor,15.07%,73,11,10
127,17.5,John VanDerLaan,15.00%,40,6,2
128,17.5,Neal Shipley,14.81%,27,4,4
129,17.5,Russell Henley,14.75%,61,9,31
130,17.5,Davis Chatfield,14.71%,34,5,4
131,17.5,Garrick Higgo,14.29%,42,6,6
131,17.5,Hank Lebioda,14.29%,35,5,6
131,17.5,Taylor Pendrith,14.29%,70,10,31
131,17.5,Jordan Smith,14.29%,70,10,11
135,17.5,Hideki Matsuyama,13.73%,51,7,4
136,17.5,Andrew Putnam,13.64%,44,6,28
137,17.5,Emiliano Grillo,13.56%,59,8,5
138,17.5,Viktor Hovland,12.96%,54,7,2
139,17.5,Patton Kizzire,12.82%,39,5,6
140,17.5,Bud Cauley,12.66%,79,10,1
141,17.5,Chandler Blanchet,12.50%,48,6,3
142,17.5,Keith Mitchell,12.31%,65,8,6
143,17.5,Rickie Fowler,11.94%,67,8,-
144,17.5,Chandler Phillips,11.63%,43,5,5
145,17.5,J.T. Poston,11.59%,69,8,1
146,17.5,Marco Penge,11.48%,61,7,4
147,17.5,Daniel Berger,11.27%,71,8,7
148,17.5,S.H. Kim,11.11%,36,4,3
148,17.5,Kevin Streelman,11.11%,27,3,3
150,17.5,Adrien Dumont de Chassart,10.71%,56,6,5
150,17.5,Brian Harman,10.71%,56,6,6
152,17.5,Joel Dahmen,10.20%,49,5,12
153,17.5,J.J. Spaun,10.00%,50,5,2
154,17.5,Chris Kirk,9.62%,52,5,4
155,17.5,Rico Hoey,9.52%,63,6,4
155,17.5,Jesper Svensson,9.52%,21,2,4
157,17.5,Michael Thorbjornsen,9.21%,76,7,-
158,17.5,Aaron Rai,9.09%,33,3,3
159,17.5,Rafael Campos,8.11%,37,3,4
160,17.5,Ryo Hisatsune,7.81%,64,5,2
160,17.5,Austin Smotherman,7.81%,64,5,6
162,17.5,Adam Svensson,6.90%,29,2,4
163,17.5,Luke Clanton,3.70%,27,1,5
164,17.5,Cam Davis,3.57%,28,1,5
1,12.5,Sam Burns,44.44%,72,32,-
2,12.5,Ludvig Åberg,44.23%,52,23,-
3,12.5,Gary Woodland,43.66%,71,31,3
4,12.5,Chandler Phillips,43.55%,62,27,1
5,12.5,Austin Eckroat,42.86%,56,24,-
6,12.5,Zach Bauchou,41.03%,78,32,2
7,12.5,Jacob Bridgeman,41.00%,100,41,3
8,12.5,Rasmus Højgaard,40.00%,65,26,4
9,12.5,Scottie Scheffler,39.68%,63,25,1
10,12.5,Kevin Streelman,39.47%,38,15,4
11,12.5,Matthieu Pavon,38.98%,59,23,4
12,12.5,Andrew Putnam,38.96%,77,30,-
13,12.5,Stephan Jaeger,38.89%,72,28,3
14,12.5,Pontus Nyholm,38.46%,52,20,3
15,12.5,Harris English,38.04%,92,35,4
16,12.5,Takumi Kanaya,37.78%,90,34,2
17,12.5,Joel Dahmen,37.50%,64,24,86
17,12.5,Lee Hodges,37.50%,64,24,3
17,12.5,Chris Kirk,37.50%,72,27,3
20,12.5,Rickie Fowler,37.04%,81,30,26
21,12.5,Johnny Keefer,36.96%,92,34,4
22,12.5,Adrien Dumont de Chassart,36.76%,68,25,4
23,12.5,Min Woo Lee,36.67%,90,33,14
24,12.5,Andrew Novak,36.56%,93,34,15
25,12.5,Vince Whaley,36.51%,63,23,4
26,12.5,Matt Fitzpatrick,36.49%,74,27,4
27,12.5,Matt McCarty,36.27%,102,37,7
28,12.5,Denny McCarthy,36.26%,91,33,35
29,12.5,Ryo Hisatsune,36.21%,116,42,1
30,12.5,Matt Wallace,36.11%,72,26,61
31,12.5,Keegan Bradley,36.00%,75,27,7
32,12.5,Chris Gotterup,35.80%,81,29,2
33,12.5,Chad Ramey,35.79%,95,34,2
34,12.5,Kristoffer Reitan,35.71%,70,25,7
34,12.5,Davis Riley,35.71%,56,20,2
36,12.5,Jason Day,35.62%,73,26,17
37,12.5,David Lipsky,35.56%,45,16,41
38,12.5,John VanDerLaan,35.09%,57,20,-
39,12.5,Sahith Theegala,34.86%,109,38,16
40,12.5,Michael Brennan,34.85%,66,23,1
41,12.5,Sudarshan Yellamaraju,34.82%,112,39,9
42,12.5,Maverick McNealy,34.74%,95,33,8
43,12.5,Daniel Berger,34.65%,101,35,9
44,12.5,Dan Brown,34.48%,58,20,1
44,12.5,Gordon Sargent,34.48%,29,10,1
46,12.5,Ryan Fox,34.33%,67,23,8
47,12.5,Shane Lowry,34.25%,73,25,2
48,12.5,Robert MacIntyre,34.12%,85,29,1
49,12.5,Adrien Saddier,33.93%,56,19,-
50,12.5,Erik van Rooyen,33.85%,65,22,-
51,12.5,William Mouw,33.78%,74,25,-
52,12.5,Nico Echavarria,33.72%,86,29,15
53,12.5,Patrick Fishburn,33.33%,45,15,1
53,12.5,Ryan Gerard,33.33%,111,37,5
53,12.5,Billy Horschel,33.33%,84,28,1
53,12.5,S.H. Kim,33.33%,66,22,1
53,12.5,Aldrich Potgieter,33.33%,69,23,24
53,12.5,Karl Vilips,33.33%,63,21,1
53,12.5,Danny Walker,33.33%,66,22,1
60,12.5,Steven Fisk,32.94%,85,28,1
61,12.5,Harry Hall,32.89%,76,25,9
62,12.5,Haotong Li,32.76%,58,19,2
62,12.5,Matti Schmid,32.76%,58,19,2
64,12.5,Sungjae Im,32.73%,55,18,17
64,12.5,Taylor Moore,32.73%,55,18,2
66,12.5,Akshay Bhatia,32.50%,80,26,1
67,12.5,Patrick Rodgers,32.38%,105,34,9
68,12.5,Collin Morikawa,32.35%,68,22,28
69,12.5,Marco Penge,32.26%,62,20,5
70,12.5,Russell Henley,32.14%,84,27,6
70,12.5,Sam Ryder,32.14%,56,18,5
72,12.5,Beau Hossler,31.91%,47,15,3
72,12.5,Jordan Spieth,31.91%,94,30,11
74,12.5,Keith Mitchell,31.90%,116,37,1
75,12.5,Zecheng Dou,31.88%,69,22,5
76,12.5,Brice Garnett,31.71%,41,13,2
76,12.5,Peter Malnati,31.71%,41,13,2
78,12.5,Michael Kim,31.63%,98,31,36
79,12.5,Patrick Cantlay,31.25%,64,20,-
79,12.5,Kevin Yu,31.25%,48,15,-
81,12.5,Emiliano Grillo,31.11%,90,28,-
82,12.5,Hideki Matsuyama,31.03%,87,27,16
83,12.5,Tom Kim,30.86%,81,25,2
84,12.5,Nick Taylor,30.48%,105,32,23
85,12.5,Tom Hoge,30.43%,115,35,12
85,12.5,Michael Thorbjornsen,30.43%,92,28,2
87,12.5,Jake Knapp,30.38%,79,24,1
88,12.5,Christiaan Bezuidenhout,30.36%,56,17,1
89,12.5,Eric Cole,30.26%,76,23,1
89,12.5,Max Homa,30.26%,76,23,5
91,12.5,Sepp Straka,30.14%,73,22,5
92,12.5,Jordan Smith,30.11%,93,28,20
93,12.5,Justin Thomas,30.00%,60,18,2
93,12.5,Davis Thompson,30.00%,60,18,2
93,12.5,Cameron Young,30.00%,80,24,38
96,12.5,Kevin Roy,29.87%,77,23,2
97,12.5,A.J. Ewart,29.69%,64,19,1
98,12.5,Ben Griffin,29.46%,112,33,31
99,12.5,Mackenzie Hughes,29.31%,58,17,1
100,12.5,Max Greyserman,29.23%,65,19,15
101,12.5,Jeffrey Kang,29.17%,48,14,2
102,12.5,Adam Schenk,29.11%,79,23,4
103,12.5,Davis Chatfield,28.85%,52,15,5
104,12.5,Alex Noren,28.79%,66,19,5
105,12.5,Ricky Castillo,28.72%,94,27,6
106,12.5,Bud Cauley,28.57%,105,30,3
106,12.5,Brandt Snedeker,28.57%,28,8,4
108,12.5,Rico Hoey,28.42%,95,27,3
109,12.5,Viktor Hovland,28.38%,74,21,8
110,12.5,Max McGreevy,28.09%,89,25,4
111,12.5,David Ford,28.07%,57,16,4
112,12.5,J.T. Poston,28.00%,100,28,21
113,12.5,John Parry,27.96%,93,26,4
113,12.5,Taylor Pendrith,27.96%,93,26,23
115,12.5,Xander Schauffele,27.94%,68,19,4
116,12.5,Luke Clanton,27.91%,43,12,4
117,12.5,Pierceson Coody,27.88%,104,29,-
118,12.5,Mark Hubbard,27.42%,62,17,5
118,12.5,Patton Kizzire,27.42%,62,17,5
120,12.5,Rafael Campos,27.27%,33,9,5
120,12.5,Doug Ghim,27.27%,55,15,5
122,12.5,Si Woo Kim,27.19%,114,31,31
123,12.5,Tony Finau,27.17%,92,25,4
124,12.5,Hank Lebioda,27.12%,59,16,4
125,12.5,Corey Conners,27.00%,100,27,20
126,12.5,J.J. Spaun,26.92%,78,21,5
127,12.5,Seamus Power,26.79%,56,15,3
128,12.5,Lucas Glover,26.76%,71,19,12
129,12.5,Joe Highsmith,26.67%,60,16,3
130,12.5,Alex Smalley,26.42%,106,28,8
131,12.5,Christo Lamprecht,26.19%,42,11,2
132,12.5,Aaron Rai,26.00%,50,13,3
133,12.5,Kris Ventura,25.93%,27,7,4
134,12.5,Jimmy Stanger,25.71%,35,9,4
135,12.5,Dylan Wu,25.58%,43,11,4
136,12.5,Sam Stevens,25.45%,110,28,19
137,12.5,Mac Meissner,25.33%,75,19,4
138,12.5,Nicolai Højgaard,25.25%,99,25,26
139,12.5,Cam Davis,25.00%,36,9,3
139,12.5,Nick Dunlap,25.00%,32,8,3
139,12.5,Adam Scott,25.00%,80,20,38
139,12.5,Adam Svensson,25.00%,44,11,3
143,12.5,Wyndham Clark,24.69%,81,20,3
144,12.5,Brooks Koepka,24.49%,49,12,3
145,12.5,Jesper Svensson,24.24%,33,8,3
146,12.5,Jhonattan Vegas,24.10%,83,20,15
147,12.5,Brian Campbell,23.94%,71,17,6
148,12.5,Justin Lower,23.81%,42,10,1
149,12.5,Jackson Suber,23.68%,38,9,2
150,12.5,Tommy Fleetwood,23.53%,68,16,-
151,12.5,Sami Valimaki,22.95%,61,14,1
152,12.5,Brian Harman,22.92%,96,22,2
153,12.5,Kensei Hirata,22.03%,59,13,4
154,12.5,Austin Smotherman,21.98%,91,20,5
155,12.5,Rasmus Neergaard-Petersen,21.95%,41,9,3
156,12.5,Chandler Blanchet,21.21%,66,14,1
157,12.5,Kurt Kitayama,21.11%,90,19,5
158,12.5,Justin Rose,19.30%,57,11,2
159,12.5,Thorbjørn Olesen,19.15%,47,9,4
160,12.5,Alejandro Tosti,19.05%,42,8,4
161,12.5,Marcelo Rozo,17.50%,40,7,4
162,12.5,Neal Shipley,15.38%,39,6,4
163,12.5,Garrick Higgo,14.49%,69,10,4
164,12.5,Isaiah Salinda,11.43%,35,4,4
1,10,A.J. Ewart,75.00%,20,15,-
1,10,Sam Ryder,75.00%,12,9,-
3,10,Peter Malnati,69.23%,13,9,-
4,10,Erik van Rooyen,66.67%,12,8,-
4,10,Danny Walker,66.67%,18,12,-
6,10,Sam Burns,64.29%,14,9,2
7,10,Rickie Fowler,63.16%,19,12,3
8,10,Max Homa,62.50%,16,10,3
9,10,Harris English,61.90%,21,13,5
10,10,David Lipsky,61.11%,18,11,10
11,10,Scottie Scheffler,60.87%,23,14,4
12,10,Michael Kim,60.00%,25,15,7
12,10,Hank Lebioda,60.00%,15,9,1
12,10,Rasmus Neergaard-Petersen,60.00%,10,6,1
12,10,Justin Thomas,60.00%,10,6,-
12,10,John VanDerLaan,60.00%,15,9,1
17,10,Akshay Bhatia,58.82%,17,10,-
18,10,Jacob Bridgeman,57.14%,28,16,7
19,10,Corey Conners,55.56%,27,15,3
19,10,Nico Echavarria,55.56%,18,10,9
19,10,Robert MacIntyre,55.56%,18,10,4
22,10,Max McGreevy,54.84%,31,17,2
23,10,Harry Hall,54.55%,22,12,5
24,10,Alex Smalley,54.17%,24,13,8
25,10,Patrick Cantlay,53.33%,15,8,1
25,10,Justin Lower,53.33%,15,8,1
27,10,Adam Schenk,52.94%,17,9,1
27,10,Karl Vilips,52.94%,17,9,1
29,10,Chandler Blanchet,52.63%,19,10,6
29,10,Chris Gotterup,52.63%,19,10,6
29,10,Chandler Phillips,52.63%,19,10,2
32,10,Brian Campbell,52.38%,21,11,22
33,10,Kevin Roy,52.17%,23,12,1
34,10,Jhonattan Vegas,51.85%,27,14,12
35,10,Matt Fitzpatrick,50.00%,28,14,-
35,10,Ben Griffin,50.00%,18,9,19
35,10,Stephan Jaeger,50.00%,26,13,-
35,10,Marco Penge,50.00%,12,6,-
35,10,J.T. Poston,50.00%,18,9,15
35,10,Chad Ramey,50.00%,14,7,-
35,10,Xander Schauffele,50.00%,26,13,-
42,10,Maverick McNealy,48.15%,27,13,20
43,10,S.H. Kim,47.83%,23,11,5
43,10,Jake Knapp,47.83%,23,11,5
43,10,Sahith Theegala,47.83%,23,11,11
43,10,Sudarshan Yellamaraju,47.83%,23,11,8
47,10,Shane Lowry,47.62%,21,10,9
47,10,Mac Meissner,47.62%,21,10,3
49,10,Zach Bauchou,47.37%,19,9,3
49,10,Johnny Keefer,47.37%,19,9,3
49,10,Cameron Young,47.37%,19,9,14
52,10,Jason Day,47.06%,17,8,17
52,10,Aldrich Potgieter,47.06%,17,8,17
54,10,Zecheng Dou,46.67%,15,7,2
55,10,Kensei Hirata,46.15%,13,6,6
55,10,Austin Smotherman,46.15%,13,6,30
57,10,Patrick Rodgers,45.83%,24,11,7
58,10,Adrien Dumont de Chassart,45.45%,11,5,5
58,10,Ryan Fox,45.45%,11,5,23
58,10,Matthieu Pavon,45.45%,11,5,5
61,10,Alex Noren,45.00%,20,9,5
61,10,Andrew Putnam,45.00%,20,9,6
63,10,Jordan Spieth,44.44%,27,12,11
63,10,Sepp Straka,44.44%,18,8,28
65,10,Sam Stevens,44.12%,34,15,2
66,10,Gary Woodland,44.00%,25,11,3
67,10,Rasmus Højgaard,43.75%,16,7,-
67,10,Hideki Matsuyama,43.75%,16,7,11
67,10,Taylor Pendrith,43.75%,32,14,11
70,10,Tony Finau,43.48%,23,10,1
71,10,Ryo Hisatsune,43.33%,30,13,9
72,10,Min Woo Lee,42.86%,21,9,-
72,10,J.J. Spaun,42.86%,21,9,28
74,10,Tommy Fleetwood,42.11%,19,8,18
74,10,John Parry,42.11%,19,8,1
74,10,Dylan Wu,42.11%,19,8,1
77,10,Taylor Moore,41.67%,12,5,-
78,10,Luke Clanton,41.18%,17,7,1
78,10,Justin Rose,41.18%,17,7,11
80,10,Emiliano Grillo,40.00%,20,8,1
80,10,Matt McCarty,40.00%,30,12,2
80,10,William Mouw,40.00%,10,4,1
80,10,Adam Scott,40.00%,15,6,37
84,10,Jordan Smith,39.29%,28,11,2
85,10,Isaiah Salinda,38.89%,18,7,1
85,10,Kevin Yu,38.89%,18,7,1
87,10,Wyndham Clark,38.46%,26,10,1
87,10,Brian Harman,38.46%,26,10,6
87,10,Russell Henley,38.46%,13,5,19
87,10,Keith Mitchell,38.46%,26,10,4
87,10,Gordon Sargent,38.46%,13,5,1
87,10,Vince Whaley,38.46%,13,5,1
93,10,Michael Brennan,37.50%,16,6,2
93,10,Bud Cauley,37.50%,24,9,21
